,Sport,Governing_Body,Event,Facet_Type,Facet_Value,Variable,Value,Value_Type,Date,Period,Source
1,All Sports,NA,NA,Gender,Male,Percentage of respondents who say they are a fan,0.72,Percentage of Survey,12/1/11,2011,Marist College Institute for Public
2,All Sports,NA,NA,Gender,Female,Percentage of respondents who say they are a fan,0.5,Percentage of Survey,12/1/11,2011,Marist College Institute for Public
3,All Sports,NA,NA,Age Group,Millennials (18-to-30),Percentage of respondents who say they are a fan,0.63,Percentage of Survey,12/1/11,2011,Marist College Institute for Public
4,All Sports,NA,NA,Age Group,Generation X (31-to-46),Percentage of respondents who say they are a fan,0.63,Percentage of Survey,12/1/11,2011,Marist College Institute for Public
5,All Sports,NA,NA,Age Group,Baby Boomers (47-to-65),Percentage of respondents who say they are a fan,0.63,Percentage of Survey,12/1/11,2011,Marist College Institute for Public
6,All Sports,NA,NA,Age Group,Seniors (65 and older),Percentage of respondents who say they are a fan,0.57,Percentage of Survey,12/1/11,2011,Marist College Institute for Public
7,All Sports,NA,NA,Income,"Less than $50,000",Percentage of respondents who say they are a fan,0.57,Percentage of Survey,12/1/11,2011,Marist College Institute for Public
8,All Sports,NA,NA,Income,"More than $50,000",Percentage of respondents who say they are a fan,0.68,Percentage of Survey,12/1/11,2011,Marist College Institute for Public
9,NA,NFL,NA,League,NFL,Favorite sports among adults (age 18 and older),0.3,Percentage of Survey,12/31/04,2004,Harris Interactive
10,NA,MLB,NA,League,MLB,Favorite sports among adults (age 18 and older),0.15,Percentage of Survey,12/31/04,2004,Harris Interactive
11,NA,NCAA Men's Football,NA,League,NCAA Men's Football,Favorite sports among adults (age 18 and older),0.11,Percentage of Survey,12/31/04,2004,Harris Interactive
12,Auto Racing,NA,NA,Sport,Auto Racing,Favorite sports among adults (age 18 and older),0.07,Percentage of Survey,12/31/04,2004,Harris Interactive
13,NA,NBA,NA,League,NBA,Favorite sports among adults (age 18 and older),0.07,Percentage of Survey,12/31/04,2004,Harris Interactive
14,NA,NCAA Men's Basketball,NA,League,NCAA Men's Basketball,Favorite sports among adults (age 18 and older),0.06,Percentage of Survey,12/31/04,2004,Harris Interactive
15,NA,NHL,NA,League,NHL,Favorite sports among adults (age 18 and older),0.04,Percentage of Survey,12/31/04,2004,Harris Interactive
16,NA,WTP,NA,League,WTP,Favorite sports among adults (age 18 and older),0.01,Percentage of Survey,12/31/04,2004,Harris Interactive
17,Boxing,NA,NA,Sport,Boxing,Favorite sports among adults (age 18 and older),0.02,Percentage of Survey,12/31/04,2004,Harris Interactive
18,Horse Racing,NA,NA,Sport,Horse Racing,Favorite sports among adults (age 18 and older),0.01,Percentage of Survey,12/31/04,2004,Harris Interactive
19,Swimming,NA,NA,Sport,Swimming,Favorite sports among adults (age 18 and older),0.01,Percentage of Survey,12/31/04,2004,Harris Interactive
