"","Sport","Facet_Type","Facet_Value","Fangraph_URL","Date","Variable","Value"
"1","Hocket","Entity","NHL","http://www.sportsfangraph.com/team/nhl",2012-12-06,"Rank",1
"2","Hocket","Entity","Detroit Red Wings","http://www.sportsfangraph.com/team/detroit-red-wings",2012-12-06,"Rank",2
"3","Hocket","Entity","Boston Bruins","http://www.sportsfangraph.com/team/boston-bruins",2012-12-06,"Rank",3
"4","Hocket","Entity","Pittsburgh Penguins","http://www.sportsfangraph.com/team/pittsburgh-penguins",2012-12-06,"Rank",4
"5","Hocket","Entity","Chicago Blackhawks","http://www.sportsfangraph.com/team/chicago-blackhawks",2012-12-06,"Rank",5
"6","Hocket","Entity","Montreal Canadiens","http://www.sportsfangraph.com/team/montreal-canadiens",2012-12-06,"Rank",6
"7","Hocket","Entity","Vancouver Canucks","http://www.sportsfangraph.com/team/vancouver-canucks",2012-12-06,"Rank",7
"8","Hocket","Entity","New York Rangers","http://www.sportsfangraph.com/team/new-york-rangers",2012-12-06,"Rank",8
"9","Hocket","Entity","Philadelphia Flyers","http://www.sportsfangraph.com/team/philadelphia-flyers",2012-12-06,"Rank",9
"10","Hocket","Entity","Toronto Maple Leafs","http://www.sportsfangraph.com/team/toronto-maple-leafs",2012-12-06,"Rank",10
"11","Hocket","Entity","Washington Capitals","http://www.sportsfangraph.com/team/washington-capitals",2012-12-06,"Rank",11
"12","Hocket","Entity","San Jose Sharks","http://www.sportsfangraph.com/team/san-jose-sharks",2012-12-06,"Rank",12
"13","Hocket","Entity","Los Angeles Kings","http://www.sportsfangraph.com/team/los-angeles-kings",2012-12-06,"Rank",13
"14","Hocket","Entity","Colorado Avalanche","http://www.sportsfangraph.com/team/colorado-avalanche",2012-12-06,"Rank",14
"15","Hocket","Entity","Buffalo Sabres","http://www.sportsfangraph.com/team/buffalo-sabres",2012-12-06,"Rank",15
"16","Hocket","Entity","Hockey Canada","http://www.sportsfangraph.com/team/hockey-canada",2012-12-06,"Rank",16
"17","Hocket","Entity","New Jersey Devils","http://www.sportsfangraph.com/team/new-jersey-devils",2012-12-06,"Rank",17
"18","Hocket","Entity","Edmonton Oilers","http://www.sportsfangraph.com/team/edmonton-oilers",2012-12-06,"Rank",18
"19","Hocket","Entity","St. Louis Blues","http://www.sportsfangraph.com/team/st-louis-blues",2012-12-06,"Rank",19
"20","Hocket","Entity","Tampa Bay Lightning","http://www.sportsfangraph.com/team/tampa-bay-lightning",2012-12-06,"Rank",20
"21","Hocket","Entity","Calgary Flames","http://www.sportsfangraph.com/team/calgary-flames",2012-12-06,"Rank",21
"22","Hocket","Entity","Winnipeg Jets","http://www.sportsfangraph.com/team/atlanta-thrashers",2012-12-06,"Rank",22
"23","Hocket","Entity","Anaheim Ducks","http://www.sportsfangraph.com/team/anaheim-ducks",2012-12-06,"Rank",23
"24","Hocket","Entity","Minnesota Wild","http://www.sportsfangraph.com/team/minnesota-wild",2012-12-06,"Rank",24
"25","Hocket","Entity","Dallas Stars","http://www.sportsfangraph.com/team/dallas-stars",2012-12-06,"Rank",25
"26","Hocket","Entity","Ottawa Senators","http://www.sportsfangraph.com/team/ottawa-senators",2012-12-06,"Rank",26
"27","Hocket","Entity","Nashville Predators","http://www.sportsfangraph.com/team/nashville-predators",2012-12-06,"Rank",27
"28","Hocket","Entity","Carolina Hurricanes","http://www.sportsfangraph.com/team/carolina-hurricanes",2012-12-06,"Rank",28
"29","Hocket","Entity","Phoenix Coyotes","http://www.sportsfangraph.com/team/phoenix-coyotes",2012-12-06,"Rank",29
"30","Hocket","Entity","New York Islanders","http://www.sportsfangraph.com/team/new-york-islanders",2012-12-06,"Rank",30
"31","Hocket","Entity","Columbus Blue Jackets","http://www.sportsfangraph.com/team/columbus-blue-jackets",2012-12-06,"Rank",31
