,Governing_Body,Event,Sport,Sponsorship_Type,Period,Company,Company_Brand,Contract_Type,Value,Value_Type,Detail
1,BASS,NA,Bass Fishing,Title,2012,Cabela‰Ûªs,NA,NA,NA,NA,NA
2,BASS,NA,Bass Fishing,Official,2012,Berkley Fishing,NA,NA,NA,NA,NA
3,BASS,NA,Bass Fishing,Official,2012,Evan Williams Bourbon,NA,NA,NA,NA,NA
4,BASS,NA,Bass Fishing,Official,2012,Mercury,NA,NA,NA,NA,NA
5,BASS,NA,Bass Fishing,Official,2012,Skeeter Fishing Boats,NA,NA,NA,NA,NA
6,BASS,NA,Bass Fishing,Official,2012,Toyota Trucks,NA,NA,NA,NA,NA
7,BASS,NA,Bass Fishing,Official,2012,Triton Boats,NA,NA,NA,NA,NA
8,BASS,NA,Bass Fishing,Official,2012,Yamaha,NA,NA,NA,NA,NA
9,BASS,NA,Bass Fishing,Supporting,2012,Booyah Bait Co.,NA,NA,NA,NA,NA
10,BASS,NA,Bass Fishing,Supporting,2012,Hummingbird,NA,NA,NA,NA,NA
11,BASS,NA,Bass Fishing,Supporting,2012,Lowrance,NA,NA,NA,NA,NA
12,BASS,NA,Bass Fishing,Supporting,2012,Minn Kota Sports,NA,NA,NA,NA,NA
13,BASS,NA,Bass Fishing,Supporting,2012,Owner Hooks,NA,NA,NA,NA,NA
14,BASS,NA,Bass Fishing,Supporting,2012,Simms,NA,NA,NA,NA,NA
15,FLW,NA,Bass Fishing,Title,2011,Walmart,NA,NA,NA,NA,NA
16,FLW,NA,Bass Fishing,Official,2011,AMP Energy,NA,NA,NA,NA,NA
17,FLW,NA,Bass Fishing,Official,2011,Band-Aid,NA,NA,NA,NA,NA
18,FLW,NA,Bass Fishing,Official,2011,Castrol,NA,NA,NA,NA,NA
19,FLW,NA,Bass Fishing,Official,2011,Chevrolet,NA,NA,NA,NA,NA
20,FLW,NA,Bass Fishing,Official,2011,Diet Mountain Dew,NA,NA,NA,NA,NA
21,FLW,NA,Bass Fishing,Official,2011,Dunkin‰Ûª Donuts,NA,NA,NA,NA,NA
22,FLW,NA,Bass Fishing,Official,2011,Duracell,NA,NA,NA,NA,NA
23,FLW,NA,Bass Fishing,Official,2011,EverStart,NA,NA,NA,NA,NA
24,FLW,NA,Bass Fishing,Official,2011,Evinrude,NA,NA,NA,NA,NA
25,FLW,NA,Bass Fishing,Official,2011,Folgers,NA,NA,NA,NA,NA
26,FLW,NA,Bass Fishing,Official,2011,Gillette,NA,NA,NA,NA,NA
27,FLW,NA,Bass Fishing,Official,2011,Goodwill Industries,NA,NA,NA,NA,NA
28,FLW,NA,Bass Fishing,Official,2011,Iams,NA,NA,NA,NA,NA
29,FLW,NA,Bass Fishing,Official,2011,Keebler,NA,NA,NA,NA,NA
30,FLW,NA,Bass Fishing,Official,2011,Kellogg‰Ûªs,NA,NA,NA,NA,NA
31,FLW,NA,Bass Fishing,Official,2011,LowRange,NA,NA,NA,NA,NA
32,FLW,NA,Bass Fishing,Official,2011,Mercury,NA,NA,NA,NA,NA
33,FLW,NA,Bass Fishing,Official,2011,National Guard,NA,NA,NA,NA,NA
34,FLW,NA,Bass Fishing,Official,2011,Neosporin,NA,NA,NA,NA,NA
35,FLW,NA,Bass Fishing,Official,2011,Off!,NA,NA,NA,NA,NA
36,FLW,NA,Bass Fishing,Official,2011,PickensPlan.com,NA,NA,NA,NA,NA
37,FLW,NA,Bass Fishing,Official,2011,Planters,NA,NA,NA,NA,NA
38,FLW,NA,Bass Fishing,Official,2011,PlayStation 3,NA,NA,NA,NA,NA
39,FLW,NA,Bass Fishing,Official,2011,Prevacid,NA,NA,NA,NA,NA
40,FLW,NA,Bass Fishing,Official,2011,Pringle‰Ûªs,NA,NA,NA,NA,NA
41,FLW,NA,Bass Fishing,Official,2011,Ranger Boats,NA,NA,NA,NA,NA
42,FLW,NA,Bass Fishing,Official,2011,Rapala,NA,NA,NA,NA,NA
43,FLW,NA,Bass Fishing,Official,2011,Scotch Blue Painter‰Ûªs Tape,NA,NA,NA,NA,NA
44,FLW,NA,Bass Fishing,Official,2011,Snickers,NA,NA,NA,NA,NA
45,FLW,NA,Bass Fishing,Official,2011,Straight Talk,NA,NA,NA,NA,NA
46,WON,NA,Bass Fishing,Official,2012,Bass Pro Shops,NA,NA,NA,NA,NA
47,WON,NA,Bass Fishing,Official,2012,BoatResponsibly.com,NA,NA,NA,NA,NA
48,WON,NA,Bass Fishing,Official,2012,Boulder Station Casino,NA,NA,NA,NA,NA
49,WON,NA,Bass Fishing,Official,2012,Canyon Plastics,NA,NA,NA,NA,NA
50,WON,NA,Bass Fishing,Official,2012,Costa,NA,NA,NA,NA,NA
51,WON,NA,Bass Fishing,Official,2012,Hi-Seas,NA,NA,NA,NA,NA
52,WON,NA,Bass Fishing,Official,2012,Konocti Vista Casino,NA,NA,NA,NA,NA
53,WON,NA,Bass Fishing,Official,2012,Lowrance,NA,NA,NA,NA,NA
54,WON,NA,Bass Fishing,Official,2012,Mercury,NA,NA,NA,NA,NA
55,WON,NA,Bass Fishing,Official,2012,Motor Guide,NA,NA,NA,NA,NA
56,WON,NA,Bass Fishing,Official,2012,Nitro,NA,NA,NA,NA,NA
57,WON,NA,Bass Fishing,Official,2012,Plano Molding Company,NA,NA,NA,NA,NA
58,WON,NA,Bass Fishing,Official,2012,Quality Performance Marine,NA,NA,NA,NA,NA
59,WON,NA,Bass Fishing,Official,2012,Seaguar,NA,NA,NA,NA,NA
60,WON,NA,Bass Fishing,Official,2012,Trolling Motor Doctor,NA,NA,NA,NA,NA
61,WON,NA,Bass Fishing,Official,2012,Yo-Zuri America,NA,NA,NA,NA,NA
