,Governing_Body,Sport,Sponsorship_Type,Period,Company,Company_Brand,Contract_Type,Value,Value_Type
1,NCAA,Football,Corporate Champion,2012,AT&T,NA,Annual License,35,Dollars_Millions
2,NCAA,Football,Corporate Champion,2012,Coca-Cola,NA,Annual License,35,Dollars_Millions
3,NCAA,Football,Corporate Champion,2012,General Motors,NA,Annual License,35,Dollars_Millions
4,NCAA,Football,Corporate Partner,2012,General Motors,Buick,Annual License,10,Dollars_Millions
5,NCAA,Football,Corporate Partner,2012,Enterprise Rent-A-Car,NA,Annual License,10,Dollars_Millions
6,NCAA,Football,Corporate Partner,2012,Hartford Financial Services Group,NA,Annual License,10,Dollars_Millions
7,NCAA,Football,Corporate Partner,2012,LG,NA,Annual License,10,Dollars_Millions
8,NCAA,Football,Corporate Partner,2012,Lowes,NA,Annual License,10,Dollars_Millions
9,NCAA,Football,Corporate Partner,2012,Kraft,Planters,Annual License,10,Dollars_Millions
10,NCAA,Football,Corporate Partner,2012,Mars,Reeses,Annual License,10,Dollars_Millions
11,NCAA,Football,Corporate Partner,2012,Unilever,NA,Annual License,10,Dollars_Millions
12,NCAA,Football,Corporate Partner,2012,UPS,NA,Annual License,10,Dollars_Millions
