,Governing_Body,Sponsorship_Type,Period,Company,Detail
1,Supercross,Title,2012,Monster Beverage,Sponsorship Commenced in 2007
2,Supercross,Official,2012,Alpinestars,NA
3,Supercross,Official,2012,AMS Oil,NA
4,Supercross,Official,2012,DC Shoes,NA
5,Supercross,Official,2012,Discount Tire,NA
6,Supercross,Official,2012,Dunlop Tire,NA
7,Supercross,Official,2012,EBC Brakes,NA
8,Supercross,Official,2012,Falken Tire,NA
9,Supercross,Official,2012,Honda,NA
10,Supercross,Official,2012,Kawasaki,NA
11,Supercross,Official,2012,Las Vegas Hard Rock Hotel & Casino,NA
12,Supercross,Official,2012,K&N Filters,NA
13,Supercross,Official,2012,MasterCraft,NA
14,Supercross,Official,2012,NGK Spark Plugs,NA
15,Supercross,Official,2012,Parts Canada,NA
16,Supercross,Official,2012,Parts Unlimited,NA
17,Supercross,Official,2012,Pro Circuit,NA
18,Supercross,Official,2012,Racer X,NA
19,Supercross,Official,2012,Rocky Mountain ATV,NA
20,Supercross,Official,2012,San Manuel Band of Mission Indians,NA
21,Supercross,Official,2012,Suzuki,NA
22,Supercross,Official,2012,Smith Optics,NA
23,Supercross,Official,2012,Thor,NA
24,Supercross,Official,2012,Toyota,NA
25,Supercross,Official,2012,Traxxas,NA
26,Supercross,Official,2012,Yamaha,NA
