,Governing_Body,Event,Sponsorship_Type,Period,Company,Company_Brand
1,WTA,US Open Series,Official,2012,American Express,NA
2,WTA,US Open Series,Official,2012,Emirates,NA
3,WTA,US Open Series,Official,2012,Esurance,NA
4,WTA,US Open Series,Official,2012,Danone Group,Evian
5,WTA,US Open Series,Official,2012,PepsiCo,Gatorade
6,WTA,US Open,Official,2012,American Express,NA
7,WTA,US Open,Official,2012,Canon,NA
8,WTA,US Open,Official,2012,Citizen,NA
9,WTA,US Open,Official,2012,Continental Airlines,NA
10,WTA,US Open,Official,2012,Danone Group,Evian
11,WTA,US Open,Official,2012,Femara,NA
12,WTA,US Open,Official,2012,Heineken,NA
13,WTA,US Open,Official,2012,IBM,NA
14,WTA,US Open,Official,2012,JPMorganChase,NA
15,WTA,US Open,Official,2012,Unilever,Lever 2000
16,WTA,US Open,Official,2012,Toyota,Lexus
17,WTA,US Open,Official,2012,MassM Mutual,Mass Mutual Financial Group
18,WTA,US Open,Official,2012,Olympus,NA
19,WTA,US Open,Official,2012,Ralph Lauren,Polo
20,WTA,US Open,Official,2012,Sirius XM Satellite Radio,NA
21,WTA,US Open,Official,2012,Tennis Magazine,NA
22,WTA,US Open,Official,2012,The New York Times,NA
23,WTA,US Open,Official,2012,Tiffany & Co.,NA
24,WTA,US Open,Official,2012,Valspar Paint,NA
25,WTA,US Open,Official,2012,Vaseline,NA
26,WTA,US Open,Official,2012,Wilson,NA
27,WTA,NA,Official,2012,Dubai Duty Free,NA
28,WTA,NA,Official,2012,Jetstar,NA
29,WTA,NA,Official,2012,Oriflame,NA
30,WTA,NA,Official,2012,Peak,NA
31,WTA,NA,Official,2012,Sony,Xperia
32,WTA,NA,Official,2012,USANA Health Sciences,NA
33,WTA,ATP Tour,Official,2012,Corona Extra,NA
34,WTA,ATP Tour,Official,2012,Enel,NA
35,WTA,ATP Tour,Official,2012,FedEx,NA
36,WTA,ATP Tour,Official,2012,Head,NA
37,WTA,ATP Tour,Official,2012,LVMH,MoÌÇt & Chandon
38,WTA,ATP Tour,Official,2012,Pacific,NA
39,WTA,ATP Tour,Official,2012,Ricoh,NA
40,WTA,ATP Tour,Official,2012,South African Airways,NA
41,WTA,Wimbeldon,Official,2012,Evian,NA
42,WTA,Wimbeldon,Official,2012,G4S,NA
43,WTA,Wimbeldon,Official,2012,Hertz,NA
44,WTA,Wimbeldon,Official,2012,HSBC,NA
45,WTA,Wimbeldon,Official,2012,IBM,NA
46,WTA,Wimbeldon,Official,2012,Jacob‰Ûªs Creek,NA
47,WTA,Wimbeldon,Official,2012,Lanson,NA
48,WTA,Wimbeldon,Official,2012,Lavazza,NA
49,WTA,Wimbeldon,Official,2012,Ralph Lauren,NA
50,WTA,Wimbeldon,Official,2012,Robinsons,NA
51,WTA,Wimbeldon,Official,2012,Rolex,NA
52,WTA,Wimbeldon,Official,2012,Slazenger,NA
53,WTA,Wimbeldon,Official,2012,Sony,NA
54,WTA,Sony Open,Official,2012,Bacardi,NA
55,WTA,Sony Open,Official,2012,Back Office Associates,NA
56,WTA,Sony Open,Official,2012,Baptist Health South Florida,NA
57,WTA,Sony Open,Official,2012,Corona Extra,NA
58,WTA,Sony Open,Official,2012,FedEx,NA
59,WTA,Sony Open,Official,2012,Fila,NA
60,WTA,Sony Open,Official,2012,Head,NA
61,WTA,Sony Open,Official,2012,ItaÌ¼ Bank,NA
62,WTA,Sony Open,Official,2012,LAN Airlines,NA
63,WTA,Sony Open,Official,2012,Lindt Chocolates,NA
64,WTA,Sony Open,Official,2012,MasterCard,NA
65,WTA,Sony Open,Official,2012,Miami.com,NA
66,WTA,Sony Open,Official,2012,Nestle,Nespresso
67,WTA,Sony Open,Official,2012,Penn,NA
68,WTA,Sony Open,Official,2012,Pricewaterhouse-Coopers,NA
69,WTA,Sony Open,Official,2012,Tipperary Crystal,NA
70,WTA,Sony Open,Official,2012,BollÌ©,NA
71,WTA,Sony Open,Official,2012,Bombay Sapphire,NA
72,WTA,Sony Open,Official,2012,Great Performances,NA
73,WTA,Sony Open,Official,2012,IMG,NA
74,WTA,Sony Open,Official,2012,Bollettieri Tennis Academy,NA
75,WTA,Sony Open,Official,2012,Laykold,NA
76,WTA,Sony Open,Official,2012,Luxilon,NA
77,WTA,Sony Open,Official,2012,Ocean Drive Magazine,NA
78,WTA,Sony Open,Official,2012,TennisPlaza,NA
79,WTA,Sony Open,Official,2012,USANA Health Sciences,NA
