"","Location","Sports_Facility_Name","Franchise_Name","League","Capacity","Year_Built"
"1","Anaheim, California","Angel Stadium of Anaheim","Angels ","MLB",45050,1966
"2",NA,"Honda Center","Ducks ","NHL",17174,1993
"3","Atlanta, Georgia","Georgia Dome","Falcons ","NFL",71228,1992
"4",NA,"Philips Arena","Hawks ","NBA",18750,1999
"5",NA,"Philips Arena","Thrashers ","NHL",18545,1999
"6",NA,"Turner Field","Braves ","MLB",50097,1996
"7","Baltimore, Maryland","M&T Bank Stadium","Ravens ","NFL",71008,1998
"8",NA,"Oriole Park at Camden Yards","Orioles ","MLB",48876,1992
"9","Boston/Foxboro, Massachusetts","Fenway Park","Red Sox ","MLB",37402,1912
"10",NA,"Gillette Stadium","Patriots ","NFL",68756,2002
"11",NA,"Gillette Stadium","Revolution ","MLS",22385,2002
"12",NA,"TD Garden","Bruins ","NHL",17565,1995
"13",NA,"TD Garden","Celtics ","NBA",18624,1995
"14","Brooklyn, New York","The Barclays Center","Brooklyn Nets ","NBA",18103,2012
"15","Buffalo, New York","HSBC Arena","Sabres ","NHL",18690,1996
"16",NA,"Ralph Wilson Stadium","Bills ","NFL",73967,1973
"17","Calgary, Alberta, Canada","Pengrowth Saddledome","Flames ","NHL",19289,1983
"18","Charlotte, North Carolina","Bank of America Stadium","Panthers ","NFL",73778,1996
"19",NA,"Time Warner Cable Arena","Bobcats ","NBA",19568,2005
"20","Chicago, Illinois","Soldier Field","Bears ","NFL",61500,1924
"21",NA,"Toyota Park","Fire ","MLS",20000,2006
"22",NA,"U.S. Cellular Field","White Sox ","MLB",40615,1991
"23",NA,"United Center","Bulls ","NBA",20917,1994
"24",NA,"United Center","Blackhawks ","NHL",19717,1994
"25",NA,"Wrigley Field","Cubs ","MLB",41160,1914
"26","Cincinnati, Ohio","Great American Ball Park","Reds ","MLB",42271,2003
"27",NA,"Paul Brown Stadium","Bengals ","NFL",65790,2000
"28","Cleveland, Ohio","Cleveland Browns Stadium","Browns ","NFL",73200,1999
"29",NA,"Progressive Field","Indians ","MLB",45199,1994
"30",NA,"Quicken Loans Arena","Cavaliers ","NBA",20562,1994
"31","Columbus, Ohio","Columbus Crew Stadium","Crew ","MLS",20455,1999
"32",NA,"Nationwide Arena","Blue Jackets ","NHL",18144,2000
"33","Dallas/Arlington, Texas","American Airlines Center","Mavericks ","NBA",19200,2001
"34",NA,"American Airlines Center","Stars ","NHL",18532,2001
"35",NA,"Cowboys Stadium","Cowboys ","NFL",80000,2009
"36",NA,"Pizza Hut Park","FC Dallas ","MLS",21193,2005
"37",NA,"Rangers Ballpark In Arlington","Rangers ","MLB",49170,1994
"38","Denver/Commerce City, Colorado","Coors Field","Rockies ","MLB",50445,1995
"39",NA,"Dick’s Sporting Goods Park","Rapids ","MLS",18086,2007
"40",NA,"Invesco Field at Mile High","Broncos ","NFL",76125,2001
"41",NA,"Pepsi Center","Avalanche ","NHL",18007,1999
"42",NA,"Pepsi Center","Nuggets ","NBA",19309,1999
"43","Detroit/Auburn Hills, Michigan","Comerica Park","Tigers ","MLB",41982,2000
"44",NA,"Ford Field","Lions ","NFL",64500,2002
"45",NA,"Joe Louis Arena","Red Wings ","NHL",20066,1979
"46",NA,"The Palace of Auburn Hills","Pistons ","NBA",22076,1988
"47","Edmondton, Alberta, Canada","Rexall Place","Oilers ","NHL",16839,1974
"48","Ft. Lauderdale/Sunrise, Florida","BankAtlantic Center","Panthers ","NHL",19250,1998
"49","Green Bay, Wisconsin","Lambeau Field","Packers ","NFL",72928,1957
"50","Houston, Texas","Minute Maid Park","Astros ","MLB",40950,2000
"51",NA,"Reliant Stadium","Texans ","NFL",71500,2002
"52",NA,"Robertson Stadium","Dynamo ","MLS",32000,1941
"53",NA,"Toyota Center","Rockets ","NBA",18370,2003
"54","Indianapolis, Indiana","Conseco Fieldhouse","Pacers ","NBA",18345,1999
"55",NA,"Lucas Oil Stadium","Colts ","NFL",66153,2008
"56","Jacksonville, Florida","EverBank Field","Jaguars ","NFL",67164,1995
"57","Kansas City, Missouri","Arrowhead Stadium","Chiefs ","NFL",77000,1972
"58",NA,"Community America Ballpark","Wizards ","MLS",10345,2003
"59",NA,"Kauffman Stadium","Royals ","MLB",39000,1973
"60","Los Angeles, California","Dodger Stadium","Dodgers ","MLB",56000,1962
"61",NA,"Staples Center","Clippers ","NBA",19060,1999
"62",NA,"Staples Center","Lakers ","NBA",18997,1999
