Sports_Venue,City,State_Provence,Country,Sponsor,Sponsor_Type,Variable,Value,Value_Type,Source,Date
Barclays Center,Brooklyn,NY,United States of America,Barclays Bank,Venue Naming Rights,Naming Rights Deal,210,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Citi Field,Flushing,NY,United States of America,Citigroup,Venue Naming Rights,Naming Rights Deal,400,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
MetLife Stadium,East Rutherford,NJ,United States of America,MetLife,Venue Naming Rights,Naming Rights Deal,400,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Reliant Stadium,Houston,TX,United States of America,Reliant Resources,Venue Naming Rights,Naming Rights Deal,300,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
FedEx Field,Raljon,MD,United States of America,Federal Express,Venue Naming Rights,Naming Rights Deal,205,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
American Airlines Center,Dallas,TX,United States of America,American Airlines,Venue Naming Rights,Naming Rights Deal,195,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Minute Maid Park,Houston,TX,United States of America,Minute Maid Co.,Venue Naming Rights,Naming Rights Deal,170,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Philips Arena,Atlanta,GA,United States of America,Royal Philips Electronics,Venue Naming Rights,Naming Rights Deal,168,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
University of Phoenix Stadium,Glendale,AZ,United States of America,University of Phoenix,Venue Naming Rights,Naming Rights Deal,154,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Lincoln Financial Field,Philadelphia,PA,United States of America,Lincoln Financial,Venue Naming Rights,Naming Rights Deal,139.6,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Lucas Oil Stadium,Indianapolis,IN,United States of America,Lucas Oil Co,Venue Naming Rights,Naming Rights Deal,121.5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Cisco Field,Fremont,CA,United States of America,Cisco Systems Inc.,Venue Naming Rights,Naming Rights Deal,120,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
CMGi Field,Foxborough,MA,United States of America,CMGi,Venue Naming Rights,Naming Rights Deal,120,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Invesco Field at Mile High,Denver,CO,United States of America,Invesco Funds Group,Venue Naming Rights,Naming Rights Deal,120,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
TD Banknorth Garden,Boston,MA,United States of America,TD Banknorth Inc.,Venue Naming Rights,Naming Rights Deal,120,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
PSINet Stadium,Baltimore,MD,United States of America,PSINet,Venue Naming Rights,Naming Rights Deal,105.5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Prudential Center,Newark,NJ,United States of America,Prudential Financial,Venue Naming Rights,Naming Rights Deal,105,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Enron Field,Houston,TX,United States of America,Enron,Venue Naming Rights,Naming Rights Deal,100,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Staples Center,Los Angeles,CA,United States of America,Staples Inc.,Venue Naming Rights,Naming Rights Deal,100,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Toyota Center,Houston,TX,United States of America,Gulf States Toyota,Venue Naming Rights,Naming Rights Deal,100,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
FedEx Forum,Memphis,TN,United States of America,Federal Express,Venue Naming Rights,Naming Rights Deal,90,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Gaylord Entertainment Center,Nashville,TN,United States of America,Gaylord Entertainment Co.,Venue Naming Rights,Naming Rights Deal,80,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
RBC Center,Raleigh,NC,United States of America,Royal Bank of Canada,Venue Naming Rights,Naming Rights Deal,80,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Ameriquest Field in Arlington,Arlington,TX,United States of America,Ameriquest Mortgage Co.,Venue Naming Rights,Naming Rights Deal,75,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Great American Ballpark,Cincinnati,OH,United States of America,Great American Insurance,Venue Naming Rights,Naming Rights Deal,75,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
M&T Bank Stadium,Baltimore,MD,United States of America,M&T Bank,Venue Naming Rights,Naming Rights Deal,75,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Qwest Field,Seattle,WA,United States of America,Qwest Communications,Venue Naming Rights,Naming Rights Deal,75,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Xcel Energy Arena,St. Paul,MN,United States of America,Xcel Energy Co,Venue Naming Rights,Naming Rights Deal,75,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Edward Jones Dome,St. Louis,MO,United States of America,Edward D. Jones & Co.,Venue Naming Rights,Naming Rights Deal,73.6,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Compaq Center at San Jose,San Jose,CA,United States of America,Compaq Computer,Venue Naming Rights,Naming Rights Deal,72,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Home Depot National Training Center,Carson,CA,United States of America,Home Depot,Venue Naming Rights,Naming Rights Deal,70,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Savvis Center,St. Louis,MO,United States of America,Savvis Communications,Venue Naming Rights,Naming Rights Deal,70,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Pepsi Center,Denver,CO,United States of America,Pepsi Cola. Co.,Venue Naming Rights,Naming Rights Deal,68,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Comerica Park,Detroit,MI,United States of America,Comerica Bank,Venue Naming Rights,Naming Rights Deal,66,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Sprint Center,Kansas City,MO,United States of America,Sprint,Venue Naming Rights,Naming Rights Deal,62.5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Bell Centre,Montreal,QC,Canada,Bell Canada,Venue Naming Rights,Naming Rights Deal,60,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Honda Center,Anaheim,CA,United States of America,Honda,Venue Naming Rights,Naming Rights Deal,60,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Petco Park,San Diego,CA,United States of America,Petco,Venue Naming Rights,Naming Rights Deal,60,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
U.S. Cellular Field,Chicago,IL,United States of America,U.S. Cellular,Venue Naming Rights,Naming Rights Deal,60,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Progressive Field,Cleveland,OH,United States of America,Progressive Insurance,Venue Naming Rights,Naming Rights Deal,57.6,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Citizens Bank Park,Philadelphia,PA,United States of America,Citizens Bank,Venue Naming Rights,Naming Rights Deal,57.5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Heinz Field,Pittsburgh,PA,United States of America,Heinz Food Co.,Venue Naming Rights,Naming Rights Deal,57,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Edison International Field,Anaheim,CA,United States of America,Edison International,Venue Naming Rights,Naming Rights Deal,50,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Pacific Bell Park,San Francisco,CA,United States of America,Pacific Bell,Venue Naming Rights,Naming Rights Deal,50,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
MCI Center,Washington,DC,United States of America,MCI,Venue Naming Rights,Naming Rights Deal,44,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
American Airlines Arena,Miami,FL,United States of America,American Airlines,Venue Naming Rights,Naming Rights Deal,42,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Miller Park,Milwaukee,WI,United States of America,Miller Brewing Co.,Venue Naming Rights,Naming Rights Deal,41,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Air Canada Centre,Toronto,ON,Canada,Air Canada,Venue Naming Rights,Naming Rights Deal,40,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Conseco Fieldhouse,Indianapolis,IN,United States of America,Conseco Inc.,Venue Naming Rights,Naming Rights Deal,40,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
First Union Center,Philadelphia,PA,United States of America,CoreStates Financial Corporation,Venue Naming Rights,Naming Rights Deal,40,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
