,Year,Model,Photos,Curl,Secondary_Photos,model_curl,Secondary_Curl,Primary_First_Photo_URL,Secondary_First_Photo_URL
1,2000,Carre Otis,8,model,NA,carre_otis,,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/carre_otis/2000/model/1/8,
2,2000,Daniela Pestova,6,model,NA,daniela_pestova,,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/daniela_pestova/2000/model/1/6,
3,2000,Estella Warren,6,model,NA,estella_warren,,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/estella_warren/2000/model/1/6,
4,2000,Gabrielle Reece,1,model,NA,gabrielle_reece,,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/gabrielle_reece/2000/model/1/1,
5,2000,Heidi Klum,7,model,NA,heidi_klum,,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/heidi_klum/2000/model/1/7,
6,2000,Kristy Hinze,6,model,NA,kristy_hinze,,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/kristy_hinze/2000/model/1/6,
7,2000,Kylie Bax,6,model,NA,kylie_bax,,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/kylie_bax/2000/model/1/6,
8,2000,Laetitia Casta,6,model,NA,laetitia_casta,,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/laetitia_casta/2000/model/1/6,
9,2000,Lujan Fernandez,6,model,NA,lujan_fernandez,,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/lujan_fernandez/2000/model/1/6,
10,2000,Michelle Behennah,6,model,NA,michelle_behennah,,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/michelle_behennah/2000/model/1/6,
11,2000,Noemie Lenoir,8,model,NA,noemie_lenoir,,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/noemie_lenoir/2000/model/1/8,
12,2000,Rachel Roberts,6,model,NA,rachel_roberts,,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/rachel_roberts/2000/model/1/6,
13,2000,Shakara Ledard,8,model,NA,shakara_ledard,,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/shakara_ledard/2000/model/1/8,
14,2000,Veronica Varekova,7,model,NA,veronica_varekova,,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/veronica_varekova/2000/model/1/7,
15,2000,Yamila Diaz,8,model,NA,yamila_diaz-rahi,,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/yamila_diaz-rahi/2000/model/1/8,
16,2001,Amy Wesson,7,model,NA,amy_wesson,,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/amy_wesson/2001/model/1/7,
17,2001,Aurelie Claudel,7,model,NA,aurelie_claudel,,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/aurelie_claudel/2001/model/1/7,
18,2001,Daniela Pestova,7,model,NA,daniela_pestova,,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/daniela_pestova/2001/model/1/7,
19,2001,Elsa Benitez,7,model,NA,elsa_benitez,,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/elsa_benitez/2001/model/1/7,
20,2001,Fernanda Tavares,7,model,NA,fernanda_tavares,,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/fernanda_tavares/2001/model/1/7,
21,2001,Heidi Klum,7,model,NA,heidi_klum,,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/heidi_klum/2001/model/1/7,
22,2001,Josie Maran,7,model,NA,josie_maran,,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/josie_maran/2001/model/1/7,
23,2001,Lujan Fernandez,7,model,NA,lujan_fernandez,,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/lujan_fernandez/2001/model/1/7,
24,2001,Michelle Behennah,7,model,NA,michelle_behennah,,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/michelle_behennah/2001/model/1/7,
25,2001,Molly Sims,7,model,NA,molly_sims,,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/molly_sims/2001/model/1/7,
26,2001,Shakara Ledard,7,model,NA,shakara_ledard,,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/shakara_ledard/2001/model/1/7,
27,2001,Shirley Mallmann,7,model,NA,shirley_mallmann,,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/shirley_mallmann/2001/model/1/7,
28,2001,Veronica Varekova,7,model,NA,veronica_varekova,,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/veronica_varekova/2001/model/1/7,
29,2001,Yamila Diaz,7,model,NA,yamila_diaz-rahi,,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/yamila_diaz-rahi/2001/model/1/7,
30,2002,Ana Beatriz Barros,8,model,NA,ana_beatriz_barros,,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/ana_beatriz_barros/2002/model/1/8,
