,Governing_Body,Variable,Variable_Type,Facet_Value,Facet_Type,Value_Type,Source,Period,Date,Value
1,NASCAR,Percentage of Fans,Fan Composition,Gender,Male,Percent of Total,ESPN Sports Poll,2012,NA,0.63
2,NASCAR,Percentage of Fans,Fan Composition,Gender,Female,Percent of Total,ESPN Sports Poll,2012,NA,0.37
3,NASCAR,Percentage of Fans,Fan Composition,Age,12-to-17,Percent of Total,ESPN Sports Poll,2012,NA,0.09
4,NASCAR,Percentage of Fans,Fan Composition,Age,18-to-24,Percent of Total,ESPN Sports Poll,2012,NA,0.09
5,NASCAR,Percentage of Fans,Fan Composition,Age,25-to-34,Percent of Total,ESPN Sports Poll,2012,NA,0.18
6,NASCAR,Percentage of Fans,Fan Composition,Age,35-to-44,Percent of Total,ESPN Sports Poll,2012,NA,0.18
7,NASCAR,Percentage of Fans,Fan Composition,Age,45-to-54,Percent of Total,ESPN Sports Poll,2012,NA,0.22
8,NASCAR,Percentage of Fans,Fan Composition,Age,55 and older,Percent of Total,ESPN Sports Poll,2012,NA,0.23
9,NASCAR,Percentage of Fans,Fan Composition,Ethnicity,Caucasian,Percent of Total,ESPN Sports Poll,2012,NA,0.77
10,NASCAR,Percentage of Fans,Fan Composition,Ethnicity,Hispanic-American,Percent of Total,ESPN Sports Poll,2012,NA,0.09
11,NASCAR,Percentage of Fans,Fan Composition,Ethnicity,African-American,Percent of Total,ESPN Sports Poll,2012,NA,0.09
12,NASCAR,Percentage of Fans,Fan Composition,Ethnicity,Other,Percent of Total,ESPN Sports Poll,2012,NA,0.05
