"","Sport","Facet_Type","Facet_Value","Fangraph_URL","Date","Variable","Value"
"1","Baseball","Entity","New York Yankees","http://www.sportsfangraph.com/team/new-york-yankees",2012-12-06,"Rank",1
"2","Baseball","Entity","MLB","http://www.sportsfangraph.com/team/mlb",2012-12-06,"Rank",2
"3","Baseball","Entity","Boston Red Sox","http://www.sportsfangraph.com/team/boston-red-sox",2012-12-06,"Rank",3
"4","Baseball","Entity","San Francisco Giants","http://www.sportsfangraph.com/team/san-francisco-giants",2012-12-06,"Rank",4
"5","Baseball","Entity","Philadelphia Phillies","http://www.sportsfangraph.com/team/philadelphia-phillies",2012-12-06,"Rank",5
"6","Baseball","Entity","Chicago Cubs","http://www.sportsfangraph.com/team/chicago-cubs",2012-12-06,"Rank",6
"7","Baseball","Entity","Texas Rangers","http://www.sportsfangraph.com/team/texas-rangers",2012-12-06,"Rank",7
"8","Baseball","Entity","St. Louis Cardinals","http://www.sportsfangraph.com/team/st-louis-cardinals",2012-12-06,"Rank",8
"9","Baseball","Entity","Atlanta Braves","http://www.sportsfangraph.com/team/atlanta-braves",2012-12-06,"Rank",9
"10","Baseball","Entity","Los Angeles Dodgers","http://www.sportsfangraph.com/team/los-angeles-dodgers",2012-12-06,"Rank",10
"11","Baseball","Entity","Detroit Tigers","http://www.sportsfangraph.com/team/detroit-tigers",2012-12-06,"Rank",11
"12","Baseball","Entity","Chicago White Sox","http://www.sportsfangraph.com/team/chicago-white-sox",2012-12-06,"Rank",12
"13","Baseball","Entity","Minnesota Twins","http://www.sportsfangraph.com/team/minnesota-twins",2012-12-06,"Rank",13
"14","Baseball","Entity","Cincinnati Reds","http://www.sportsfangraph.com/team/cincinnati-reds",2012-12-06,"Rank",14
"15","Baseball","Entity","New York Mets","http://www.sportsfangraph.com/team/new-york-mets",2012-12-06,"Rank",15
"16","Baseball","Entity","Milwaukee Brewers","http://www.sportsfangraph.com/team/milwaukee-brewers",2012-12-06,"Rank",16
"17","Baseball","Entity","Toronto Blue Jays","http://www.sportsfangraph.com/team/toronto-blue-jays",2012-12-06,"Rank",17
"18","Baseball","Entity","Cleveland Indians","http://www.sportsfangraph.com/team/cleveland-indians",2012-12-06,"Rank",18
"19","Baseball","Entity","Los Angeles Angels of Ana...","http://www.sportsfangraph.com/team/los-angeles-angels-of-anaheim",2012-12-06,"Rank",19
"20","Baseball","Entity","Seattle Mariners","http://www.sportsfangraph.com/team/seattle-mariners",2012-12-06,"Rank",20
"21","Baseball","Entity","Colorado Rockies","http://www.sportsfangraph.com/team/colorado-rockies",2012-12-06,"Rank",21
"22","Baseball","Entity","Baltimore Orioles","http://www.sportsfangraph.com/team/baltimore-orioles",2012-12-06,"Rank",22
"23","Baseball","Entity","Tampa Bay Rays","http://www.sportsfangraph.com/team/tampa-bay-rays",2012-12-06,"Rank",23
"24","Baseball","Entity","Houston Astros","http://www.sportsfangraph.com/team/houston-astros",2012-12-06,"Rank",24
"25","Baseball","Entity","Pittsburgh Pirates","http://www.sportsfangraph.com/team/pittsburgh-pirates",2012-12-06,"Rank",25
