,Governing_Body,Sponsorship_Type,Period,Company,Company_Brand,Franchise,Sponsorship,Contract_Type,Value,Value_Type
1,MLS,Official,2012,Adidas,NA,NA,NA,NA,NA,NA
2,MLS,Official,2012,Allstate,NA,NA,NA,NA,NA,NA
3,MLS,Official,2012,PepsiCo,Aquafina,NA,NA,NA,NA,NA
4,MLS,Official,2012,AT&T,NA,NA,NA,NA,NA,NA
5,MLS,Official,2012,Anheiser-Busch,Budweiser,NA,NA,NA,NA,NA
6,MLS,Official,2012,Bimbo,NA,NA,NA,NA,NA,NA
7,MLS,Official,2012,Castrol,NA,NA,NA,NA,NA,NA
8,MLS,Official,2012,Continental Tire,NA,NA,NA,NA,NA,NA
9,MLS,Official,2012,Rexona,Degree for men,NA,NA,NA,NA,NA
10,MLS,Official,2012,Dick‰Ûªs Sporting Goods,NA,NA,NA,NA,NA,NA
11,MLS,Official,2012,el Jimador Tequila,NA,NA,NA,NA,NA,NA
12,MLS,Official,2012,PepsiCo,Gatorade,NA,NA,NA,NA,NA
13,MLS,Official,2012,Jeld-Wen Windows & Doors,NA,NA,NA,NA,NA,NA
14,MLS,Official,2012,Makita,NA,NA,NA,NA,NA,NA
15,MLS,Official,2012,Panasonic,NA,NA,NA,NA,NA,NA
16,MLS,Official,2012,PepsiCo,Pepsi Max,NA,NA,NA,NA,NA
17,MLS,Official,2012,Red Bull,NA,NA,NA,NA,NA,NA
18,MLS,Official,2012,The Home Depot,NA,NA,NA,NA,NA,NA
19,MLS,Official,2012,VISA,NA,NA,NA,NA,NA,NA
20,MLS,Official,2012,Volkswagen,NA,NA,NA,NA,NA,NA
21,MLS,Official,2012,Microsoft,XBOX 360,NA,NA,NA,NA,NA
22,MLS,Franchise,2012,Herbalife,NA,Los Angeles Galaxy,Jersey,Annual License Fee,5,Dollars_Millions
23,MLS,Franchise,2012,Bank of Montreal,NA,Toronto FC,Jersey,Annual License Fee,4,Dollars_Millions
24,MLS,Franchise,2012,Microsoft,NA,Seattle Sounders FC,Jersey,Annual License Fee,4,Dollars_Millions
25,MLS,Franchise,2012,Volkswagen,NA,D.C. United,Jersey,Annual License Fee,3.7,Dollars_Millions
26,MLS,Franchise,2012,Best Buy,NA,Chicago Fire,Jersey,Annual License Fee,2.6,Dollars_Millions
27,MLS,Franchise,2012,Comex Group,NA,Chivas USA,Jersey,Annual License Fee,2,Dollars_Millions
28,MLS,Franchise,2012,Amigo Energy,NA,Houston Dynamo,Jersey,Annual License Fee,1.9,Dollars_Millions
29,MLS,Franchise,2012,Glidden,NA,Columbus Crew,Jersey,Annual License Fee,1,Dollars_Millions
30,MLS,Franchise,2012,XanGo,NA,Real Salt Lake,Jersey,Annual License Fee,1,Dollars_Millions
31,MLS,Franchise,2012,Bell Canada,NA,Vancouver Whitecaps,Jersey,Annual License Fee,3.87,Dollars_Millions
