,Governing_Body,Sponsorship_Type,Period,Company,Company_Brand
1,NHL,Official,2011-2012,Bell,NA
2,NHL,Official,2011-2012,Bridgestone,NA
3,NHL,Official,2011-2012,Canadian Tire,NA
4,NHL,Official,2011-2012,Cisco,NA
5,NHL,Official,2011-2012,Compuware,NA
6,NHL,Official,2011-2012,Discover Card,NA
7,NHL,Official,2011-2012,EA Sports,NA
8,NHL,Official,2011-2012,Enterprise Rent-A-Car,NA
9,NHL,Official,2011-2012,Geico,NA
10,NHL,Official,2011-2012,Hershey‰Ûªs,NA
11,NHL,Official,2011-2012,Honda,NA
12,NHL,Official,2011-2012,Kimberly Clark,NA
13,NHL,Official,2011-2012,Kraft,NA
14,NHL,Official,2011-2012,Las Vegas Convention and Visitors Authority,NA
15,NHL,Official,2011-2012,McDonald‰Ûªs,NA
16,NHL,Official,2011-2012,Molson Coors/MillerCorrs,NA
17,NHL,Official,2011-2012,Panini,NA
18,NHL,Official,2011-2012,PepsiCo,Pepsi
19,NHL,Official,2011-2012,PepsiCo,Gatorade
20,NHL,Official,2011-2012,PepsiCo,Aquafina
21,NHL,Official,2011-2012,PepsiCo,Frito-Lay
22,NHL,Official,2011-2012,Reebok,NA
23,NHL,Official,2011-2012,Scotiabank,NA
24,NHL,Official,2011-2012,Sirius/XM,NA
25,NHL,Official,2011-2012,Starwood Hotels,NA
26,NHL,Official,2011-2012,Ticketmaster,NA
27,NHL,Official,2011-2012,Tim Horton‰Ûªs,NA
28,NHL,Official,2011-2012,Upper Deck,NA
29,NHL,Official,2011-2012,Verizon Wireless,NA
30,NHL,Official,2011-2012,Visa,NA
