,Governing_Body,Sport,Sponsorship_Type,Period,Company
1,Little League Baseball,Baseball,Official,2012,Active Network
2,Little League Baseball,Baseball,Official,2012,Baseball Factory
3,Little League Baseball,Baseball,Official,2012,Dick‰Ûªs Sporting Goods
4,Little League Baseball,Baseball,Official,2012,Dudley
5,Little League Baseball,Baseball,Official,2012,Easton Sports
6,Little League Baseball,Baseball,Official,2012,Hilton Worldwide
7,Little League Baseball,Baseball,Official,2012,Honda
8,Little League Baseball,Baseball,Official,2012,Kellogg‰Ûªs Frosted Flakes
9,Little League Baseball,Baseball,Official,2012,Musco Sports Lighting
10,Little League Baseball,Baseball,Official,2012,New Era
11,Little League Baseball,Baseball,Official,2012,New York Life
12,Little League Baseball,Baseball,Official,2012,Russell Athletic
13,Little League Baseball,Baseball,Official,2012,Spalding
14,Little League Baseball,Baseball,Official,2012,Subway
15,Little League Baseball,Baseball,Official,2012,Youth Sports Live
16,Babe Ruth League,Baseball,Official,2012,Adidas
17,Babe Ruth League,Baseball,Official,2012,Babe Ruth Store
18,Babe Ruth League,Baseball,Official,2012,David Seeds
19,Babe Ruth League,Baseball,Official,2012,Hershey‰Ûªs
20,Babe Ruth League,Baseball,Official,2012,K&K Insurance
21,Babe Ruth League,Baseball,Official,2012,Musco Sports Lighting
22,Babe Ruth League,Baseball,Official,2012,Nationwide Insurance
23,Babe Ruth League,Baseball,Official,2012,Rawlings
24,Babe Ruth League,Baseball,Official,2012,The Sports Authority
25,Babe Ruth League,Baseball,Official,2012,TSS Photography
26,Pop Warner,Football,Official,2012,Active Network
27,Pop Warner,Football,Official,2012,Backyard Sports Rookie Rush
28,Pop Warner,Football,Official,2012,Bike Athletic
29,Pop Warner,Football,Official,2012,Chartis Insurance
30,Pop Warner,Football,Official,2012,H.K. Anderson
31,Pop Warner,Football,Official,2012,Jostens/OurHubub
32,Pop Warner,Football,Official,2012,Modell‰Ûªs Sporting Goods
33,Pop Warner,Football,Official,2012,Panini America (formerly Donruss)
34,Pop Warner,Football,Official,2012,Russell Athletic
35,Pop Warner,Football,Official,2012,Schutt Sports
36,Pop Warner,Football,Official,2012,Spalding
37,Pop Warner,Football,Official,2012,Team Cheer
38,Pop Warner,Football,Official,2012,The Sports Authority
39,American Youth Football,Football,Official,2012,ASEP American Sport Education Programs
40,American Youth Football,Football,Official,2012,Citibank
41,American Youth Football,Football,Official,2012,Get In the Game
42,American Youth Football,Football,Official,2012,Glazier Coaching Clinics
43,American Youth Football,Football,Official,2012,Kraft Foods
44,American Youth Football,Football,Official,2012,LexisNexis Volunteer Screening
45,American Youth Football,Football,Official,2012,Modell‰Ûªs Sporting Goods
46,American Youth Football,Football,Official,2012,NCAA Football
47,American Youth Football,Football,Official,2012,Riddell
48,American Youth Football,Football,Official,2012,Sadler Sports Insurance
49,American Youth Football,Football,Official,2012,Salesforce.com
50,American Youth Football,Football,Official,2012,Sportography
51,American Youth Football,Football,Official,2012,Sports Awards Company
52,American Youth Football,Football,Official,2012,Under Armour
53,American Youth Football,Football,Official,2012,Universal Cheerleaders Association
54,American Youth Football,Football,Official,2012,Wilson Sports
55,American Youth Football,Football,Official,2012,Xtreme Procision
56,American Youth Soccer,Soccer,Official,2012,American Soccer Co./Score
57,American Youth Soccer,Soccer,Official,2012,Banners USA
58,American Youth Soccer,Soccer,Official,2012,Clubspaces
59,American Youth Soccer,Soccer,Official,2012,Fold-A-Goal
60,American Youth Soccer,Soccer,Official,2012,Fox Sports Channel
61,American Youth Soccer,Soccer,Official,2012,Herbalife
62,American Youth Soccer,Soccer,Official,2012,Liberty Mutual
63,American Youth Soccer,Soccer,Official,2012,MedImmune
64,American Youth Soccer,Soccer,Official,2012,People to People
65,American Youth Soccer,Soccer,Official,2012,Ralph‰Ûªs
66,American Youth Soccer,Soccer,Official,2012,ShutterFly
67,American Youth Soccer,Soccer,Official,2012,Sport Pins International
68,American Youth Soccer,Soccer,Official,2012,The Umbrella Store
69,American Youth Soccer,Soccer,Official,2012,Baymont Inn & Suites
70,US Youth Soccer,Soccer,Official,2012,Clorox 2
71,US Youth Soccer,Soccer,Official,2012,Coleman Repellents
72,US Youth Soccer,Soccer,Official,2012,Degree
73,US Youth Soccer,Soccer,Official,2012,Fox Soccer
74,US Youth Soccer,Soccer,Official,2012,Kohl‰Ûªs
75,US Youth Soccer,Soccer,Official,2012,Kwik Goal
76,US Youth Soccer,Soccer,Official,2012,Liberty Mutual
77,US Youth Soccer,Soccer,Official,2012,Major League Soccer
78,US Youth Soccer,Soccer,Official,2012,The Sports Authority
79,US Youth Soccer,Soccer,Official,2012,Women‰Ûªs Professional Soccer
