"","Period","Variable","Value","Value_Type","Source"
"1",2002,"Sports Sponsorship Spending",6500,"Dollars_Millions","IEG Sponsorship Report"
"2",2003,"Sports Sponsorship Spending",7100,"Dollars_Millions","IEG Sponsorship Report"
"3",2004,"Sports Sponsorship Spending",7700,"Dollars_Millions","IEG Sponsorship Report"
"4",2005,"Sports Sponsorship Spending",8300,"Dollars_Millions","IEG Sponsorship Report"
"5",2006,"Sports Sponsorship Spending",8900,"Dollars_Millions","IEG Sponsorship Report"
"6",2007,"Sports Sponsorship Spending",9900,"Dollars_Millions","IEG Sponsorship Report"
"7",2008,"Sports Sponsorship Spending",11600,"Dollars_Millions","IEG Sponsorship Report"
"8",2009,"Sports Sponsorship Spending",11300,"Dollars_Millions","IEG Sponsorship Report"
"9",2010,"Sports Sponsorship Spending",11700,"Dollars_Millions","IEG Sponsorship Report"
"10",2011,"Sports Sponsorship Spending",12400,"Dollars_Millions","IEG Sponsorship Report"
"11",2012,"Sports Sponsorship Spending",13200,"Dollars_Millions","IEG Sponsorship Report"
