"","Period","Facet_Type","Facet_Value","Variable","Value","Value_Type","Source"
"1",2007,NA,NA,"Total Sporting Good Sales",35800,"Dollars_Millions","Commerce Department"
"2",2008,NA,NA,"Total Sporting Good Sales",37050,"Dollars_Millions","Commerce Department"
"3",2009,NA,NA,"Total Sporting Good Sales",37070,"Dollars_Millions","Commerce Department"
"4",2010,NA,NA,"Total Sporting Good Sales",38300,"Dollars_Millions","Commerce Department"
"5",2011,NA,NA,"Total Sporting Good Sales",39880,"Dollars_Millions","Commerce Department"
"6",2011,"Company","Dick’s Sporting Goods","Total Sporting Good Sales",4410,"Dollars_Millions","Company Filings"
"7",2011,"Company","Bass Pro Shops","Total Sporting Good Sales",3830,"Dollars_Millions","Company Filings"
"8",2011,"Company","The Sports Authority","Total Sporting Good Sales",3410,"Dollars_Millions","Company Filings"
"9",2011,"Company","Academy Sports & Outdoors","Total Sporting Good Sales",2700,"Dollars_Millions","Company Filings"
"10",2011,"Company","Cabela’s, Inc.","Total Sporting Good Sales",2350,"Dollars_Millions","Company Filings"
"11",2011,"Company","Gander Mountain","Total Sporting Good Sales",1060,"Dollars_Millions","Company Filings"
"12",2011,"Company","Big 5 Sporting Goods","Total Sporting Good Sales",864,"Dollars_Millions","Company Filings"
"13",2011,"Company","Hibbett Sports","Total Sporting Good Sales",564,"Dollars_Millions","Company Filings"
"14",2011,"Company","Sport Chalet","Total Sporting Good Sales",372,"Dollars_Millions","Company Filings"
