"","Sport","Association","Divison","Facet_Type","Facet_Value","Variable","Value","Value_Type","Period"
"1","Football","NCAA",1,"Event","Allstate Sugar Bowl","Venue","Mercedes-Benz Superdome (New Orleans, LA)","Location",2012
"2","Football","NCAA",1,"Event","Allstate Sugar Bowl","Payout","18","Dollars_Millions",2012
"3","Football","NCAA",1,"Event","Allstate Sugar Bowl","Website","www.allstatesugarbowl.com","URL",2012
"4","Football","NCAA",1,"Event","Discover Orange Bowl","Venue","Orange Bowl (Miami, FL)","Location",2012
"5","Football","NCAA",1,"Event","Discover Orange Bowl","Payout","18","Dollars_Millions",2012
"6","Football","NCAA",1,"Event","Discover Orange Bowl","Website","www.orangebowl.org","URL",2012
"7","Football","NCAA",1,"Event","Rose Bowl Game Presented by Vizio","Venue","Rose Bowl (Pasadena, CA)","Location",2012
"8","Football","NCAA",1,"Event","Rose Bowl Game Presented by Vizio","Payout","18","Dollars_Millions",2012
"9","Football","NCAA",1,"Event","Rose Bowl Game Presented by Vizio","Website","www.tournamentofroses.com","URL",2012
"10","Football","NCAA",1,"Event","Tostitos BCS National Championship Game","Venue","Location rotates; 2012 game at Mercedes-Benz Superdome","Location",2012
"11","Football","NCAA",1,"Event","Tostitos BCS National Championship Game","Payout","18","Dollars_Millions",2012
"12","Football","NCAA",1,"Event","Tostitos BCS National Championship Game","Website","www.fiestabowl.org/index.php/bcs/","URL",2012
"13","Football","NCAA",1,"Event","Tostitos Fiesta Bowl","Venue","University of Phoenix Stadium (Glendale, AZ)","Location",2012
"14","Football","NCAA",1,"Event","Tostitos Fiesta Bowl","Payout","18","Dollars_Millions",2012
"15","Football","NCAA",1,"Event","Tostitos Fiesta Bowl","Website","www.www.fiestabowl.org/index.php/tostitos","URL",2012
"16","Football","NCAA",1,"Event","Advocate V100 Independence Bowl","Venue","Independence Stadium (Shreveport, LA)","Location",2012
"17","Football","NCAA",1,"Event","Advocate V100 Independence Bowl","Payout","1.1","Dollars_Millions",2012
"18","Football","NCAA",1,"Event","Advocate V100 Independence Bowl","Website","www.independencebowl.com","URL",2012
"19","Football","NCAA",1,"Event","AT&T Cotton Bowl","Venue","Cowboys Stadium (Arlington, TX)","Location",2012
"20","Football","NCAA",1,"Event","AT&T Cotton Bowl","Payout","3","Dollars_Millions",2012
"21","Football","NCAA",1,"Event","AT&T Cotton Bowl","Website","www.cottonbowl.com","URL",2012
"22","Football","NCAA",1,"Event","AutoZone Liberty Bowl","Venue","Liberty Bowl Memorial Stadium (Memphis, TN)","Location",2012
"23","Football","NCAA",1,"Event","AutoZone Liberty Bowl","Payout","1.7","Dollars_Millions",2012
"24","Football","NCAA",1,"Event","AutoZone Liberty Bowl","Website","www.autozonelibertybowl.com","URL",2012
"25","Football","NCAA",1,"Event","BBVA Compass Bowl","Venue","Legion Field (Birmingham, AL)","Location",2012
"26","Football","NCAA",1,"Event","BBVA Compass Bowl","Payout","0.9","Dollars_Millions",2012
"27","Football","NCAA",1,"Event","BBVA Compass Bowl","Website","www.bbvacompassbowl.com","URL",2012
"28","Football","NCAA",1,"Event","Beef ‘O’ Brady’s Bowl","Venue","Tropicana Field (St. Petersburg, FL)","Location",2012
"29","Football","NCAA",1,"Event","Beef ‘O’ Brady’s Bowl","Payout","1","Dollars_Millions",2012
"30","Football","NCAA",1,"Event","Beef ‘O’ Brady’s Bowl","Website","www.beefobradysbowl.com","URL",2012
"31","Football","NCAA",1,"Event","Belk Bowl","Venue","Bank of America Stadium (Charlotte, NC)","Location",2012
"32","Football","NCAA",1,"Event","Belk Bowl","Payout","1.6","Dollars_Millions",2012
"33","Football","NCAA",1,"Event","Belk Bowl","Website","www.belkbowl.com","URL",2012
"34","Football","NCAA",1,"Event","Bell Helicopter Armed Forces Bowl","Venue","Gerald J. Ford Stadium (University Park, TX)","Location",2012
"35","Football","NCAA",1,"Event","Bell Helicopter Armed Forces Bowl","Payout","0.6","Dollars_Millions",2012
"36","Football","NCAA",1,"Event","Bell Helicopter Armed Forces Bowl","Website","www.armedforcesbowl.com","URL",2012
"37","Football","NCAA",1,"Event","Bridgeport Education Holiday Bowl","Venue","Qualcomm Stadium (San Diego, CA)","Location",2012
"38","Football","NCAA",1,"Event","Bridgeport Education Holiday Bowl","Payout","2.05","Dollars_Millions",2012
"39","Football","NCAA",1,"Event","Bridgeport Education Holiday Bowl","Website","www.holidaybowl.com","URL",2012
"40","Football","NCAA",1,"Event","Capital One Bowl","Venue","Citrus Bowl (Orlando, FL)","Location",2012
"41","Football","NCAA",1,"Event","Capital One Bowl","Payout","4.25","Dollars_Millions",2012
"42","Football","NCAA",1,"Event","Capital One Bowl","Website","www.fcsports.com","URL",2012
"43","Football","NCAA",1,"Event","Champs Sports Bowl","Venue","Citrus Bowl (Orlando, FL)","Location",2012
"44","Football","NCAA",1,"Event","Champs Sports Bowl","Payout","2.25","Dollars_Millions",2012
"45","Football","NCAA",1,"Event","Champs Sports Bowl","Website","www.fcsports.com","URL",2012
"46","Football","NCAA",1,"Event","ChickfilA Bowl","Venue","Georgia Dome (Atlanta, GA)","Location",2012
"47","Football","NCAA",1,"Event","ChickfilA Bowl","Payout","3","Dollars_Millions",2012
