Player,Draft Year,Height Without Shoes,Height Without Shoes (inches),Height,Height (inches),Weight (lbs),Wingspan,Wingspan (inches),Reach,Reach (inches),Body Fat (%),Hand Length (inches),Hand Width (inches),No Step Verticle (inches),No Step Verticle Reach,No Step Verticle Reach (inches),Max Verticle (Inches),Max Verticle Reach,Max Verticle Reach (inches),Bench Press (reps of 185lbs.),Lane Agility Drill ,Sprint (3 Quarter Court in seconds),Predraft Rank,Draft Number,Draftexpress_Player_URL,Source,ID.Date
Emmanouil Koukoulas,2011,"6' 7.92""",79.92,"6' 9.10""",81.1,220,"6' 11.46""",83.46,"8' 10.30""",106.3,7.20%,NA,NA,23.8,"10' 10.10""",130.1,27.9,"11' 2.20""",134.2,NA,NA,3.55,NA,NA,NA,Draftexpress,5/1/11
Landen Lucas,2011,NA,NA,"6' 9.5""",81.5,241,"7' 0""",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/11
Charles Mitchell,2011,NA,NA,"6' 7""",79,266,"7' 0""",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/11
Chad Rykhoek,2011,NA,NA,"6' 11.5""",83.5,210,"6' 11""",83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/11
Jarnell Stokes,2011,NA,NA,"6' 9""",81,256,"7' 1""",85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/11
Dominic Artis,2011,NA,NA,"6' 1""",73,167,"6' 1""",73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/11
Jamel Artis,2011,NA,NA,"6' 6.25""",78.25,207,"6' 6""",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/11
Montay Brandon,2011,NA,NA,"6' 7""",79,191,"6' 7""",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/11
Siyani Chambers,2011,NA,NA,"6' 1""",73,159,"6' 2""",74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/11
Kendall Jones,2011,NA,NA,"5' 9""",69,137,"5' 9""",69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/11
Terry Rozier,2011,NA,NA,"6' 1""",73,168,"6' 6""",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/11
Kenny Kaminski,2011,NA,NA,"6' 8""",80,246,"6' 8""",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/11
Aaron Roundtree,2011,NA,NA,"6' 7""",79,173,"6' 11""",83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/11
Dominic Artis,2011,NA,NA,"6' 1""",73,167,"6' 1""",73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/11
Jamel Artis,2011,NA,NA,"6' 6.25""",78.25,207,"6' 6""",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/11
Montay Brandon,2011,NA,NA,"6' 7""",79,191,"6' 7""",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/11
Siyani Chambers,2011,NA,NA,"6' 1""",73,159,"6' 2""",74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/11
Nigel Hayes,2011,NA,NA,"6' 7.5""",79.5,225,"7' 2""",86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/11
Kenny Kaminski,2011,NA,NA,"6' 8""",80,246,"6' 8""",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/11
Charles Mitchell,2011,NA,NA,"6' 7""",79,266,"7' 0""",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/11
Jordan Price GA,2011,NA,NA,"6' 6""",78,221,"6' 7""",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/11
Aaron Roundtree,2011,NA,NA,"6' 7""",79,173,"6' 11""",83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/11
Terry Rozier,2011,NA,NA,"6' 1""",73,168,"6' 6""",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/11
Jay Simpson,2011,NA,NA,"6' 10""",82,263,"6' 10""",82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/11
Duo Meng,2010,"6' 3.20""",75.2,"6' 3.98""",75.98,204,"6' 3.59""",75.59,"8' 2.03""",98.03,NA,NA,NA,23.6,"10' 1.63""",121.63,31.9,"10' 9.93""",129.93,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/10
Lucas Alves,2010,"6' 5.95""",77.95,"6' 7.53""",79.53,228,"7' 1.43""",85.43,"8' 9.51""",105.51,NA,NA,NA,28,"11' 1.51""",133.51,33.5,"11' 7.01""",139.01,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/10
Uros Lukovic,2010,"6' 10.68""",82.68,"7' 0.25""",84.25,261,"7' 3.40""",87.4,"9' 4.60""",112.6,NA,NA,NA,22,"11' 2.60""",134.6,28.3,"11' 8.90""",140.9,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/10
Hanlin Dong,2010,"6' 9.10""",81.1,"6' 10.09""",82.09,222,"6' 11.86""",83.86,"9' 0.27""",108.27,NA,NA,NA,25.2,"11' 1.47""",133.47,35.4,"11' 11.67""",143.67,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/10
Ramon Martinez,2010,"6' 5.75""",77.75,NA,NA,197,"6' 7.25""",79.25,"8' 5.75""",101.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/10
Sidiki Johnson,2010,NA,NA,"6' 9""",81,206,"7' 1""",85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/10
Deng Leek,2010,NA,NA,"6' 10.5""",82.5,220,"7' 2""",86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/10
Anrio Adams,2010,NA,NA,"6' 4""",76,192,"6' 9.5""",81.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/10
Yi-Hsiang Chou ,2010,NA,NA,"6' 4""",76,202,"6' 6.5""",78.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/10
Jelon Hornbeak,2010,NA,NA,"6' 2""",74,170,"6' 5""",77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/10
Deng Leek,2010,NA,NA,"6' 10""",82,220,"7' 2""",86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/10
Chris Jones,2010,"5' 8""",68,NA,NA,162,"6' 0""",72,"7' 4""",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/10
Nick Stauskas,2010,"6' 5""",77,NA,NA,200,"6' 7""",79,"8' 3.5""",99.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/10
Landen Lucas,2010,"6' 8""",80,NA,NA,240,"7' 0.5""",84.5,"8' 9""",105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/10
Joseph Uchebo,2010,"6' 9""",81,NA,NA,238,"7' 0.5""",84.5,"8' 11""",107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/10
Kevin Johnson,2009,NA,NA,"6' 8.5""",80.5,250,"7' 0""",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/09
Bakari Turner,2009,NA,NA,"6' 3.5""",75.5,177,"6' 5""",77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Draftexpress,5/1/09
Daryl Dorsey,2005,"5' 11.25""",71.25,"6' 0.5""",72.5,161,"5' 11.5""",NA,"7' 10""",94,NA,NA,NA,25,"9' 11""",119,30.5,"10' 4.5""",124.5,,11.41,3.24,66,NA,NA,Draftexpress,5/1/05
Souleymane Camara,2003,"6' 9.75""",81.75,"6' 11.25""",83.25,211,"7' 2.25""",NA,"9' 1""",109,9.90%,NA,NA,28.5,"11' 5.5""",137.5,34.5,"11' 11.5""",143.5,2,11.51,3.2,57,NA,NA,Draftexpress,5/1/03
Brian Brown,2002,"6' 2.5""",74.5,"6' 3.75""",75.75,194,"6' 7""",NA,"8' 3""",99,NA,NA,NA,26,"10' 5""",125,33,"11' 0""",132,8,11.43,3.29,47,NA,NA,Draftexpress,5/1/02
Travis Robinson,2002,"6' 5.25""",77.25,"6' 6.5""",78.5,211,"6' 10.5""",NA,"8' 8.5""",104.5,NA,NA,NA,26,"10' 10.5""",130.5,33,"11' 5.5""",137.5,3,11.96,3.43,69,NA,NA,Draftexpress,5/1/02
Muhammed Lasege,2002,"6' 8.75""",80.75,NA,NA,228,"7' 2""",NA,"9' 0.5""",108.5,NA,NA,NA,27.5,"11' 4""",136,30,"11' 6.5""",138.5,18,12.96,3.29,45,NA,NA,Draftexpress,5/1/02
Kei Madison,2002,"6' 7.75""",79.75,"6' 9""",81,216,"7' 0.5""",NA,"8' 11""",107,NA,NA,NA,27.5,"11' 2.5""",134.5,34.5,"11' 9.5""",141.5,6,11.74,3.22,42,NA,NA,Draftexpress,5/1/02
Lenny Cooke,2002,"6' 5.5""",77.5,"6' 6.5""",78.5,214,"7' 1""",NA,"8' 11""",107,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,81,NA,NA,Draftexpress,5/1/02
SirValiant Brown,2001,"5' 11""",71,"6' 1.25""",73.25,176,"6' 4""",NA,"7' 8.5""",92.5,NA,NA,NA,31,"10' 3.5""",123.5,39.5,"11' 0""",132,10,11.23,3,12,NA,NA,Draftexpress,5/1/01
Zach Marbury,2001,"6' 1.25""",73.25,"6' 2.75""",74.75,183,"6' 3.5""",NA,"8' 0.5""",96.5,NA,NA,NA,33,"10' 9.5""",129.5,36.5,"11' 1""",133,,11.53,3.1,35,NA,NA,Draftexpress,5/1/01
Nate James,2001,"6' 4.75""",76.75,"6' 5.75""",77.75,196,"6' 10.75""",NA,"8' 7""",103,NA,NA,NA,26,"10' 9""",129,31,"11' 2""",134,23,11.42,3.31,36,NA,NA,Draftexpress,5/1/01
Adam Allenspach,2001,"6' 11.5""",83.5,"7' 1.25""",85.25,259,"7' 0.5""",NA,"8' 11""",107,NA,NA,NA,28.5,"11' 3.5""",135.5,31,"11' 6""",138,16,11.9,3.4,46,NA,NA,Draftexpress,5/1/01
Robb Dryden,2001,"7' 1""",85,"7' 2""",86,241,"7' 2.5""",NA,"9' 2.25""",110.25,NA,NA,NA,27,"11' 5.25""",137.25,30,"11' 8.25""",140.25,8,12.47,3.46,73,NA,NA,Draftexpress,5/1/01
DeMarcus Minor,2001,"6' 3.25""",75.25,"6' 4.5""",76.5,207,"6' 8.25""",NA,"8' 3.5""",99.5,NA,NA,NA,29,"10' 8.5""",128.5,41,"11' 8.5""",140.5,9,10.57,3.15,16,NA,NA,Draftexpress,5/1/01
Charles Hathaway,2001,"6' 8""",80,"6' 9.5""",81.5,274,"7' 2""",NA,"8' 11.5""",107.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,Draftexpress,5/1/01
Michael Hermon,2000,"6' 2.75""",74.75,"6' 3.5""",75.5,195,"6' 6.25""",NA,"8' 2.5""",98.5,NA,NA,NA,29,"10' 7.5""",127.5,33,"10' 11.5""",131.5,,11.79,3.25,36,NA,NA,Draftexpress,5/1/00
Jarrett Stephens,2000,"6' 5.25""",77.25,"6' 6.25""",78.25,258,"6' 9.25""",NA,"8' 7""",103,NA,NA,NA,27,"10' 10""",130,29,"11' 0""",132,13,11.98,3.46,44,NA,NA,Draftexpress,5/1/00
Julius Doc Robinson,2000,"6' 0""",72,NA,NA,184,"6' 3.75""",NA,"7' 11.5""",95.5,NA,NA,NA,30,"10' 5.5""",125.5,37.5,"11' 1""",133,,12.54,3.41,54,NA,NA,Draftexpress,5/1/00
Brian Montonati,2000,"6' 8.75""",80.75,"6' 9.75""",81.75,215,"6' 10.5""",NA,"8' 10""",106,NA,NA,NA,25,"10' 11""",131,29,"11' 3""",135,5,11.85,3.53,57,NA,NA,Draftexpress,5/1/00
