Draft Year,ID Pick,Round,Round.Pick,Pick Number,Draft Team,Team Traded To,Team,Player,Height,Height (inches),Weight (lbs),College,Birthday
2012,1.1,1,1,1,Hornets,,Hornets,Anthony Davis,6'10'',82,222,Kentucky,3/11/1993
2012,1.2,1,2,2,Bobcats,,Bobcats,Michael Kidd-Gilchrist,6'7'',79,233,Kentucky,9/28/1993
2012,1.3,1,3,3,Wizards,,Wizards,Bradley Beal,6'5'',77,202,Florida,6/28/1993
2012,1.4,1,4,4,Cavaliers,,Cavaliers,Dion Waiters,6'4'',76,221,Syracuse,12/1/1991
2012,1.5,1,5,5,Kings,,Kings,Thomas Robinson,6'9'',81,244,Kansas,3/17/1991
2012,1.6,1,6,6,Trail Blazers,,Trail Blazers,Damian Lillard,6'3'',75,189,Weber State,7/15/1990
2012,1.7,1,7,7,Warriors,,Warriors,Harrison Barnes,6'8'',80,228,North Carolina,5/30/1992
2012,1.8,1,8,8,Raptors,,Raptors,Terrence Ross,6'7'',79,197,Washington,2/5/1991
2012,1.9,1,9,9,Pistons,,Pistons,Andre Drummond,7'0'',84,279,Connecticut,8/10/1993
2012,1.1,1,1,10,Hornets,,Hornets,Austin Rivers,6'5'',77,203,Duke,8/1/1992
2012,1.11,1,11,11,Trail Blazers,,Trail Blazers,Meyers Leonard,7'1'',85,250,Illinois,2/27/1992
2012,1.12,1,12,12,Rockets,,Rockets,Jeremy Lamb,6'5'',77,179,Connecticut,5/30/1992
2012,1.13,1,13,13,Suns,,Suns,Kendall Marshall,6'4'',76,198,North Carolina,9/19/1991
2012,1.14,1,14,14,Bucks,,Bucks,John Henson,6'10'',82,216,North Carolina,12/28/1990
2012,1.15,1,15,15,76ers,,76ers,Moe Harkless,6'9'',81,207,St. John's,5/11/1993
2012,1.16,1,16,16,Rockets,,Rockets,Royce White,6'8'',80,261,Iowa State,4/10/1991
2012,1.17,1,17,17,Mavericks,Cavaliers,Cavaliers,Tyler Zeller,7'0'',84,247,North Carolina,1/17/1990
2012,1.18,1,18,18,Rockets,,Rockets,Terrence Jones,6'9'',81,252,Kentucky,1/9/1992
2012,1.19,1,19,19,Magic,,Magic,Andrew Nicholson,6'9'',81,234,St. Bonaventure,12/8/1989
2012,1.2,1,2,20,Nuggets,,Nuggets,Evan Fournier,6'7'',79,204,Poitiers,10/29/1992
2012,1.21,1,21,21,Celtics,,Celtics,Jared Sullinger,6'9'',81,268,Ohio State,3/4/1992
2012,1.22,1,22,22,Celtics,,Celtics,Fab Melo,7'0'',84,255,Syracuse,6/20/1990
2012,1.23,1,23,23,Hawks,,Hawks,John Jenkins,6'4'',76,212,Vanderbilt,3/6/1991
2012,1.24,1,24,24,Cavaliers,Mavericks,Mavericks,Jared Cunningham,6'5'',77,188,Oregon State,5/22/1991
2012,1.25,1,25,25,Grizzlies,,Grizzlies,Tony Wroten,6'6'',78,203,Washington,4/14/1993
2012,1.26,1,26,26,Pacers,,Pacers,Miles Plumlee,7'0'',84,252,Duke,9/1/1988
2012,1.27,1,27,27,Heat,76ers,76ers,Arnett Moultrie,6'11'',83,233,Mississippi St.,11/18/1990
2012,1.28,1,28,28,Thunder,,Thunder,Perry Jones,6'11'',83,234,Baylor,9/24/1991
2012,1.29,1,29,29,Bulls,,Bulls,Marquis Teague,6'2'',74,180,Kentucky,2/28/1993
2012,1.3,1,3,30,Warriors,,Warriors,Festus Ezeli,6'11'',83,264,Vanderbilt,10/21/1989
2012,2.1,2,1,31,Bobcats,,Bobcats,Jeff Taylor,6'7'',79,213,Vanderbilt,5/23/1989
2012,2.2,2,2,32,Wizards,,Wizards,Tomas Satoransky,6'7'',79,201,Sevilla,10/30/1991
2012,2.3,2,3,33,Cavaliers,Mavericks,Mavericks,Bernard James,6'10'',82,230,Florida State,2/7/1985
2012,2.4,2,4,34,Cavaliers,Mavericks,Mavericks,Jae Crowder,6'6'',78,241,Marquette,7/6/1990
2012,2.5,2,5,35,Warriors,,Warriors,Draymond Green,6'7'',79,236,Michigan State,3/4/1990
2012,2.6,2,6,36,Kings,,Kings,Orlando Johnson,6'5'',77,224,UC Santa Barbara,3/11/1989
2012,2.7,2,7,37,Raptors,,Raptors,Quincy Acy,6'8'',80,224,Baylor,10/6/1990
2012,2.8,2,8,38,Nuggets,,Nuggets,Quincy Miller,6'10'',82,219,Baylor,11/18/1992
2012,2.9,2,9,39,Pistons,,Pistons,Khris Middleton,6'8'',80,216,Texas A&M,8/12/1991
2012,2.1,2,1,40,Trail Blazers,,Trail Blazers,Will Barton,6'6'',78,174,Memphis,1/6/1991
2012,2.11,2,11,41,Trail Blazers,Nets,Nets,Tyshawn Taylor,6'4'',76,177,Kansas,4/12/1990
2012,2.12,2,12,42,Bucks,,Bucks,Doron Lamb,6'5'',77,199,Kentucky,11/6/1991
2012,2.13,2,13,43,Hawks,,Hawks,Mike Scott,6'9'',81,241,Virginia,7/16/1988
2012,2.14,2,14,44,Pistons,,Pistons,Kim English,6'6'',78,192,Missouri,9/24/1988
2012,2.15,2,15,45,76ers,,76ers,Justin Hamilton,6'11'',83,264,LSU,4/1/1990
2012,2.16,2,16,46,Hornets,,Hornets,Darius Miller,6'7'',79,233,Kentucky,3/21/1990
2012,2.17,2,17,47,Jazz,,Jazz,Kevin Murphy,6'6'',78,194,Tennessee Tech,3/6/1990
2012,2.18,2,18,48,Knicks,,Knicks,Kostas Papanikolaou,6'8'',80,230,Olympiakos,7/31/1990
2012,2.19,2,19,49,Magic,,Magic,Kyle O'Quinn,6'10'',82,241,Norfolk State,3/26/1990
2012,2.2,2,2,50,Nuggets,,Nuggets,Izzet Turkyilmaz,7'1'',85,211,Banvit,5/20/1990
2012,2.21,2,21,51,Celtics,,Celtics,Kris Joseph,6'7'',79,215,Syracuse,12/17/1988
2012,2.22,2,22,52,Warriors,,Warriors,Ognjen Kuzmic,7'1'',85,231,Malaga,5/16/1990
2012,2.23,2,23,53,Clippers,,Clippers,Furkan Aldemir,6'9'',81,220,Galatasaray,8/9/1991
2012,2.24,2,24,54,76ers,Nets,Nets,Tornike Shengelia,6'9'',81,228,Charleroi,10/5/1991
2012,2.25,2,25,55,Mavericks,Lakers,Lakers,Darius Johnson-Odom,6'3'',75,212,Marquette,9/28/1989
2012,2.26,2,26,56,Raptors,,Raptors,Tomislav Zubcic,6'11'',83,229,Cibona Zagreb,1/7/1990
2012,2.27,2,27,57,Nets,,Nets,Ilkan Karaman,6'9'',81,236,Karsiyaka,5/13/1990
2012,2.28,2,28,58,Timberwolves,,Timberwolves,Robbie Hummel,6'8'',80,218,Purdue,3/8/1989
2012,2.29,2,29,59,Spurs,,Spurs,Marcus Denmon,6'3'',75,188,Missouri,3/20/1990
2012,2.3,2,3,60,Lakers,,Lakers,Robert Sacre,7'0'',84,263,Gonzaga,6/6/1989
2011,1.1,1,1,1,Cavaliers,,Cavaliers,Kyrie Irving,6'3'',75,190,Duke,3/23/1992
2011,1.2,1,2,2,Timberwolves,,Timberwolves,Derrick Williams,6'9'',81,250,Arizona,5/25/1991
2011,1.3,1,3,3,Jazz,,Jazz,Enes Kanter,6'11'',83,260,Kentucky,5/20/1992
2011,1.4,1,4,4,Cavaliers,,Cavaliers,Tristan Thompson,6'9'',81,230,Texas,3/13/1991
2011,1.5,1,5,5,Raptors,,Raptors,Jonas Valanciunas,6'11'',83,240,LietuvosRytas,5/6/1992
2011,1.6,1,6,6,Wizards,,Wizards,Jan Vesely,6'11'',83,240,KKPartizanBelgrade,4/24/1990
2011,1.7,1,7,7,Kings,Bobcats,Bobcats,Bismack Biyombo,6'9'',81,240,BaloncestoFuenlabrada,8/28/1992
2011,1.8,1,8,8,Pistons,,Pistons,Brandon Knight,6'3'',75,180,Kentucky,12/2/1991
2011,1.9,1,9,9,Bobcats,,Bobcats,Kemba Walker,6'1'',73,185,Connecticut,5/8/1990
2011,1.1,1,1,10,Bucks,Kings,Kings,Jimmer Fredette,6'2'',74,195,BYU,2/25/1989
2011,1.11,1,11,11,Warriors,,Warriors,Klay Thompson,6'7'',79,205,WashingtonState,2/8/1990
2011,1.12,1,12,12,Jazz,,Jazz,Alec Burks,6'6'',78,195,Colorado,7/20/1991
2011,1.13,1,13,13,Suns,,Suns,Markieff Morris,6'10'',82,240,Kansas,9/2/1989
2011,1.14,1,14,14,Rockets,,Rockets,Marcus Morris,6'9'',81,230,Kansas,9/2/1989
2011,1.15,1,15,15,Pacers,Spurs,Spurs,Kawhi Leonard,6'7'',79,225,SanDiegoState,6/29/1991
2011,1.16,1,16,16,76ers,,76ers,Nikola Vucevic,7'0'',84,260,USC,10/24/1990
2011,1.17,1,17,17,Knicks,,Knicks,Iman Shumpert,6'6'',78,220,GeorgiaTech,6/26/1990
2011,1.18,1,18,18,Hawks,Wizards,Wizards,Chris Singleton,6'9'',81,230,FloridaState,11/21/1989
2011,1.19,1,19,19,Hornets,Bucks,Bucks,Tobias Harris,6'8'',80,225,Tennessee,7/15/1992
2011,1.2,1,2,20,Timberwolves,Rockets,Rockets,Donatas Motiejunas,7'0'',84,215,BenettonTreviso,9/20/1990
2011,1.21,1,21,21,Trail Blazers,,Trail Blazers,Nolan Smith,6'4'',76,190,Duke,7/25/1988
2011,1.22,1,22,22,Nuggets,,Nuggets,Kenneth Faried,6'8'',80,225,MoreheadState,11/19/1989
2011,1.23,1,23,23,Magic,Bulls,Bulls,Nikola Mirotic,6'10'',82,210,RealMadrid,2/11/1991
2011,1.24,1,24,24,Thunder,,Thunder,Reggie Jackson,6'3'',75,208,BostonCollege,4/16/1990
2011,1.25,1,25,25,Celtics,Nets,Nets,Marshon Brooks,6'5'',77,195,Providence,1/26/1989
2011,1.26,1,26,26,Mavericks,Nuggets,Nuggets,Jordan Hamilton,6'8'',80,230,Texas,10/6/1990
2011,1.27,1,27,27,Nets,Celtics,Celtics,JaJuan Johnson,6'10'',82,220,Purdue,2/8/1989
2011,1.28,1,28,28,Bulls,Heat,Heat,Norris Cole,6'2'',74,175,ClevelandSt.,10/13/1988
2011,1.29,1,29,29,Spurs,,Spurs,Cory Joseph,6'3'',75,185,Texas,9/20/1991
2011,1.3,1,3,30,Bulls,,Bulls,Jimmy Butler,6'8'',80,220,Marquette,9/14/1989
2011,2.1,2,1,31,Timberwolves,Nets,Nets,Bojan Bogdanovic,6'7'',79,216,CibonaVIPZagreb,4/18/1989
2011,2.2,2,2,32,Cavaliers,Magic,Magic,Justin Harper,6'9'',81,230,Richmond,8/30/1989
2011,2.3,2,3,33,Raptors,Pistons,Pistons,Kyle Singler,6'9'',81,225,Duke,5/4/1988
2011,2.4,2,4,34,Wizards,,Wizards,Shelvin Mack,6'2'',74,210,Butler,4/22/1990
2011,2.5,2,5,35,Kings,,Kings,Tyler Honeycutt,6'8'',80,190,UCLA,7/15/1990
2011,2.6,2,6,36,Nets,,Nets,Jordan Williams,6'9'',81,250,Maryland,10/11/1990
2011,2.7,2,7,37,Pistons,Clippers,Clippers,Trey Thompkins,6'10'',82,240,Georgia,5/29/1990
2011,2.8,2,8,38,Clippers,Rockets,Rockets,Chandler Parsons,6'10'',82,220,Florida,10/25/1988
2011,2.9,2,9,39,Bobcats,Warriors,Warriors,Jeremy Tyler,6'11'',83,260,TokyoApache,6/12/1991
2011,2.1,2,1,40,Bucks,,Bucks,Jon Leuer,6'11'',83,225,Wisconsin,5/14/1989
2011,2.11,2,11,41,Warriors,Lakers,Lakers,Darius Morris,6'5'',77,190,Michigan,1/3/1991
2011,2.12,2,12,42,Pacers,Spurs,Spurs,Davis Bertans,6'10'',82,210,UnionOlimpijaLjubljana,11/12/1992
2011,2.13,2,13,43,Bulls,Timberwolves,Timberwolves,Malcolm Lee,6'5'',77,200,UCLA,5/22/1990
2011,2.14,2,14,44,Suns,Warriors,Warriors,Charles Jenkins,6'3'',75,220,Hofstra,2/28/1989
2011,2.15,2,15,45,76ers,Knicks,Knicks,Josh Harrellson,6'8'',80,279,Kentucky,2/12/1989
2011,2.16,2,16,46,Knicks,Lakers,Lakers,Andrew Goudelock,6'3'',75,200,CollOfCharltn,12/7/1988
2011,2.17,2,17,47,Rockets,Clippers,Clippers,Travis Leslie,6'4'',76,205,Georgia,3/29/1990
2011,2.18,2,18,48,Hawks,,Hawks,Keith Benson,6'11'',83,220,Oakland,8/13/1988
2011,2.19,2,19,49,Grizzlies,,Grizzlies,Josh Selby,6'3'',75,195,Kansas,3/27/1991
2011,2.2,2,2,50,Hornets,76ers,76ers,Lavoy Allen,6'9'',81,225,Temple,2/4/1989
2011,2.21,2,21,51,Trail Blazers,,Trail Blazers,Jon Diebler,6'6'',78,200,Ohio State,6/22/1988
2011,2.22,2,22,52,Nuggets,Pistons,Pistons,Vernon Macklin,6'9'',81,245,Florida,9/26/1986
2011,2.23,2,23,53,Magic,,Magic,DeAndre Liggins,6'6'',78,205,Kentucky,3/31/1988
2011,2.24,2,24,54,Thunder,Cavaliers,Cavaliers,Milan Macvan,6'9'',81,265,KK Hemofarm,11/16/1989
2011,2.25,2,25,55,Celtics,,Celtics,E'Twaun Moore,6'4'',76,191,Purdue,2/28/1989
2011,2.26,2,26,56,Lakers,Nuggets,Nuggets,Chu Chu Maduabum,,,,,
2011,2.27,2,27,57,Mavericks,Timberwolves,Timberwolves,Tanguy Ngombo,6'6'',78,230,AL-RAYYAN (QATAR),7/10/1989
2011,2.28,2,28,58,Heat,Lakers,Lakers,Ater Majok,6'10'',82,225,FMV ISIKSPOR ISTANBUL,7/4/1987
2011,2.29,2,29,59,Spurs,,Spurs,Adam Hanga,6'7'',79,200,ALBACOMP (HUNGARY),4/12/1989
2011,2.3,2,3,60,Bulls,Kings,Kings,Isaiah Thomas,5'10'',70,190,Washington,2/7/1989
2010,1.1,1,1,1,Wizards,,Wizards,John Wall,6'4'',76,195,Kentucky,9/6/1990
2010,1.2,1,2,2,76ers,,76ers,Evan Turner,6'7'',79,205,Ohio State,10/27/1988
2010,1.3,1,3,3,Nets,,Nets,Derrick Favors,6'10'',82,246,Georgia Tech,7/15/1991
2010,1.4,1,4,4,Timberwolves,,Timberwolves,Wesley Johnson,6'7'',79,195,Syracuse,7/11/1987
2010,1.5,1,5,5,Kings,,Kings,DeMarcus Cousins,6'11'',83,270,Kentucky,8/13/1990
2010,1.6,1,6,6,Warriors,,Warriors,Ekpe Udoh,6'10'',82,240,Baylor,5/20/1987
2010,1.7,1,7,7,Pistons,,Pistons,Greg Monroe,6'11'',83,240,Georgetown,6/4/1990
2010,1.8,1,8,8,Clippers,,Clippers,Al-Farouq Aminu,6'8'',80,210,Wake Forest,9/21/1990
2010,1.9,1,9,9,Jazz,,Jazz,Gordon Hayward,6'8'',80,200,Butler,3/23/1990
2010,1.1,1,1,10,Pacers,,Pacers,Paul George,6'9'',81,215,Fresno State,5/2/1990
2010,1.11,1,11,11,Hornets,Thunder,Thunder,Cole Aldrich,6'11'',83,250,Kansas,10/31/1988
2010,1.12,1,12,12,Grizzlies,,Grizzlies,Xavier Henry,6'6'',78,210,Kansas,3/15/1991
2010,1.13,1,13,13,Raptors,,Raptors,Ed Davis,6'9'',81,215,North Carolina,6/5/1989
2010,1.14,1,14,14,Rockets,,Rockets,Patrick Patterson,6'8'',80,223,Kentucky,3/14/1989
2010,1.15,1,15,15,Bucks,,Bucks,Larry Sanders,6'9'',81,205,VCU,11/21/1988
2010,1.16,1,16,16,Timberwolves,Trail Blazers,Trail Blazers,Luke Babbitt,6'7'',79,215,Nevada,6/20/1989
2010,1.17,1,17,17,Bulls,Wizards,Wizards,Kevin Seraphin,6'9'',81,258,Cholet,12/7/1989
2010,1.18,1,18,18,Thunder,Clippers,Clippers,Eric Bledsoe,6'1'',73,190,Kentucky,10/23/1990
2010,1.19,1,19,19,Celtics,,Celtics,Avery Bradley,6'3'',75,180,Texas,11/26/1990
2010,1.2,1,2,20,Spurs,,Spurs,James Anderson,6'6'',78,195,Oklahoma State,3/25/1989
2010,1.21,1,21,21,Thunder,Hornets,Hornets,Craig Brackins,6'10'',82,230,Iowa State,10/9/1987
2010,1.22,1,22,22,Trail Blazers,,Trail Blazers,Elliot Williams,6'4'',76,175,Memphis,6/20/1989
2010,1.23,1,23,23,Timberwolves,Wizards,Wizards,Trevor Booker,6'7'',79,215,Clemson,11/25/1987
2010,1.24,1,24,24,Hawks,Nets,Nets,Damion James,6'7'',79,225,Texas,10/7/1987
2010,1.25,1,25,25,Grizzlies,Mavericks,Mavericks,Dominique Jones,6'4'',76,205,South Florida,10/15/1988
2010,1.26,1,26,26,Thunder,Hornets,Hornets,Quincy Pondexter,6'6'',78,220,Washington,3/10/1988
2010,1.27,1,27,27,Nets,Hawks,Hawks,Jordan Crawford,6'4'',76,195,Xavier,10/23/1988
2010,1.28,1,28,28,Grizzlies,,Grizzlies,Greivis Vasquez,6'5'',77,195,Maryland,1/16/1987
2010,1.29,1,29,29,Magic,,Magic,Daniel Orton,6'10'',82,260,Kentucky,8/6/1990
2010,1.3,1,3,30,Wizards,Timberwolves,Timberwolves,Lazar Hayward,6'6'',78,225,Marquette,11/26/1986
2010,2.1,2,1,31,Nets,Thunder,Thunder,Tibor Pleiss,7'0'',84,220,Brose Baskets Bamberg,11/2/1989
2010,2.2,2,2,32,Heat,,Heat,Dexter Pittman,6'10'',82,310,Texas,3/2/1988
2010,2.3,2,3,33,Kings,,Kings,Hassan Whiteside,7'0'',84,235,Marshall,6/13/1989
2010,2.4,2,4,34,Trail Blazers,,Trail Blazers,Armon Johnson,6'3'',75,195,Nevada,2/23/1989
2010,2.5,2,5,35,Wizards,Timberwolves,Timberwolves,Nemanja Bjelica,6'10'',82,210,BC Red Star Belgrade,5/9/1988
2010,2.6,2,6,36,Pistons,,Pistons,Terrico White,6'5'',77,211,Mississippi,3/7/1990
2010,2.7,2,7,37,Bucks,,Bucks,Darington Hobson,6'7'',79,205,New Mexico,9/29/1987
2010,2.8,2,8,38,Knicks,,Knicks,Andy Rautins,6'4'',76,195,Syracuse,11/2/1986
2010,2.9,2,9,39,Knicks,,Knicks,Landry Fields,6'7'',79,210,Stanford,6/27/1988
2010,2.1,2,1,40,Pacers,,Pacers,Lance Stephenson,6'5'',77,200,Cincinnati,9/5/1990
2010,2.11,2,11,41,Heat,,Heat,Jarvis Varnado,6'9'',81,210,Mississippi St.,3/1/1988
2010,2.12,2,12,42,Heat,,Heat,Da'Sean Butler,6'7'',79,205,West Virginia,1/25/1988
2010,2.13,2,13,43,Lakers,,Lakers,Devin Ebanks,6'8'',80,205,West Virginia,10/28/1989
2010,2.14,2,14,44,Bucks,Knicks,Knicks,Jerome Jordan,7'0'',84,235,Tulsa,9/29/1986
2010,2.15,2,15,45,Timberwolves,,Timberwolves,Paulao Prestes,6'10'',82,265,CB Murcia,2/15/1988
2010,2.16,2,16,46,Suns,,Suns,Gani Lawal,6'8'',80,233,Georgia Tech,11/7/1988
2010,2.17,2,17,47,Bucks,,Bucks,Tiny Gallon,6'8'',80,320,Oklahoma,0000-00-00
2010,2.18,2,18,48,Heat,Thunder,Thunder,Latavious Williams,6'8'',80,190,Tulsa 66ers,3/29/1989
2010,2.19,2,19,49,Spurs,,Spurs,Ryan Richards,6'10'',82,225,Kalise Gran Canaria,4/24/1991
2010,2.2,2,2,50,Mavericks,Raptors,Raptors,Solomon Alabi,7'1'',85,251,Florida State,3/21/1988
2010,2.21,2,21,51,Thunder,Pacers,Pacers,Magnum Rolle,6'10'',82,200,Louisiana Tech,2/23/1986
2010,2.22,2,22,52,Celtics,,Celtics,Luke Harangody,6'8'',80,251,Notre Dame,1/2/1988
2010,2.23,2,23,53,Hawks,,Hawks,Pape Sy,,,,,
2010,2.24,2,24,54,Clippers,,Clippers,Willie Warren,6'4'',76,200,Oklahoma,10/22/1989
2010,2.25,2,25,55,Jazz,,Jazz,Jeremy Evans,6'9'',81,190,Western Kentucky,10/24/1987
2010,2.26,2,26,56,Timberwolves,Wizards,Wizards,Hamady N'Diaye,6'11'',83,225,Rutgers,1/12/1987
2010,2.27,2,27,57,Pacers,Thunder,Thunder,Ryan Reid,,,,,
2010,2.28,2,28,58,Lakers,,Lakers,Derrick Caracter,6'9'',81,265,UTEP,5/4/1988
2010,2.29,2,29,59,Magic,,Magic,Stanley Robinson,6'9'',81,225,Connecticut,7/14/1988
2010,2.3,2,3,60,Suns,,Suns,Dwayne Collins,6'8'',80,232,"Miami, FL",4/13/1988
2009,1.1,1,1,1,Clippers,,Clippers,Blake Griffin,6'10'',82,251,Oklahoma,3/16/1989
2009,1.2,1,2,2,Grizzlies,,Grizzlies,Hasheem Thabeet,7'3'',87,265,Connecticut,2/16/1987
2009,1.3,1,3,3,Thunder,,Thunder,James Harden,6'5'',77,218,Arizona State,8/26/1989
2009,1.4,1,4,4,Kings,,Kings,Tyreke Evans,6'5'',77,195,Memphis,9/19/1989
2009,1.5,1,5,5,Timberwolves,,Timberwolves,Ricky Rubio,6'4'',76,180,DKV Joventut,10/21/1990
2009,1.6,1,6,6,Timberwolves,,Timberwolves,Jonny Flynn,6'0'',72,172,Syracuse,2/6/1989
2009,1.7,1,7,7,Warriors,,Warriors,Stephen Curry,6'3'',75,185,Davidson,3/14/1988
2009,1.8,1,8,8,Knicks,,Knicks,Jordan Hill,6'10'',82,235,Arizona,7/27/1987
2009,1.9,1,9,9,Raptors,,Raptors,Demar DeRozan,6'7'',79,207,USC,8/7/1989
2009,1.1,1,1,10,Bucks,,Bucks,Brandon Jennings,6'1'',73,170,Lottomatica Roma,9/23/1989
2009,1.11,1,11,11,Nets,,Nets,Terrence Williams,6'6'',78,220,Louisville,6/28/1987
2009,1.12,1,12,12,Bobcats,,Bobcats,Gerald Henderson,6'5'',77,215,Duke,12/9/1987
2009,1.13,1,13,13,Pacers,,Pacers,Tyler Hansbrough,6'9'',81,230,North Carolina,11/3/1985
2009,1.14,1,14,14,Suns,,Suns,Earl Clark,6'9'',81,220,Louisville,1/17/1988
2009,1.15,1,15,15,Pistons,,Pistons,Austin Daye,6'10'',82,190,Gonzaga,6/5/1988
2009,1.16,1,16,16,Bulls,,Bulls,James Johnson,6'8'',80,235,Wake Forest,2/20/1987
2009,1.17,1,17,17,76ers,,76ers,Jrue Holiday,6'3'',75,185,UCLA,6/12/1990
2009,1.18,1,18,18,Timberwolves,Nuggets,Nuggets,Ty Lawson,6'0'',72,195,North Carolina,11/3/1987
2009,1.19,1,19,19,Hawks,,Hawks,Jeff Teague,6'2'',74,180,Wake Forest,6/10/1988
2009,1.2,1,2,20,Jazz,,Jazz,Eric Maynor,6'2'',74,175,VCU,6/11/1987
2009,1.21,1,21,21,Hornets,,Hornets,Darren Collison,6'1'',73,165,UCLA,8/23/1987
2009,1.22,1,22,22,Trail Blazers,,Trail Blazers,Victor Claver,6'10'',82,218,Pamesa Valencia,9/1/1988
2009,1.23,1,23,23,Kings,,Kings,Omri Casspi,6'8'',80,220,Maccabi Tel Aviv,6/22/1988
2009,1.24,1,24,24,Mavericks,Thunder,Thunder,B.J. Mullens,7'0'',84,260,Ohio State,2/14/1989
2009,1.25,1,25,25,Thunder,Mavericks,Mavericks,Rodrigue Beaubois,6'2'',74,182,Cholet,2/24/1988
2009,1.26,1,26,26,Bulls,,Bulls,Taj Gibson,6'9'',81,210,USC,6/24/1985
2009,1.27,1,27,27,Grizzlies,,Grizzlies,DeMarre Carroll,6'8'',80,225,Missouri,7/27/1986
2009,1.28,1,28,28,Timberwolves,,Timberwolves,Wayne Ellington,6'5'',77,190,North Carolina,10/29/1987
2009,1.29,1,29,29,Knicks,,Knicks,Toney Douglas,6'1'',73,196,Florida State,3/16/1986
2009,1.3,1,3,30,Cavaliers,,Cavaliers,Christian Eyenga,6'5'',77,210,DKV Joventut,6/22/1989
2009,2.1,2,1,31,Kings,Trail Blazers,Trail Blazers,Jeff Pendergraph,6'9'',81,230,Arizona State,4/29/1987
2009,2.2,2,2,32,Wizards,Rockets,Rockets,Jermaine Taylor,6'4'',76,210,Central Florida,12/8/1986
2009,2.3,2,3,33,Trail Blazers,,Trail Blazers,Dante Cunningham,6'8'',80,230,Villanova,4/22/1987
2009,2.4,2,4,34,Nuggets,Rockets,Rockets,Sergio Llull,6'3'',75,176,Real Madrid,11/15/1987
2009,2.5,2,5,35,Pistons,,Pistons,DaJuan Summers,6'8'',80,241,Georgetown,1/24/1988
2009,2.6,2,6,36,Grizzlies,,Grizzlies,Sam Young,6'6'',78,210,Pittsburgh,6/1/1985
2009,2.7,2,7,37,Spurs,,Spurs,DeJuan Blair,6'7'',79,265,Pittsburgh,4/22/1989
2009,2.8,2,8,38,Trail Blazers,Kings,Kings,Jon Brockman,6'7'',79,260,Washington,3/20/1987
