"","Season","Lg","Team","W","L","W-L%","Finish","SRS","ORtg","DRtg","Playoffs","Coaches"
"1","2012-13","NBA","Cleveland Cavaliers","7","26",".212","5","-5.85","101.9","107.8","","B. Scott (7-26)"
"2","2011-12","NBA","Cleveland Cavaliers","21","45",".318","5","-7.34","101.1","108.9","","B. Scott (21-45)"
"3","2010-11","NBA","Cleveland Cavaliers","19","63",".232","5","-8.88","102.2","111.8","","B. Scott (19-63)"
"4","2009-10","NBA","Cleveland Cavaliers*","61","21",".744","1","6.17","111.2","104.1","Lost Eastern Conference Semifinals","M. Brown (61-21)"
"5","2008-09","NBA","Cleveland Cavaliers*","66","16",".805","1","8.68","112.4","102.4","Lost Eastern Conference Finals","M. Brown (66-16)"
"6","2007-08","NBA","Cleveland Cavaliers*","45","37",".549","2","-0.53","106.0","106.4","Lost Eastern Conference Semifinals","M. Brown (45-37)"
"7","2006-07","NBA","Cleveland Cavaliers*","50","32",".610","2","3.33","105.5","101.3","Lost Finals","M. Brown (50-32)"
"8","2005-06","NBA","Cleveland Cavaliers*","50","32",".610","2","2.17","107.8","105.4","Lost Eastern Conference Semifinals","M. Brown (50-32)"
"9","2004-05","NBA","Cleveland Cavaliers","42","40",".512","4","0.27","106.6","105.7","","P. Silas (34-30), B. Malone (8-10)"
"10","2003-04","NBA","Cleveland Cavaliers","35","47",".427","5","-3.07","101.4","104.2","","P. Silas (35-47)"
"11","2002-03","NBA","Cleveland Cavaliers","17","65",".207","8","-9.58","96.5","106.7","","J. Lucas (8-34), K. Smart (9-31)"
"12","2001-02","NBA","Cleveland Cavaliers","29","53",".354","7","-3.53","104.6","108.2","","J. Lucas (29-53)"
"13","2000-01","NBA","Cleveland Cavaliers","30","52",".366","6","-4.48","100.3","104.9","","R. Wittman (30-52)"
"14","1999-00","NBA","Cleveland Cavaliers","32","50",".390","6","-3.64","100.4","104.0","","R. Wittman (32-50)"
"15","1998-99","NBA","Cleveland Cavaliers","22","28",".440","7","-0.94","99.6","101.6","","M. Fratello (22-28)"
"16","1997-98","NBA","Cleveland Cavaliers*","47","35",".573","5","3.06","102.2","99.1","Lost Eastern Conference First Round","M. Fratello (47-35)"
"17","1996-97","NBA","Cleveland Cavaliers","42","40",".512","5","2.32","104.6","102.4","","M. Fratello (42-40)"
"18","1995-96","NBA","Cleveland Cavaliers*","47","35",".573","3","2.49","109.9","106.7","Lost Eastern Conference First Round","M. Fratello (47-35)"
"19","1994-95","NBA","Cleveland Cavaliers*","43","39",".524","4","0.55","105.3","104.6","Lost Eastern Conference First Round","M. Fratello (43-39)"
"20","1993-94","NBA","Cleveland Cavaliers*","47","35",".573","4","3.64","109.4","105.1","Lost Eastern Conference First Round","M. Fratello (47-35)"
"21","1992-93","NBA","Cleveland Cavaliers*","54","28",".659","2","6.30","112.7","106.0","Lost Eastern Conference Semifinals","L. Wilkens (54-28)"
"22","1991-92","NBA","Cleveland Cavaliers*","57","25",".695","2","5.34","113.9","108.2","Lost Eastern Conference Finals","L. Wilkens (57-25)"
