"","Season","Lg","Team","W","L","W-L%","Finish","SRS","ORtg","DRtg","Playoffs","Coaches"
"1","2012-13","NBA","Memphis Grizzlies","20","9",".690","2","5.48","104.5","99.2","","L. Hollins (20-9)"
"2","2011-12","NBA","Memphis Grizzlies*","41","25",".621","2","2.43","104.0","101.8","Lost Western Conference First Round","L. Hollins (41-25)"
"3","2010-11","NBA","Memphis Grizzlies*","46","36",".561","4","2.55","107.6","105.1","Lost Western Conference Semifinals","L. Hollins (46-36)"
"4","2009-10","NBA","Memphis Grizzlies","40","42",".488","4","-1.38","108.3","109.9","","L. Hollins (40-42)"
"5","2008-09","NBA","Memphis Grizzlies","24","58",".293","5","-5.22","103.5","109.5","","M. Iavaroni (11-30), J. Davis (0-2), L. Hollins (13-26)"
"6","2007-08","NBA","Memphis Grizzlies","22","60",".268","5","-5.75","105.0","111.4","","M. Iavaroni (22-60)"
"7","2006-07","NBA","Memphis Grizzlies","22","60",".268","5","-4.44","106.9","112.3","","M. Fratello (6-24), T. Barone (16-36)"
"8","2005-06","NBA","Memphis Grizzlies*","49","33",".598","3","3.74","105.9","101.6","Lost Western Conference First Round","M. Fratello (49-33)"
"9","2004-05","NBA","Memphis Grizzlies*","45","37",".549","4","2.63","105.5","102.9","Lost Western Conference First Round","H. Brown (5-7), L. Hollins (0-4), M. Fratello (40-26)"
"10","2003-04","NBA","Memphis Grizzlies*","50","32",".610","4","2.95","104.8","102.2","Lost Western Conference First Round","H. Brown (50-32)"
"11","2002-03","NBA","Memphis Grizzlies","28","54",".341","6","-2.60","103.9","107.3","","S. Lowe (0-8), H. Brown (28-46)"
"12","2001-02","NBA","Memphis Grizzlies","23","59",".280","7","-6.74","98.2","106.3","","S. Lowe (23-59)"
"13","2000-01","NBA","Vancouver Grizzlies","23","59",".280","7","-4.94","99.6","105.8","","S. Lowe (23-59)"
"14","1999-00","NBA","Vancouver Grizzlies","22","60",".268","7","-5.10","102.3","108.5","","B. Hill (4-18), L. Hollins (18-42)"
"15","1998-99","NBA","Vancouver Grizzlies","8","42",".160","7","-8.94","98.4","107.9","","B. Hill (8-42)"
"16","1997-98","NBA","Vancouver Grizzlies","19","63",".232","6","-7.47","104.1","112.0","","B. Hill (19-63)"
"17","1996-97","NBA","Vancouver Grizzlies","14","68",".171","7","-10.17","100.3","111.8","","B. Winters (8-35), S. Jackson (6-33)"
"18","1995-96","NBA","Vancouver Grizzlies","15","67",".183","7","-9.55","97.6","108.5","","B. Winters (15-67)"
