"","Season","Lg","Team","W","L","W-L%","Finish","SRS","ORtg","DRtg","Playoffs","Coaches"
"1","2012-13","NBA","Minnesota Timberwolves","15","14",".517","3","0.01","103.0","102.6","","R. Adelman (15-14)"
"2","2011-12","NBA","Minnesota Timberwolves","26","40",".394","5","-1.83","104.3","106.6","","R. Adelman (26-40)"
"3","2010-11","NBA","Minnesota Timberwolves","17","65",".207","5","-5.97","104.2","111.1","","K. Rambis (17-65)"
"4","2009-10","NBA","Minnesota Timberwolves","15","67",".183","5","-9.06","101.7","111.6","","K. Rambis (15-67)"
"5","2008-09","NBA","Minnesota Timberwolves","24","58",".293","4","-4.74","106.1","111.4","","R. Wittman (4-15), K. McHale (20-43)"
"6","2007-08","NBA","Minnesota Timberwolves","22","60",".268","4","-6.25","103.8","111.2","","R. Wittman (22-60)"
"7","2006-07","NBA","Minnesota Timberwolves","32","50",".390","4","-3.16","103.9","107.9","","D. Casey (20-20), R. Wittman (12-30)"
"8","2005-06","NBA","Minnesota Timberwolves","33","49",".402","4","-1.75","102.4","104.5","","D. Casey (33-49)"
"9","2004-05","NBA","Minnesota Timberwolves","44","38",".537","3","1.73","108.2","106.6","","F. Saunders (25-26), K. McHale (19-12)"
"10","2003-04","NBA","Minnesota Timberwolves*","58","24",".707","1","5.86","105.9","99.7","Lost Western Conference Finals","F. Saunders (58-24)"
"11","2002-03","NBA","Minnesota Timberwolves*","51","31",".622","3","2.46","106.1","103.8","Lost Western Conference First Round","F. Saunders (51-31)"
"12","2001-02","NBA","Minnesota Timberwolves*","50","32",".610","3","3.58","109.0","105.3","Lost Western Conference First Round","F. Saunders (50-32)"
"13","2000-01","NBA","Minnesota Timberwolves*","47","35",".573","4","1.81","105.2","103.7","Lost Western Conference First Round","F. Saunders (47-35)"
"14","1999-00","NBA","Minnesota Timberwolves*","50","32",".610","3","2.67","106.1","103.4","Lost Western Conference First Round","F. Saunders (50-32)"
"15","1998-99","NBA","Minnesota Timberwolves*","25","25",".500","4","-0.17","101.9","101.5","Lost Western Conference First Round","F. Saunders (25-25)"
"16","1997-98","NBA","Minnesota Timberwolves*","45","37",".549","3","0.17","107.8","107.1","Lost Western Conference First Round","F. Saunders (45-37)"
"17","1996-97","NBA","Minnesota Timberwolves*","40","42",".488","3","-1.82","105.5","107.1","Lost Western Conference First Round","F. Saunders (40-42)"
"18","1995-96","NBA","Minnesota Timberwolves","26","56",".317","5","-5.14","104.1","109.8","","B. Blair (6-14), F. Saunders (20-42)"
"19","1994-95","NBA","Minnesota Timberwolves","21","61",".256","6","-8.22","102.6","112.4","","B. Blair (21-61)"
"20","1993-94","NBA","Minnesota Timberwolves","20","62",".244","5","-6.55","101.9","109.2","","S. Lowe (20-62)"
"21","1992-93","NBA","Minnesota Timberwolves","19","63",".232","5","-7.62","103.6","111.8","","J. Rodgers (6-23), S. Lowe (13-40)"
"22","1991-92","NBA","Minnesota Timberwolves","15","67",".183","6","-6.85","105.0","112.4","","J. Rodgers (15-67)"
"23","1990-91","NBA","Minnesota Timberwolves","29","53",".354","5","-3.75","106.7","110.9","","B. Musselman (29-53)"
"24","1989-90","NBA","Minnesota Timberwolves","22","60",".268","6","-3.60","103.6","108.2","","B. Musselman (22-60)"
