"","Season","Lg","Team","W","L","W-L%","Finish","SRS","ORtg","DRtg","Playoffs","Coaches"
"1","2012-13","NBA","Toronto Raptors","12","20",".375","5","-2.64","105.2","107.7","","D. Casey (12-20)"
"2","2011-12","NBA","Toronto Raptors","23","43",".348","4","-3.67","100.8","104.5","","D. Casey (23-43)"
"3","2010-11","NBA","Toronto Raptors","22","60",".268","5","-6.28","105.9","112.7","","J. Triano (22-60)"
"4","2009-10","NBA","Toronto Raptors","40","42",".488","2","-1.83","111.3","113.2","","J. Triano (40-42)"
"5","2008-09","NBA","Toronto Raptors","33","49",".402","4","-2.53","107.0","110.0","","S. Mitchell (8-9), J. Triano (25-40)"
"6","2007-08","NBA","Toronto Raptors*","41","41",".500","2","2.47","110.2","107.0","Lost Eastern Conference First Round","S. Mitchell (41-41)"
"7","2006-07","NBA","Toronto Raptors*","47","35",".573","1","0.61","107.0","106.0","Lost Eastern Conference First Round","S. Mitchell (47-35)"
"8","2005-06","NBA","Toronto Raptors","27","55",".329","4","-3.03","109.5","112.7","","S. Mitchell (27-55)"
"9","2004-05","NBA","Toronto Raptors","33","49",".402","4","-1.81","106.9","108.7","","S. Mitchell (33-49)"
"10","2003-04","NBA","Toronto Raptors","33","49",".402","6","-3.42","97.0","100.4","","K. O'Neill (33-49)"
"11","2002-03","NBA","Toronto Raptors","24","58",".293","7","-6.09","100.5","107.0","","L. Wilkens (24-58)"
"12","2001-02","NBA","Toronto Raptors*","42","40",".512","3","-0.71","102.6","103.1","Lost Eastern Conference First Round","L. Wilkens (42-40)"
"13","2000-01","NBA","Toronto Raptors*","47","35",".573","2","1.69","105.9","103.4","Lost Eastern Conference Semifinals","L. Wilkens (47-35)"
"14","1999-00","NBA","Toronto Raptors*","45","37",".549","3","-0.46","104.7","104.9","Lost Eastern Conference First Round","B. Carter (45-37)"
"15","1998-99","NBA","Toronto Raptors","23","27",".460","6","-1.32","102.0","103.9","","B. Carter (23-27)"
"16","1997-98","NBA","Toronto Raptors","16","66",".195","8","-8.33","101.2","111.0","","D. Walker (11-38), B. Carter (5-28)"
"17","1996-97","NBA","Toronto Raptors","30","52",".366","8","-2.56","104.6","108.0","","D. Walker (30-52)"
"18","1995-96","NBA","Toronto Raptors","21","61",".256","8","-7.21","103.8","111.8","","B. Malone (21-61)"
