"","League","Season","UnitPlayer1ID","UnitPlayer2ID","UnitPlayer3ID","UnitPlayer4ID","UnitPlayer5ID","OpponentPlayer1ID","OpponentPlayer2ID","OpponentPlayer3ID","OpponentPlayer4ID","OpponentPlayer5ID","UnitPlayer1Name","UnitPlayer2Name","UnitPlayer3Name","UnitPlayer4Name","UnitPlayer5Name","OpponentPlayer1Name","OpponentPlayer2Name","OpponentPlayer3Name","OpponentPlayer4Name","OpponentPlayer5Name","Observations","ElapsedSecs","PossessionsUnit","PossessionsOpponent","PointsScoredUnit","PointsScoredOpponent","OffensiveRtgUnit","OffensiveRtgOpponent","OverallRtgUnitVsOpponent","OverallRtgOpponentVsUnit","OffensiveReboundsUnit","OffensiveReboundsOpponent","DefensiveReboundsUnit","DefensiveReboundsOpponent","OffensiveReboundingRateUnit","OffensiveReboundingRateOpponent","DefensiveReboundingRateUnit","DefensiveReboundingRateOpponent","Source","Season.Type"
"1","NBA","2010 playoffs","8","16","90","486","537","30","24","221","330","858","Nash, Steve","Barbosa, Leandro","Richardson, Jason","Hill, Grant","Stoudemire, Amare","Parker, Tony","Ginobili, Manu","Jefferson, Richard","Bonner, Matt","Blair, DeJuan","1","66","3","2","3","0","100","0","100","-100","0","1","3","1","0","0.25","0.75","1","Basketball Value","Playoffs"
"2","NBA","2010 playoffs","8","16","90","486","537","30","793","221","275","26","Nash, Steve","Barbosa, Leandro","Richardson, Jason","Hill, Grant","Stoudemire, Amare","Parker, Tony","Hill, George","Jefferson, Richard","McDyess, Antonio","Duncan, Tim","1","79","3","3","2","0","66.6667","0","66.6667","-66.6667","0","0","3","3","0","0","1","1","Basketball Value","Playoffs"
"3","NBA","2010 playoffs","8","16","90","486","537","30","793","622","221","26","Nash, Steve","Barbosa, Leandro","Richardson, Jason","Hill, Grant","Stoudemire, Amare","Parker, Tony","Hill, George","Mason, Roger","Jefferson, Richard","Duncan, Tim","1","35","2","1","2","0","100","0","100","-100","0","1","0","1","0","1","0","1","Basketball Value","Playoffs"
"4","NBA","2010 playoffs","8","16","90","486","537","793","622","24","221","26","Nash, Steve","Barbosa, Leandro","Richardson, Jason","Hill, Grant","Stoudemire, Amare","Hill, George","Mason, Roger","Ginobili, Manu","Jefferson, Richard","Duncan, Tim","1","113","3","4","4","5","133.333","125","8.33333","-8.33333","0","1","0","1","0","1","0","1","Basketball Value","Playoffs"
"5","NBA","2010 playoffs","8","16","90","486","699","31","606","736","607","23","Nash, Steve","Barbosa, Leandro","Richardson, Jason","Hill, Grant","Dudley, Jared","Miller, Andre","Roy, Brandon","Batum, Nicolas","Aldridge, LaMarcus","Camby, Marcus","1","6","0","0","0","0","NULL","NULL","NULL","NULL","2","0","0","0","1","NULL","NULL","0","Basketball Value","Playoffs"
"6","NBA","2010 playoffs","8","16","90","486","699","31","734","356","736","852","Nash, Steve","Barbosa, Leandro","Richardson, Jason","Hill, Grant","Dudley, Jared","Miller, Andre","Fernandez, Rudy","Webster, Martell","Batum, Nicolas","Cunningham, Dante","1","11","1","1","3","0","300","0","300","-300","0","0","0","0","NULL","NULL","NULL","NULL","Basketball Value","Playoffs"
"7","NBA","2010 playoffs","8","16","90","537","362","30","793","221","275","26","Nash, Steve","Barbosa, Leandro","Richardson, Jason","Stoudemire, Amare","Frye, Channing","Parker, Tony","Hill, George","Jefferson, Richard","McDyess, Antonio","Duncan, Tim","1","47","1","1","3","1","300","100","200","-200","0","1","0","1","0","1","0","1","Basketball Value","Playoffs"
"8","NBA","2010 playoffs","8","16","90","537","362","793","24","221","275","26","Nash, Steve","Barbosa, Leandro","Richardson, Jason","Stoudemire, Amare","Frye, Channing","Hill, George","Ginobili, Manu","Jefferson, Richard","McDyess, Antonio","Duncan, Tim","1","39","1","2","0","2","0","100","-100","100","0","0","1","1","0","0","1","1","Basketball Value","Playoffs"
"9","NBA","2010 playoffs","8","16","90","537","362","868","622","24","221","858","Nash, Steve","Barbosa, Leandro","Richardson, Jason","Stoudemire, Amare","Frye, Channing","Temple, Garrett","Mason, Roger","Ginobili, Manu","Jefferson, Richard","Blair, DeJuan","1","6","1","0","0","0","0","NULL","NULL","NULL","0","0","0","0","NULL","NULL","NULL","NULL","Basketball Value","Playoffs"
"10","NBA","2010 playoffs","8","16","90","699","362","30","793","24","330","26","Nash, Steve","Barbosa, Leandro","Richardson, Jason","Dudley, Jared","Frye, Channing","Parker, Tony","Hill, George","Ginobili, Manu","Bonner, Matt","Duncan, Tim","1","161","5","5","6","6","120","120","0","0","1","1","0","3","0.25","1","0","0.75","Basketball Value","Playoffs"
"11","NBA","2010 playoffs","8","16","90","699","362","31","735","356","736","607","Nash, Steve","Barbosa, Leandro","Richardson, Jason","Dudley, Jared","Frye, Channing","Miller, Andre","Bayless, Jerryd","Webster, Martell","Batum, Nicolas","Aldridge, LaMarcus","1","12","2","1","0","2","0","200","-200","200","0","0","1","1","0","0","1","1","Basketball Value","Playoffs"
"12","NBA","2010 playoffs","8","16","90","699","537","30","793","24","221","26","Nash, Steve","Barbosa, Leandro","Richardson, Jason","Dudley, Jared","Stoudemire, Amare","Parker, Tony","Hill, George","Ginobili, Manu","Jefferson, Richard","Duncan, Tim","1","36","1","1","2","0","200","0","200","-200","0","0","2","0","NULL","0","1","NULL","Basketball Value","Playoffs"
"13","NBA","2010 playoffs","8","16","486","537","137","31","606","736","607","304","Nash, Steve","Barbosa, Leandro","Hill, Grant","Stoudemire, Amare","Collins, Jarron","Miller, Andre","Roy, Brandon","Batum, Nicolas","Aldridge, LaMarcus","Howard, Juwan","1","24","1","1","0","2","0","200","-200","200","0","0","0","0","NULL","NULL","NULL","NULL","Basketball Value","Playoffs"
"14","NBA","2010 playoffs","8","16","486","537","362","31","606","736","607","304","Nash, Steve","Barbosa, Leandro","Hill, Grant","Stoudemire, Amare","Frye, Channing","Miller, Andre","Roy, Brandon","Batum, Nicolas","Aldridge, LaMarcus","Howard, Juwan","2","96","2","2","3","5","150","250","-100","100","0","1","0","1","0","1","0","1","Basketball Value","Playoffs"
"15","NBA","2010 playoffs","8","16","486","537","653","31","735","356","852","304","Nash, Steve","Barbosa, Leandro","Hill, Grant","Stoudemire, Amare","Amundson, Louis","Miller, Andre","Bayless, Jerryd","Webster, Martell","Cunningham, Dante","Howard, Juwan","1","57","2","1","1","2","50","200","-150","150","0","0","0","1","0","NULL","NULL","1","Basketball Value","Playoffs"
"16","NBA","2010 playoffs","8","16","486","537","653","793","24","221","275","26","Nash, Steve","Barbosa, Leandro","Hill, Grant","Stoudemire, Amare","Amundson, Louis","Hill, George","Ginobili, Manu","Jefferson, Richard","McDyess, Antonio","Duncan, Tim","1","15","0","1","0","0","NULL","0","NULL","NULL","0","0","0","1","0","NULL","NULL","1","Basketball Value","Playoffs"
"17","NBA","2010 playoffs","8","16","486","537","653","793","622","24","275","26","Nash, Steve","Barbosa, Leandro","Hill, Grant","Stoudemire, Amare","Amundson, Louis","Hill, George","Mason, Roger","Ginobili, Manu","McDyess, Antonio","Duncan, Tim","1","45","2","1","3","0","150","0","150","-150","0","1","1","0","NULL","0.5","0.5","NULL","Basketball Value","Playoffs"
