"","League","Season","GameDate","GameID","BoxScoreURL","PlayByPlayURL","HomeNameFull","HomeName3","AwayNameFull","AwayName3","HaveBoxScore","HavePlayByPlay","AnalyzedPlayByPlay","Source","Season.Type"
"1","NBA","2007 playoffs",2007-04-21,"20070421NJNTOR","http://www.nba.com/games/20070421/NJNTOR/boxscore.html","http://www.nba.com/games/20070421/NJNTOR/playbyplay.html","Toronto Raptors","TOR","New Jersey Nets","NJN","NULL",2007-09-11,2008-12-09,"Basketball Value","Playoffs"
"2","NBA","2007 playoffs",2007-04-21,"20070421MIACHI","http://www.nba.com/games/20070421/MIACHI/boxscore.html","http://www.nba.com/games/20070421/MIACHI/playbyplay.html","Chicago Bulls","CHI","Miami Heat","MIA","NULL",2007-09-11,2008-12-09,"Basketball Value","Playoffs"
"3","NBA","2007 playoffs",2007-04-21,"20070421ORLDET","http://www.nba.com/games/20070421/ORLDET/boxscore.html","http://www.nba.com/games/20070421/ORLDET/playbyplay.html","Detroit Pistons","DET","Orlando Magic","ORL","NULL",2007-09-11,2008-12-09,"Basketball Value","Playoffs"
"4","NBA","2007 playoffs",2007-04-21,"20070421UTAHOU","http://www.nba.com/games/20070421/UTAHOU/boxscore.html","http://www.nba.com/games/20070421/UTAHOU/playbyplay.html","Houston Rockets","HOU","Utah Jazz","UTA","NULL",2007-09-11,2008-12-09,"Basketball Value","Playoffs"
"5","NBA","2007 playoffs",2007-04-22,"20070422WASCLE","http://www.nba.com/games/20070422/WASCLE/boxscore.html","http://www.nba.com/games/20070422/WASCLE/playbyplay.html","Cleveland Cavaliers","CLE","Washington Wizards","WAS","NULL",2007-09-11,2008-12-09,"Basketball Value","Playoffs"
"6","NBA","2007 playoffs",2007-04-22,"20070422LALPHX","http://www.nba.com/games/20070422/LALPHX/boxscore.html","http://www.nba.com/games/20070422/LALPHX/playbyplay.html","Phoenix Suns","PHX","Los Angeles Lakers","LAL","NULL",2007-09-11,2008-12-09,"Basketball Value","Playoffs"
"7","NBA","2007 playoffs",2007-04-22,"20070422DENSAS","http://www.nba.com/games/20070422/DENSAS/boxscore.html","http://www.nba.com/games/20070422/DENSAS/playbyplay.html","San Antonio Spurs","SAS","Denver Nuggets","DEN","NULL",2007-09-11,2008-12-09,"Basketball Value","Playoffs"
"8","NBA","2007 playoffs",2007-04-22,"20070422GSWDAL","http://www.nba.com/games/20070422/GSWDAL/boxscore.html","http://www.nba.com/games/20070422/GSWDAL/playbyplay.html","Dallas Maverics","DAL","Golden State Warriors","GSW","NULL",2007-09-11,2008-12-09,"Basketball Value","Playoffs"
"9","NBA","2007 playoffs",2007-04-23,"20070423ORLDET","http://www.nba.com/games/20070423/ORLDET/boxscore.html","http://www.nba.com/games/20070423/ORLDET/playbyplay.html","Detroit Pistons","DET","Orlando Magic","ORL","NULL",2007-09-11,2008-12-09,"Basketball Value","Playoffs"
"10","NBA","2007 playoffs",2007-04-23,"20070423UTAHOU","http://www.nba.com/games/20070423/UTAHOU/boxscore.html","http://www.nba.com/games/20070423/UTAHOU/playbyplay.html","Houston Rockets","HOU","Utah Jazz","UTA","NULL",2007-09-11,2008-12-09,"Basketball Value","Playoffs"
"11","NBA","2007 playoffs",2007-04-24,"20070424NJNTOR","http://www.nba.com/games/20070424/NJNTOR/boxscore.html","http://www.nba.com/games/20070424/NJNTOR/playbyplay.html","Toronto Raptors","TOR","New Jersey Nets","NJN","NULL",2007-09-11,2008-12-09,"Basketball Value","Playoffs"
"12","NBA","2007 playoffs",2007-04-24,"20070424MIACHI","http://www.nba.com/games/20070424/MIACHI/boxscore.html","http://www.nba.com/games/20070424/MIACHI/playbyplay.html","Chicago Bulls","CHI","Miami Heat","MIA","NULL",2007-09-11,2008-12-09,"Basketball Value","Playoffs"
"13","NBA","2007 playoffs",2007-04-24,"20070424LALPHX","http://www.nba.com/games/20070424/LALPHX/boxscore.html","http://www.nba.com/games/20070424/LALPHX/playbyplay.html","Phoenix Suns","PHX","Los Angeles Lakers","LAL","NULL",2007-09-11,2008-12-09,"Basketball Value","Playoffs"
"14","NBA","2007 playoffs",2007-04-25,"20070425DENSAS","http://www.nba.com/games/20070425/DENSAS/boxscore.html","http://www.nba.com/games/20070425/DENSAS/playbyplay.html","San Antonio Spurs","SAS","Denver Nuggets","DEN","NULL",2007-09-12,2008-12-09,"Basketball Value","Playoffs"
