CIPF.Code,CIPFamilyTitle
AAOARS,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES."
AARS,ARCHITECTURE AND RELATED SERVICES.
AECGAGS,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
BABS,BIOLOGICAL AND BIOMEDICAL SCIENCES.
BMMARSS,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES."
CAISASS,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.
CITA,CITIZENSHIP ACTIVITIES.
CJARP,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS."
CONT,CONSTRUCTION TRADES.
CTASS,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES.
EDUC,EDUCATION.
ELAL,ENGLISH LANGUAGE AND LITERATURE/LETTERS.
ENGI,ENGINEERING.
ETAEF,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS.
FACSS,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.
FLLAL,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
HIST,HISTORY.
HPARP,HEALTH PROFESSIONS AND RELATED PROGRAMS.
HSLEFARPS,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES."
LAASGSAH,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES."
LPAS,LEGAL PROFESSIONS AND STUDIES.
MAAS,MATHEMATICS AND STATISTICS.
MART,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS.
MULS,MULTI/INTERDISCIPLINARY STUDIES.
NRAC,NATURAL RESOURCES AND CONSERVATION.
PAASSP,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.
PARS,PHILOSOPHY AND RELIGIOUS STUDIES.
PHYS,PHYSICAL SCIENCES.
PRLAFS,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES."
PSYC,PSYCHOLOGY.
SCIT,SCIENCE TECHNOLOGIES/TECHNICIANS.
SOCS,SOCIAL SCIENCES.
TAMM,TRANSPORTATION AND MATERIALS MOVING.
TARV,THEOLOGY AND RELIGIOUS VOCATIONS.
VAPA,VISUAL AND PERFORMING ARTS.
