"","team","year","rank","value","value_change","debt","debt_percent","revenue","expense","operating_income","player_expense","gate_receipt"
"11","New York Knicks",2012,"1",1100,0.41,0,"0",243,159.8,83.2,NA,NA
"35","San Antonio Spurs",2012,"10",527,0.26,47.43,"9",135,120.3,14.7,NA,NA
"52","Sacramento Kings",2012,"11",525,0.75,99.75,"19",96,93.4,2.6,NA,NA
"80","Oklahoma City Thunder",2012,"12",475,0.36,137.75,"29",127,97.1,29.9,NA,NA
"94","Phoenix Suns",2012,"13",474,0.2,184.86,"39",121,108,13,NA,NA
"110","Orlando Magic",2012,"14",470,0.22,122.2,"26",126,114,12,NA,NA
"131","Portland Trail Blazers",2012,"15",457,0.24,105.11,"23",117,127.1,-10.1,NA,NA
"143","Cleveland Cavaliers",2012,"16",434,0.32,199.64,"46",128,109.4,18.6,NA,NA
"179","Utah Jazz",2012,"17",432,0.29,0,"0",111,98.9,12.1,NA,NA
"187","Los Angeles Clippers",2012,"18",430,0.33,0,"0",108,98.9,9.1,NA,NA
"205","Denver Nuggets",2012,"19",427,0.35,21.35,"5",110,98,12,NA,NA
"225","Los Angeles Lakers",2012,"2",1000,0.11,110,"11",197,149.2,47.8,NA,NA
"255","Philadelphia 76ers",2012,"20",418,0.33,150.48,"36",107,107.8,-0.8,NA,NA
"276","Toronto Raptors",2012,"21",405,0.06,162,"40",121,102.2,18.8,NA,NA
"283","Detroit Pistons",2012,"22",400,0.2,184,"46",125,117.3,7.7,NA,NA
"317","Washington Wizards",2012,"23",397,0.21,131.01,"33",102,100.3,1.7,NA,NA
"327","Indiana Pacers",2012,"24",383,0.35,149.37,"39",98,87.1,10.9,NA,NA
"354","Memphis Grizzlies",2012,"25",377,0.4,109.33,"29",96,108.5,-12.5,NA,NA
"367","Minnesota Timberwolves",2012,"26",364,0.34,76.44,"21",96,100.5,-4.5,NA,NA
"399","New Orleans Hornets",2012,"27",340,0.19,125.8,"37",100,96.7,3.3,NA,NA
"402","Atlanta Hawks",2012,"28",316,0.17,237,"75",99,117.7,-18.7,NA,NA
"430","Charlotte Bobcats",2012,"29",315,0.14,151.2,"48",93,106.3,-13.3,NA,NA
"443","Chicago Bulls",2012,"3",800,0.33,56,"7",162,127.8,34.2,NA,NA
"455","Milwaukee Bucks",2012,"30",312,0.16,56.16,"18",87,87.5,-0.5,NA,NA
"459","Boston Celtics",2012,"4",730,0.51,160.6,"22",143,124.3,18.7,NA,NA
"481","Dallas Mavericks",2012,"5",685,0.38,198.65,"29",137,124,13,NA,NA
"511","Miami Heat",2012,"6",625,0.37,112.5,"18",150,135.1,14.9,NA,NA
"527","Houston Rockets",2012,"7",568,0.25,102.24,"18",135,108.4,26.6,NA,NA
"542","Golden State Warriors",2012,"8",555,0.23,149.85,"27",127,97.9,29.1,NA,NA
"577","Brooklyn Nets",2012,"9",530,0.48,280.9,"53",84,100.6,-16.6,NA,NA
"10","Los Angeles Lakers",2011,"1",900,0.4,117,"13",208,183.7,24.3,NA,NA
"28","Phoenix Suns",2011,"10",395,-0.04,185.65,"47",136,122.9,13.1,NA,NA
"48","Orlando Magic",2011,"11",385,0,119.35,"31",140,156,-16,NA,NA
"77","Toronto Raptors",2011,"12",382,-0.04,129.88,"34",134,126.6,7.4,NA,NA
"95","Portland Trail Blazers",2011,"13",370,0.04,103.6,"28",132,140.1,-8.1,NA,NA
"108","New Jersey Nets",2011,"14",357,0.14,282.03,"79",89,112.6,-23.6,NA,NA
"140","Oklahoma City Thunder",2011,"15",348,0.06,139.2,"40",126,101.5,24.5,NA,NA
"155","Utah Jazz",2011,"16",335,-0.02,10.05,"3",120,136.4,-16.4,NA,NA
"168","Detroit Pistons",2011,"17",332,-0.08,185.92,"56",141,131.3,9.7,NA,NA
"181","Cleveland Cavaliers",2011,"18",329,-0.07,200.69,"61",149,116.1,32.9,NA,NA
"218","Washington Wizards",2011,"19",328,0.02,131.2,"40",109,112.4,-3.4,NA,NA
"237","New York Knicks",2011,"2",780,0.19,0,"0",244,169.1,74.9,NA,NA
"249","Los Angeles Clippers",2011,"20",324,0.06,0,"0",108,98.6,9.4,NA,NA
"266","Denver Nuggets",2011,"21",316,0,25.28,"8",113,114.2,-1.2,NA,NA
"295","Philadelphia 76ers",2011,"22",314,-0.05,150.72,"48",116,126.3,-10.3,NA,NA
"313","Sacramento Kings",2011,"23",300,0.02,99,"33",104,97.6,6.4,NA,NA
"337","New Orleans Hornets",2011,"24",285,0.02,299.25,"105",109,111.7,-2.7,NA,NA
"346","Indiana Pacers",2011,"25",283,0.05,149.99,"53",101,111.5,-10.5,NA,NA
"380","Charlotte Bobcats",2011,"26",277,-0.01,149.58,"54",101,126.5,-25.5,NA,NA
"394","Minnesota Timberwolves",2011,"27",272,0.03,76.16,"28",97,103.8,-6.8,NA,NA
"401","Atlanta Hawks",2011,"28",270,-0.08,243,"90",109,123.7,-14.7,NA,NA
"426","Memphis Grizzlies",2011,"29",269,0.01,150.64,"56",99,123.8,-24.8,NA,NA
"442","Chicago Bulls",2011,"3",600,0.17,54,"9",185,125.6,59.4,NA,NA
"453","Milwaukee Bucks",2011,"30",268,0.04,56.28,"21",92,99.6,-7.6,NA,NA
"467","Dallas Mavericks",2011,"4",497,0.13,198.8,"40",166,169.9,-3.9,NA,NA
"478","Boston Celtics",2011,"5",482,0.07,178.34,"37",146,138.3,7.7,NA,NA
"510","Miami Heat",2011,"6",457,0.08,155.38,"34",158,132,26,NA,NA
"526","Houston Rockets",2011,"7",453,0.02,99.66,"22",150,132.1,17.9,NA,NA
"541","Golden State Warriors",2011,"8",450,0.24,148.5,"33",139,116.8,22.2,NA,NA
"571","San Antonio Spurs",2011,"9",418,0.03,50.16,"12",139,124.6,14.4,NA,NA
"19","New York Knicks",2010,"1",655,0.12,0,"0",226,162,64,NA,NA
"37","Toronto Raptors",2010,"10",399,0.03,135.66,"34",138,112.7,25.3,NA,NA
"49","Orlando Magic",2010,"11",385,0.06,111.65,"29",108,131.1,-23.1,NA,NA
"61","Golden State Warriors",2010,"12",363,0.15,148.83,"41",119,104.7,14.3,NA,NA
"85","Detroit Pistons",2010,"13",360,-0.25,0,"0",147,115.2,31.8,NA,NA
"113","Portland Trail Blazers",2010,"14",356,0.05,106.8,"30",127,116.3,10.7,NA,NA
"123","Cleveland Cavaliers",2010,"15",355,-0.26,198.8,"56",161,158.4,2.6,NA,NA
"157","Utah Jazz",2010,"16",343,0,17.15,"5",121,124.9,-3.9,NA,NA
"175","Philadelphia 76ers",2010,"17",330,-0.04,75.9,"23",110,111.2,-1.2,NA,NA
"200","Oklahoma City Thunder",2010,"18",329,0.06,141.47,"43",118,95.4,22.6,NA,NA
"217","Washington Wizards",2010,"19",322,0.03,128.8,"40",107,112.2,-5.2,NA,NA
"230","Los Angeles Lakers",2010,"2",643,0.06,122.17,"19",214,180.6,33.4,NA,NA
"245","Denver Nuggets",2010,"20",316,-0.02,28.44,"9",113,124.7,-11.7,NA,NA
"274","New Jersey Nets",2010,"21",312,0.16,698.88,"224",89,99.2,-10.2,NA,NA
"287","Los Angeles Clippers",2010,"22",305,0.03,0,"0",102,91,11,NA,NA
"302","Atlanta Hawks",2010,"23",295,-0.04,185.85,"63",105,112.3,-7.3,NA,NA
"335","Sacramento Kings",2010,"24",293,-0.04,93.76,"32",103,112.8,-9.8,NA,NA
"359","Charlotte Bobcats",2010,"25",281,0.01,148.93,"53",98,118,-20,NA,NA
"378","New Orleans Hornets",2010,"26",280,0.05,193.2,"69",100,105.9,-5.9,NA,NA
"387","Indiana Pacers",2010,"27",269,-0.04,150.64,"56",95,111.9,-16.9,NA,NA
"411","Memphis Grizzlies",2010,"28",266,0.04,148.96,"56",92,94.6,-2.6,NA,NA
"423","Minnesota Timberwolves",2010,"29",264,-0.01,50.16,"19",95,101.7,-6.7,NA,NA
"440","Chicago Bulls",2010,"3",511,0,56.21,"11",169,117.7,51.3,NA,NA
"452","Milwaukee Bucks",2010,"30",258,0.02,54.18,"21",92,94,-2,NA,NA
"458","Boston Celtics",2010,"4",452,0.05,180.8,"40",151,146.8,4.2,NA,NA
"484","Houston Rockets",2010,"5",443,-0.06,70.88,"16",153,117.1,35.9,NA,NA
"504","Dallas Mavericks",2010,"6",438,-0.02,201.48,"46",146,153.8,-7.8,NA,NA
"529","Miami Heat",2010,"7",425,0.17,161.5,"38",124,129.9,-5.9,NA,NA
"548","Phoenix Suns",2010,"8",411,-0.04,184.95,"45",147,126.6,20.4,NA,NA
"570","San Antonio Spurs",2010,"9",404,0.01,40.4,"10",135,139.7,-4.7,NA,NA
"9","Los Angeles Lakers",2009,"1",607,0.04,121.4,"20",209,157.9,51.1,NA,NA
"32","San Antonio Spurs",2009,"10",398,-0.04,47.76,"12",133,113.9,19.1,NA,NA
"56","Toronto Raptors",2009,"11",386,-0.03,146.68,"38",133,115,18,NA,NA
"66","Miami Heat",2009,"12",364,-0.07,163.8,"45",126,118,8,NA,NA
"91","Orlando Magic",2009,"13",361,0.04,108.3,"30",107,109.2,-2.2,NA,NA
"111","Philadelphia 76ers",2009,"14",344,-0.04,65.36,"19",115,107.4,7.6,NA,NA
"133","Utah Jazz",2009,"15",343,-0.04,20.58,"6",118,110.1,7.9,NA,NA
"150","Portland Trail Blazers",2009,"16",338,0.1,104.78,"31",121,141.3,-20.3,NA,NA
"167","Denver Nuggets",2009,"17",321,-0.03,35.31,"11",115,110.4,4.6,NA,NA
"183","Golden State Warriors",2009,"18",315,-0.06,75.6,"24",113,101.1,11.9,NA,NA
"216","Washington Wizards",2009,"19",313,-0.11,194.06,"62",110,105.1,4.9,NA,NA
"236","New York Knicks",2009,"2",586,-0.04,0,"0",202,181,21,NA,NA
"260","Oklahoma City Thunder",2009,"20",310,0.03,139.5,"45",111,98.3,12.7,NA,NA
"261","Atlanta Hawks",2009,"21",306,0,64.26,"21",103,105,-2,NA,NA
"296","Sacramento Kings",2009,"22",305,-0.13,94.55,"31",109,111.8,-2.8,NA,NA
"308","Los Angeles Clippers",2009,"23",295,-0.01,0,"0",102,92,10,NA,NA
"326","Indiana Pacers",2009,"24",281,-0.07,50.58,"18",97,112.7,-15.7,NA,NA
"358","Charlotte Bobcats",2009,"25",278,-0.02,161.24,"58",96,111.1,-15.1,NA,NA
"368","New Jersey Nets",2009,"26",269,-0.09,207.13,"77",92,105.9,-13.9,NA,NA
"393","Minnesota Timberwolves",2009,"27",268,-0.11,50.92,"19",96,102.8,-6.8,NA,NA
"413","New Orleans Hornets",2009,"28",267,-0.06,146.85,"55",95,95.1,-0.1,NA,NA
"425","Memphis Grizzlies",2009,"29",257,-0.13,149.06,"58",88,95.1,-7.1,NA,NA
"441","Chicago Bulls",2009,"3",511,0.02,56.21,"11",168,117,51,NA,NA
"451","Milwaukee Bucks",2009,"30",254,-0.09,55.88,"22",91,98.4,-7.4,NA,NA
"469","Detroit Pistons",2009,"4",479,0,0,"0",171,124.1,46.9,NA,NA
"479","Cleveland Cavaliers",2009,"5",476,0,199.92,"42",159,154,5,NA,NA
"509","Houston Rockets",2009,"6",470,0,70.5,"15",160,129.7,30.3,NA,NA
"521","Dallas Mavericks",2009,"7",446,-0.04,115.96,"26",154,171.4,-17.4,NA,NA
"539","Boston Celtics",2009,"8",433,-0.03,181.86,"42",144,131.1,12.9,NA,NA
"567","Phoenix Suns",2009,"9",429,-0.05,184.47,"43",148,127.3,20.7,NA,NA
"18","New York Knicks",2008,"1",613,0.01,0,"0",208,178.4,29.6,NA,NA
"34","San Antonio Spurs",2008,"10",415,0.03,53.95,"13",138,119,19,NA,NA
"57","Toronto Raptors",2008,"11",400,0.07,160,"40",138,110.3,27.7,NA,NA
"67","Miami Heat",2008,"12",393,-0.06,168.99,"43",131,132.1,-1.1,NA,NA
"92","Philadelphia 76ers",2008,"13",360,-0.05,64.8,"18",116,115.7,0.3,NA,NA
"118","Utah Jazz",2008,"14",358,0.05,10.74,"3",119,110.2,8.8,NA,NA
"136","Washington Wizards",2008,"15",353,0.02,165.91,"47",118,103.1,14.9,NA,NA
"152","Sacramento Kings",2008,"16",350,-0.09,84,"24",117,110,7,NA,NA
"174","Orlando Magic",2008,"17",349,0.08,101.21,"29",100,93.8,6.2,NA,NA
"184","Golden State Warriors",2008,"18",335,0.08,73.7,"22",112,97.8,14.2,NA,NA
"204","Denver Nuggets",2008,"19",329,0.03,46.06,"14",112,138.3,-26.3,NA,NA
"229","Los Angeles Lakers",2008,"2",584,0.04,128.48,"22",191,143.1,47.9,NA,NA
"256","Portland Trail Blazers",2008,"20",307,0.21,104.38,"34",114,114.9,-0.9,NA,NA
"262","Atlanta Hawks",2008,"21",306,0.07,70.38,"23",102,95.3,6.7,NA,NA
"285","Indiana Pacers",2008,"22",303,-0.09,48.48,"16",101,107.5,-6.5,NA,NA
"310","Minnesota Timberwolves",2008,"23",301,-0.02,51.17,"17",100,105.7,-5.7,NA,NA
"340","Oklahoma City Thunder",2008,"24",300,0.12,141,"47",82,91.4,-9.4,NA,NA
"348","Los Angeles Clippers",2008,"25",297,0.01,0,"0",99,88.3,10.7,NA,NA
"369","New Jersey Nets",2008,"26",295,-0.13,209.45,"71",98,98.9,-0.9,NA,NA
"397","Memphis Grizzlies",2008,"27",294,-0.03,149.94,"51",95,98.2,-3.2,NA,NA
"414","New Orleans Hornets",2008,"28",285,0.05,99.75,"35",95,91.8,3.2,NA,NA
"429","Charlotte Bobcats",2008,"29",284,-0.01,150.52,"53",95,99.9,-4.9,NA,NA
"439","Chicago Bulls",2008,"3",504,0.01,55.44,"11",165,109.6,55.4,NA,NA
"454","Milwaukee Bucks",2008,"30",278,0.05,55.6,"20",94,88.6,5.4,NA,NA
"470","Detroit Pistons",2008,"4",480,0.01,0,"0",160,119.6,40.4,NA,NA
"480","Cleveland Cavaliers",2008,"5",477,0.05,200.34,"42",159,145.9,13.1,NA,NA
"508","Houston Rockets",2008,"6",469,0.01,70.35,"15",156,124.8,31.2,NA,NA
"522","Dallas Mavericks",2008,"7",466,0.01,121.16,"26",153,166.6,-13.6,NA,NA
"550","Phoenix Suns",2008,"8",452,0.01,176.28,"39",148,119.1,28.9,NA,NA
"559","Boston Celtics",2008,"9",447,0.14,178.8,"40",149,128.9,20.1,NA,NA
"17","New York Knicks",2007,"1",608,0.03,0,"0",196,238.2,-42.2,NA,NA
"33","San Antonio Spurs",2007,"10",405,0.04,56.7,"14",131,115.5,15.5,NA,NA
"43","Boston Celtics",2007,"11",391,0.06,179.86,"46",117,98.7,18.3,NA,NA
"72","Sacramento Kings",2007,"12",385,0.02,84.7,"22",128,107.5,20.5,NA,NA
"93","Philadelphia 76ers",2007,"13",380,0.01,64.6,"17",112,114.8,-2.8,NA,NA
"117","Toronto Raptors",2007,"14",373,0.18,164.12,"44",124,95.2,28.8,NA,NA
"135","Washington Wizards",2007,"15",348,0.04,167.04,"48",112,100.4,11.6,NA,NA
"156","Utah Jazz",2007,"16",342,0.15,17.1,"5",114,108.3,5.7,NA,NA
"173","New Jersey Nets",2007,"17",338,0.04,209.56,"62",102,103.3,-1.3,NA,NA
"186","Indiana Pacers",2007,"18",333,-0.02,46.62,"14",107,108.3,-1.3,NA,NA
"210","Orlando Magic",2007,"19",322,0.14,61.18,"19",92,87.4,4.6,NA,NA
"227","Los Angeles Lakers",2007,"2",560,-0.02,84,"15",170,138.2,31.8,NA,NA
"246","Denver Nuggets",2007,"20",321,0.04,51.36,"16",104,108.8,-4.8,NA,NA
"267","Golden State Warriors",2007,"21",309,0.16,74.16,"24",103,101.7,1.3,NA,NA
"292","Minnesota Timberwolves",2007,"22",308,0,49.28,"16",103,104.9,-1.9,NA,NA
"318","Memphis Grizzlies",2007,"23",304,-0.03,148.96,"49",98,108.9,-10.9,NA,NA
"332","Los Angeles Clippers",2007,"24",294,0.03,0,"0",98,88.2,9.8,NA,NA
"360","Charlotte Bobcats",2007,"25",287,0.04,149.24,"52",93,87.7,5.3,NA,NA
"362","Atlanta Hawks",2007,"26",286,0.04,71.5,"25",95,85.3,9.7,NA,NA
"398","New Orleans Hornets",2007,"27",272,0.1,149.6,"55",91,80.8,10.2,NA,NA
"410","Seattle SuperSonics",2007,"28",269,0,139.88,"52",81,86.7,-5.7,NA,NA
"421","Milwaukee Bucks",2007,"29",264,0.01,55.44,"21",88,86.3,1.7,NA,NA
"438","Chicago Bulls",2007,"3",500,0.09,55,"11",161,101.7,59.3,NA,NA
"457","Portland Trail Blazers",2007,"30",253,0.1,103.73,"41",82,107.1,-25.1,NA,NA
"468","Detroit Pistons",2007,"4",477,0.11,0,"0",154,114.8,39.2,NA,NA
"485","Houston Rockets",2007,"5",462,0.05,69.3,"15",149,119.3,29.7,NA,NA
"505","Dallas Mavericks",2007,"6",461,-0.01,124.47,"27",140,141.6,-1.6,NA,NA
"520","Cleveland Cavaliers",2007,"7",455,0.2,200.2,"44",152,120.1,31.9,NA,NA
"549","Phoenix Suns",2007,"8",449,0.1,175.11,"39",145,107.7,37.3,NA,NA
"562","Miami Heat",2007,"9",418,0.02,175.56,"42",131,113.1,17.9,NA,NA
"16","New York Knicks",2006,"1",592,0.09,0,"0",185,224,-39,NA,NA
"23","Cleveland Cavaliers",2006,"10",380,0.07,201.4,"53",115,91.1,23.9,NA,NA
"51","Sacramento Kings",2006,"11",379,0.1,83.38,"22",126,109.6,16.4,NA,NA
"70","Philadelphia 76ers",2006,"12",375,0.07,93.75,"25",110,116.2,-6.2,NA,NA
"82","Boston Celtics",2006,"13",367,0.04,179.83,"49",111,95.3,15.7,NA,NA
"104","Indiana Pacers",2006,"14",340,0.05,47.6,"14",110,122.5,-12.5,NA,NA
"134","Washington Wizards",2006,"15",334,0.05,167,"50",108,93.2,14.8,NA,NA
"148","New Jersey Nets",2006,"16",325,0.2,211.25,"65",93,101,-8,NA,NA
"178","Toronto Raptors",2006,"17",315,0.13,173.25,"55",105,96.6,8.4,NA,NA
"198","Memphis Grizzlies",2006,"18",313,0.07,150.24,"48",101,119.5,-18.5,NA,NA
"203","Denver Nuggets",2006,"19",309,0.09,55.62,"18",100,90.6,9.4,NA,NA
"228","Los Angeles Lakers",2006,"2",568,0.07,85.2,"15",167,133.7,33.3,NA,NA
"254","Minnesota Timberwolves",2006,"20",308,0.02,49.28,"16",103,98.4,4.6,NA,NA
"277","Utah Jazz",2006,"21",297,0.08,20.79,"7",96,94.6,1.4,NA,NA
"286","Los Angeles Clippers",2006,"22",285,0.15,0,"0",95,79.3,15.7,NA,NA
"312","Orlando Magic",2006,"23",283,0.15,59.43,"21",89,109.4,-20.4,NA,NA
"339","Charlotte Bobcats",2006,"24",277,-0.08,149.58,"54",89,77.1,11.9,NA,NA
"342","Atlanta Hawks",2006,"25",275,0.05,71.5,"26",92,79.1,12.9,NA,NA
"377","Seattle SuperSonics",2006,"26",268,0.15,139.36,"52",81,77.4,3.6,NA,NA
"386","Golden State Warriors",2006,"27",267,0.1,74.76,"28",89,82.7,6.3,NA,NA
"409","Milwaukee Bucks",2006,"28",260,0.13,54.6,"21",87,85.5,1.5,NA,NA
"427","New Orleans Hornets",2006,"29",248,0.1,148.8,"60",83,70.1,12.9,NA,NA
"444","Dallas Mavericks",2006,"3",463,0.15,138.9,"30",140,164.4,-24.4,NA,NA
"456","Portland Trail Blazers",2006,"30",230,0.01,59.8,"26",77,92.2,-15.2,NA,NA
"464","Chicago Bulls",2006,"4",461,0.13,55.32,"12",149,100.5,48.5,NA,NA
"483","Houston Rockets",2006,"5",439,0.04,70.24,"16",142,120.6,21.4,NA,NA
"507","Detroit Pistons",2006,"6",429,0.07,0,"0",138,116.2,21.8,NA,NA
"532","Phoenix Suns",2006,"7",410,0.04,266.5,"65",132,97.5,34.5,NA,NA
"545","Miami Heat",2006,"8",409,0.13,179.96,"44",132,111.5,20.5,NA,NA
"569","San Antonio Spurs",2006,"9",390,0.11,58.5,"15",122,110.3,11.7,NA,NA
"20","Los Angeles Lakers ",2005,"1",510,0.14,56.1,"11",170,134.2,35.8,NA,NA
"39","Sacramento Kings ",2005,"10",330,0.2,82.5,"25",118,117.4,0.6,NA,NA
"60","San Antonio Spurs ",2005,"11",324,0.15,129.6,"40",108,81.3,26.7,NA,NA
"79","Indiana Pacers ",2005,"12",311,0.11,49.76,"16",104,101.4,2.6,NA,NA
