"","CIPF.Code","ID_School","Category"
"1","AG","NEB","School"
"2","AG","KAN.ST","School"
"3","AG","TAM","School"
"4","AG","LSU","School"
"5","AG","UGA","School"
"6","AG","FLA","School"
"7","AG","CLEM","School"
"8","AG","UTA.ST","School"
"9","AG","ORE.ST","School"
"10","AG","OSU","School"
"11","AG","LOUIS","School"
"12","AG","RUT","School"
"13","NATRESC","LSU","School"
"14","NATRESC","ORE.ST","School"
"15","NATRESC","RUT","School"
"16","NATRESC","BOS.ST","School"
"17","NATRESC","CLEM","School"
"18","NATRESC","UM","School"
"19","NATRESC","NEB","School"
"20","NATRESC","OSU","School"
"21","NATRESC","UTA.ST","School"
"22","NATRESC","ORE","School"
"23","NATRESC","UGA","School"
"24","NATRESC","SJ.ST","School"
"25","NATRESC","FLA","School"
"26","NATRESC","TAM","School"
"27","NATRESC","ND","School"
"28","ARCH","UM","School"
"29","ARCH","FLA","School"
"30","ARCH","LSU","School"
"31","ARCH","UGA","School"
"32","ARCH","NEB","School"
"33","ARCH","ND","School"
"34","ARCH","OK","School"
"35","ARCH","UTA.ST","School"
"36","ARCH","ORE","School"
"37","ARCH","OSU","School"
"38","ARCH","TAM","School"
"39","ARCH","RUT","School"
"40","ARCH","CLEM","School"
"41","ARCH","UT","School"
"42","ETHNIC","ORE","School"
"43","ETHNIC","UT","School"
"44","ETHNIC","VANDY","School"
"45","ETHNIC","UM","School"
"46","ETHNIC","OK","School"
"47","ETHNIC","UTA.ST","School"
"48","ETHNIC","STAN","School"
"49","ETHNIC","RUT","School"
"50","COMM","ORE.ST","School"
"51","COMM","ORE","School"
"52","COMM","STAN","School"
"53","COMM","TAM","School"
"54","COMM","BOS.ST","School"
"55","COMM","UTA.ST","School"
"56","COMM","FSU","School"
"57","COMM","UGA","School"
"58","COMM","BAMA","School"
"59","COMM","RUT","School"
"60","COMM","FLA","School"
"61","COMM","NWST","School"
"62","COMM","VANDY","School"
"63","COMM","UT","School"
"64","COMM","UM","School"
"65","COMM","OSU","School"
"66","COMM","SJ.ST","School"
"67","COMM","NO.ILL","School"
"68","COMM","KAN.ST","School"
"69","COMM","LSU","School"
"70","COMM","OK","School"
"71","COMM","SCAR","School"
"72","COMM","LOUIS","School"
"73","COMM","NEB","School"
"74","COMTECH","NWST","School"
"75","COMP","RUT","School"
"76","COMP","ORE.ST","School"
"77","COMP","STAN","School"
"78","COMP","FSU","School"
"79","COMP","LSU","School"
"80","COMP","KAN.ST","School"
"81","COMP","TAM","School"
"82","COMP","ORE","School"
"83","COMP","SCAR","School"
"84","COMP","VANDY","School"
"85","COMP","OSU","School"
