School_Label,BD_C,BD_C_Percentage,CIPFamily,CIPTitle,Year
Alabama,164,0.036746583,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,2010-2011
Alabama,1334,0.298902084,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",2010-2011
Alabama,304,0.068115617,13,EDUCATION.,2010-2011
Alabama,314,0.070356263,14,ENGINEERING.,2010-2011
Alabama,444,0.099484652,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",2010-2011
Alabama,19,0.004257226,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,2010-2011
Alabama,12,0.002688774,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",2010-2011
Alabama,26,0.005825678,27,MATHEMATICS AND STATISTICS.,2010-2011
Alabama,9,0.002016581,3,NATURAL RESOURCES AND CONSERVATION.,2010-2011
Alabama,18,0.004033162,38,PHILOSOPHY AND RELIGIOUS STUDIES.,2010-2011
Alabama,54,0.012099485,40,PHYSICAL SCIENCES.,2010-2011
Alabama,143,0.032041228,42,PSYCHOLOGY.,2010-2011
Alabama,48,0.010755097,44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,2010-2011
Alabama,85,0.019045485,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,2010-2011
Alabama,324,0.072596908,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,2010-2011
Alabama,34,0.007618194,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",2010-2011
Alabama,457,0.10239749,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,2010-2011
Alabama,96,0.021510195,54,HISTORY.,2010-2011
Alabama,70,0.015684517,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",2010-2011
Alabama,98,0.021958324,30,MULTI/INTERDISCIPLINARY STUDIES.,2010-2011
Alabama,208,0.046605422,50,VISUAL AND PERFORMING ARTS.,2010-2011
Alabama,202,0.045261035,45,SOCIAL SCIENCES.,2010-2011
Boise State,132,0.050945581,42,PSYCHOLOGY.,2011-2012
Boise State,65,0.025086839,44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,2011-2012
Boise State,26,0.010034736,40,PHYSICAL SCIENCES.,2011-2012
Boise State,399,0.153994597,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,2011-2012
Boise State,39,0.015052103,54,HISTORY.,2011-2012
Boise State,179,0.069085295,45,SOCIAL SCIENCES.,2011-2012
Boise State,119,0.045928213,50,VISUAL AND PERFORMING ARTS.,2011-2012
Boise State,3,0.001157854,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",2011-2012
