Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.NON,T.NON.M,T.NON.F
1988-1999,100858,Auburn University,Agricultural Business and Production,'01.0000',Bachelor's degree,33,25,8,33,25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1988-1999,100858,Auburn University,Agricultural Sciences,'02.0000',Bachelor's degree,56,41,15,54,41,13,2,,2,0,0,0,0,,,0,0,0,0,0,0
1988-1999,100858,Auburn University,Allied Health,'17.0000',Bachelor's degree,22,3,19,21,3,18,1,,1,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,100858,Auburn University,Architecture and Related Programs,'04.0000',Bachelor's degree,102,67,35,99,66,33,2,,2,0,0,0,0,0,0,0,0,0,1,1,
1988-1999,100858,Auburn University,Area- Ethnic and Cultural Studies,'05.0000',Bachelor's degree,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,100858,Auburn University,Biological Sciences/Life Sciences,'26.0000',Bachelor's degree,80,43,37,73,41,32,3,1,2,0,0,0,3,1,2,0,0,0,1,,1
1988-1999,100858,Auburn University,Business (Admin Support),'07.0000',Bachelor's degree,4,,4,4,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,100858,Auburn University,Business and Management,'06.0000',Bachelor's degree,912,548,364,880,531,349,24,13,11,1,,1,1,,1,3,2,1,3,2,1
1988-1999,100858,Auburn University,Communications,'09.0000',Bachelor's degree,115,22,93,114,22,92,1,,1,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,100858,Auburn University,Computer and Information Sciences,'11.0000',Bachelor's degree,12,7,5,12,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1988-1999,100858,Auburn University,Conservation and Renewable Natural Resources,'03.0000',Bachelor's degree,45,43,2,43,41,2,1,1,,0,0,0,0,0,0,0,0,0,1,1,
1988-1999,100858,Auburn University,Education,'13.0000',Bachelor's degree,427,109,318,413,103,310,14,6,8,0,0,0,0,0,0,0,0,0,0,,
1988-1999,100858,Auburn University,Engineering,'14.0000',Bachelor's degree,820,718,102,795,699,96,14,9,5,1,1,,4,3,1,1,1,,5,5,
1988-1999,100858,Auburn University,English Language and Literature/Letters,'23.0000',Bachelor's degree,107,43,64,102,42,60,5,1,4,0,0,0,0,0,0,0,0,0,0,,
1988-1999,100858,Auburn University,Foreign Languages and Literatures,'16.0000',Bachelor's degree,42,17,25,41,17,24,0,,,0,0,0,1,,1,0,0,0,0,,
