Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Major,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2000-2001,100858,Auburn University,Agricultural Sciences,'02',Bachelor's degree,First major,179,112,67,177,111,66,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2000-2001,100858,Auburn University,Health Professions and Related Sciences,'51',Bachelor's degree,First major,194,39,155,177,38,139,12,1,11,1,0,1,3,0,3,1,0,1,0,0,0,0,0,0
2000-2001,100858,Auburn University,Physical Sciences,'40',Bachelor's degree,First major,24,16,8,23,16,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,100858,Auburn University,Psychology,'42',Bachelor's degree,First major,138,36,102,121,32,89,13,3,10,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1
2000-2001,100858,Auburn University,Public Administration and Services,'44',Bachelor's degree,First major,30,6,24,27,4,23,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,100858,Auburn University,Visual and Performing Arts,'50',Bachelor's degree,First major,135,45,90,131,43,88,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2000-2001,100858,Auburn University,Agricultural Business and Production,'01',Bachelor's degree,First major,39,29,10,39,29,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,100858,Auburn University,Business Management and Administrative Services,'52',Bachelor's degree,First major,995,627,368,912,581,331,53,26,27,8,5,3,13,9,4,3,1,2,0,0,0,6,5,1
2000-2001,100858,Auburn University,Mathematics,'27',Bachelor's degree,First major,11,3,8,10,3,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,100858,Auburn University,Philosophy and Religion,'38',Bachelor's degree,First major,16,14,2,14,13,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,100858,Auburn University,Architecture and Related Programs,'04',Bachelor's degree,First major,112,81,31,107,77,30,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2000-2001,100858,Auburn University,Biological Science/Life Sciences,'26',Bachelor's degree,First major,164,57,107,150,53,97,6,1,5,2,0,2,3,2,1,2,1,1,0,0,0,1,0,1
2000-2001,100858,Auburn University,Computer and Information Sciences,'11',Bachelor's degree,First major,34,27,7,30,26,4,2,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
2000-2001,100858,Auburn University,Engineering,'14',Bachelor's degree,First major,664,531,133,584,481,103,45,28,17,4,1,3,12,7,5,3,3,0,2,2,0,14,9,5
2000-2001,100858,Auburn University,Foreign Languages and Literatures,'16',Bachelor's degree,First major,51,16,35,41,11,30,6,2,4,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0
2000-2001,100858,Auburn University,Home Economics- General,'19',Bachelor's degree,First major,196,9,187,181,7,174,14,2,12,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2000-2001,100858,Auburn University,Communications,'09',Bachelor's degree,First major,151,52,99,142,49,93,7,2,5,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2000-2001,100858,Auburn University,Conservation and Renewable Natural Resources,'03',Bachelor's degree,First major,85,58,27,82,56,26,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0
2000-2001,100858,Auburn University,Education,'13',Bachelor's degree,First major,352,94,258,330,83,247,18,10,8,2,1,1,0,0,0,1,0,1,0,0,0,1,0,1
2000-2001,100858,Auburn University,English Language and Literature/Letters,'23',Bachelor's degree,First major,105,30,75,95,29,66,6,0,6,1,0,1,1,0,1,2,1,1,0,0,0,0,0,0
2000-2001,100858,Auburn University,Social Sciences and History,'45',Bachelor's degree,First major,200,114,86,180,101,79,16,11,5,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0
2000-2001,142115,Boise State University,Computer and Information Sciences,'11',Bachelor's degree,First major,77,58,19,60,46,14,2,2,0,1,1,0,5,2,3,3,2,1,5,4,1,1,1,0
2000-2001,142115,Boise State University,English Language and Literature/Letters,'23',Bachelor's degree,First major,54,17,37,52,16,36,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2000-2001,142115,Boise State University,Health Professions and Related Sciences,'51',Bachelor's degree,First major,145,38,107,123,34,89,3,0,3,4,0,4,6,1,5,1,0,1,6,2,4,2,1,1
2000-2001,142115,Boise State University,Protective Services,'43',Bachelor's degree,First major,38,17,21,29,13,16,1,0,1,2,0,2,1,0,1,1,0,1,4,4,0,0,0,0
2000-2001,142115,Boise State University,Psychology,'42',Bachelor's degree,First major,61,17,44,52,14,38,3,0,3,1,1,0,4,2,2,0,0,0,1,0,1,0,0,0
2000-2001,142115,Boise State University,Public Administration and Services,'44',Bachelor's degree,First major,34,7,27,29,6,23,0,0,0,1,0,1,2,1,1,0,0,0,2,0,2,0,0,0
2000-2001,142115,Boise State University,Biological Science/Life Sciences,'26',Bachelor's degree,First major,36,10,26,29,8,21,1,1,0,3,0,3,0,0,0,0,0,0,3,1,2,0,0,0
2000-2001,142115,Boise State University,Mathematics,'27',Bachelor's degree,First major,5,2,3,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,142115,Boise State University,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,First major,16,3,13,14,3,11,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
2000-2001,142115,Boise State University,Visual and Performing Arts,'50',Bachelor's degree,First major,62,26,36,54,23,31,0,0,0,1,1,0,4,0,4,0,0,0,3,2,1,0,0,0
2000-2001,142115,Boise State University,Area- Ethnic and Cultural Studies,'05',Bachelor's degree,First major,6,0,6,5,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,142115,Boise State University,Communications,'09',Bachelor's degree,First major,48,22,26,43,19,24,0,0,0,1,1,0,0,0,0,0,0,0,4,2,2,0,0,0
2000-2001,142115,Boise State University,Construction Trades,'46',Bachelor's degree,First major,17,16,1,17,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,142115,Boise State University,Education,'13',Bachelor's degree,First major,195,31,164,171,28,143,0,0,0,7,1,6,5,0,5,0,0,0,6,1,5,6,1,5
2000-2001,142115,Boise State University,Foreign Languages and Literatures,'16',Bachelor's degree,First major,14,6,8,14,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,142115,Boise State University,Physical Sciences,'40',Bachelor's degree,First major,21,16,5,20,16,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2000-2001,142115,Boise State University,Social Sciences and History,'45',Bachelor's degree,First major,184,86,98,162,71,91,5,4,1,6,4,2,4,3,1,1,1,0,4,2,2,2,1,1
2000-2001,142115,Boise State University,Business Management and Administrative Services,'52',Bachelor's degree,First major,268,143,125,225,116,109,8,5,3,11,8,3,10,5,5,2,1,1,8,6,2,4,2,2
2000-2001,142115,Boise State University,Engineering,'14',Bachelor's degree,First major,52,40,12,40,34,6,2,1,1,1,0,1,5,3,2,0,0,0,3,1,2,1,1,0
2000-2001,142115,Boise State University,Multi/Interdisciplinary Studies,'30',Bachelor's degree,First major,37,24,13,30,20,10,0,0,0,0,0,0,0,0,0,2,0,2,5,4,1,0,0,0
2000-2001,142115,Boise State University,Philosophy and Religion,'38',Bachelor's degree,First major,4,1,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
2000-2001,217882,Clemson University,Agricultural Business and Production,'01',Bachelor's degree,First major,48,33,15,46,32,14,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2000-2001,217882,Clemson University,Education,'13',Bachelor's degree,First major,268,58,210,250,46,204,14,11,3,1,0,1,1,0,1,0,0,0,0,0,0,2,1,1
2000-2001,217882,Clemson University,Engineering,'14',Bachelor's degree,First major,385,308,77,333,277,56,25,11,14,5,4,1,10,9,1,0,0,0,7,4,3,5,3,2
