Year,unitid,Institution_Name,Award_Level,Major,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2006-2007,100858,Auburn University,Bachelor's degree,First major,Engineering.,'14',475,416,59,408,362,46,33,25,8,4,4,0,13,9,4,1,1,0,10,10,0,6,5,1
2006-2007,100858,Auburn University,Bachelor's degree,First major,History,'54',50,35,15,45,30,15,2,2,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0
2006-2007,100858,Auburn University,Bachelor's degree,First major,Philosophy and religious studies.,'38',16,11,5,16,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-2007,100858,Auburn University,Bachelor's degree,First major,Physical sciences.,'40',28,25,3,25,23,2,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0
2006-2007,100858,Auburn University,Bachelor's degree,First major,Public administration and social service professions.,'44',48,18,30,38,17,21,8,1,7,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
2006-2007,100858,Auburn University,Bachelor's degree,First major,Visual and performing arts.,'50',151,45,106,140,40,100,3,1,2,0,0,0,3,1,2,2,1,1,3,2,1,0,0,0
2006-2007,100858,Auburn University,Bachelor's degree,First major,Biological and biomedical sciences.,'26',263,105,158,230,96,134,11,2,9,1,0,1,10,3,7,2,1,1,6,3,3,3,0,3
2006-2007,100858,Auburn University,Bachelor's degree,First major,Education.,'13',402,110,292,362,95,267,22,9,13,3,0,3,4,1,3,3,1,2,5,2,3,3,2,1
2006-2007,100858,Auburn University,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',181,17,164,162,15,147,12,2,10,4,0,4,2,0,2,0,0,0,1,0,1,0,0,0
2006-2007,100858,Auburn University,Bachelor's degree,First major,Multi/interdisciplinary studies.,'30',36,2,34,34,2,32,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
2006-2007,100858,Auburn University,Bachelor's degree,First major,Natural resources and conservation.,'03',50,44,6,47,42,5,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
2006-2007,100858,Auburn University,Bachelor's degree,First major,Agriculture- agriculture operations- and related sciences.,'01',171,107,64,160,101,59,3,2,1,1,0,1,1,1,0,4,2,2,2,1,1,0,0,0
2006-2007,100858,Auburn University,Bachelor's degree,First major,Architecture and related services.,'04',93,54,39,82,47,35,3,2,1,3,1,2,3,3,0,1,0,1,1,1,0,0,0,0
2006-2007,100858,Auburn University,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',130,44,86,117,38,79,6,2,4,1,0,1,4,3,1,1,1,0,1,0,1,0,0,0
2006-2007,100858,Auburn University,Bachelor's degree,First major,English language and literature/letters.,'23',155,38,117,146,35,111,5,3,2,0,0,0,0,0,0,1,0,1,2,0,2,1,0,1
2006-2007,100858,Auburn University,Bachelor's degree,First major,Mathematics and statistics.,'27',23,17,6,17,12,5,3,2,1,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0
2006-2007,100858,Auburn University,Bachelor's degree,First major,Psychology.,'42',126,27,99,98,23,75,20,3,17,2,0,2,1,0,1,0,0,0,4,1,3,1,0,1
2006-2007,100858,Auburn University,Bachelor's degree,First major,Social sciences.,'45',273,152,121,230,131,99,30,15,15,2,0,2,3,1,2,1,1,0,6,3,3,1,1,0
2006-2007,100858,Auburn University,Bachelor's degree,First major,Business- management- marketing- and related support services.,'52',892,543,349,826,505,321,32,15,17,10,4,6,10,7,3,2,1,1,8,8,0,4,3,1
2006-2007,100858,Auburn University,Bachelor's degree,First major,Computer and information sciences and support services.,'11',26,22,4,18,17,1,6,3,3,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
2006-2007,100858,Auburn University,Bachelor's degree,First major,Family and consumer sciences/human sciences.,'19',162,2,160,152,2,150,4,0,4,2,0,2,0,0,0,2,0,2,2,0,2,0,0,0
2006-2007,100858,Auburn University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',48,11,37,42,10,32,4,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2006-2007,142115,Boise State University,Bachelor's degree,First major,Education.,'13',238,55,183,213,52,161,2,1,1,7,1,6,1,0,1,1,0,1,12,0,12,2,1,1
2006-2007,142115,Boise State University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',22,9,13,13,6,7,0,0,0,4,1,3,0,0,0,0,0,0,5,2,3,0,0,0
2006-2007,142115,Boise State University,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',166,40,126,142,33,109,1,0,1,6,1,5,4,1,3,0,0,0,7,3,4,6,2,4
2006-2007,142115,Boise State University,Bachelor's degree,First major,Psychology.,'42',92,19,73,76,15,61,0,0,0,5,1,4,2,1,1,2,0,2,6,2,4,1,0,1
2006-2007,142115,Boise State University,Bachelor's degree,First major,Social sciences.,'45',135,56,79,108,48,60,4,2,2,8,1,7,4,1,3,0,0,0,9,2,7,2,2,0
2006-2007,142115,Boise State University,Bachelor's degree,First major,Area- ethnic- cultural- and gender studies.,'05',5,0,5,4,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2006-2007,142115,Boise State University,Bachelor's degree,First major,Business- management- marketing- and related support services.,'52',364,200,164,297,173,124,3,3,0,18,5,13,5,2,3,4,2,2,26,10,16,11,5,6
2006-2007,142115,Boise State University,Bachelor's degree,First major,Computer and information sciences and support services.,'11',66,55,11,58,50,8,0,0,0,0,0,0,2,1,1,0,0,0,3,2,1,3,2,1
2006-2007,142115,Boise State University,Bachelor's degree,First major,English language and literature/letters.,'23',80,27,53,57,21,36,0,0,0,7,1,6,2,0,2,1,0,1,12,5,7,1,0,1
2006-2007,142115,Boise State University,Bachelor's degree,First major,History,'54',36,21,15,30,16,14,0,0,0,0,0,0,0,0,0,1,1,0,5,4,1,0,0,0
2006-2007,142115,Boise State University,Bachelor's degree,First major,Mathematics and statistics.,'27',4,2,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-2007,142115,Boise State University,Bachelor's degree,First major,Visual and performing arts.,'50',75,23,52,64,19,45,0,0,0,3,1,2,1,0,1,1,0,1,4,1,3,2,2,0
2006-2007,142115,Boise State University,Bachelor's degree,First major,Biological and biomedical sciences.,'26',61,30,31,50,25,25,0,0,0,3,3,0,0,0,0,0,0,0,8,2,6,0,0,0
2006-2007,142115,Boise State University,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',121,48,73,93,40,53,6,5,1,4,1,3,2,0,2,3,0,3,11,2,9,2,0,2
2006-2007,142115,Boise State University,Bachelor's degree,First major,Engineering.,'14',87,74,13,74,65,9,0,0,0,5,5,0,2,0,2,0,0,0,4,2,2,2,2,0
2006-2007,142115,Boise State University,Bachelor's degree,First major,Natural resources and conservation.,'03',3,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-2007,142115,Boise State University,Bachelor's degree,First major,Physical sciences.,'40',20,15,5,15,11,4,0,0,0,1,1,0,0,0,0,0,0,0,3,2,1,1,1,0
2006-2007,142115,Boise State University,Bachelor's degree,First major,Public administration and social service professions.,'44',48,7,41,38,6,32,0,0,0,6,1,5,1,0,1,0,0,0,3,0,3,0,0,0
2006-2007,142115,Boise State University,Bachelor's degree,First major,Security and protective services.,'43',99,45,54,84,38,46,0,0,0,7,3,4,0,0,0,0,0,0,8,4,4,0,0,0
2006-2007,142115,Boise State University,Bachelor's degree,First major,Multi/interdisciplinary studies.,'30',71,50,21,64,46,18,0,0,0,3,1,2,1,0,1,0,0,0,3,3,0,0,0,0
2006-2007,142115,Boise State University,Bachelor's degree,First major,Parks- recreation- leisure- and fitness studies.,'31',29,11,18,21,7,14,1,1,0,1,0,1,1,1,0,0,0,0,2,2,0,3,0,3
2006-2007,142115,Boise State University,Bachelor's degree,First major,Philosophy and religious studies.,'38',7,6,1,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2006-2007,217882,Clemson University,Bachelor's degree,First major,Architecture and related services.,'04',89,59,30,67,45,22,8,4,4,3,1,2,2,1,1,0,0,0,9,8,1,0,0,0
2006-2007,217882,Clemson University,Bachelor's degree,First major,Engineering.,'14',414,344,70,327,275,52,33,21,12,2,1,1,18,15,3,0,0,0,27,26,1,7,6,1
2006-2007,217882,Clemson University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',48,13,35,37,10,27,2,0,2,1,1,0,0,0,0,0,0,0,8,2,6,0,0,0
2006-2007,217882,Clemson University,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',257,43,214,207,32,175,17,5,12,1,1,0,5,1,4,1,0,1,25,4,21,1,0,1
2006-2007,217882,Clemson University,Bachelor's degree,First major,Parks- recreation- leisure- and fitness studies.,'31',112,62,50,90,49,41,6,4,2,0,0,0,1,1,0,0,0,0,12,7,5,3,1,2
2006-2007,217882,Clemson University,Bachelor's degree,First major,Social sciences.,'45',169,90,79,142,77,65,9,2,7,3,2,1,0,0,0,0,0,0,15,9,6,0,0,0
2006-2007,217882,Clemson University,Bachelor's degree,First major,Visual and performing arts.,'50',111,42,69,97,33,64,4,3,1,0,0,0,1,0,1,0,0,0,9,6,3,0,0,0
2006-2007,217882,Clemson University,Bachelor's degree,First major,Public administration and social service professions.,'44',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-2007,217882,Clemson University,Bachelor's degree,First major,Computer and information sciences and support services.,'11',78,71,7,61,56,5,3,2,1,1,1,0,2,1,1,1,1,0,10,10,0,0,0,0
2006-2007,217882,Clemson University,Bachelor's degree,First major,Education.,'13',255,62,193,213,49,164,19,4,15,1,1,0,0,0,0,0,0,0,22,8,14,0,0,0
2006-2007,217882,Clemson University,Bachelor's degree,First major,English language and literature/letters.,'23',162,41,121,139,33,106,4,0,4,1,0,1,0,0,0,0,0,0,17,7,10,1,1,0
2006-2007,217882,Clemson University,Bachelor's degree,First major,History,'54',56,31,25,44,23,21,3,1,2,0,0,0,2,2,0,0,0,0,7,5,2,0,0,0
2006-2007,217882,Clemson University,Bachelor's degree,First major,Mathematics and statistics.,'27',20,11,9,16,8,8,1,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
2006-2007,217882,Clemson University,Bachelor's degree,First major,Natural resources and conservation.,'03',39,31,8,34,28,6,2,1,1,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0
2006-2007,217882,Clemson University,Bachelor's degree,First major,Philosophy and religious studies.,'38',14,9,5,13,8,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2006-2007,217882,Clemson University,Bachelor's degree,First major,Physical sciences.,'40',48,32,16,38,27,11,3,0,3,0,0,0,2,1,1,0,0,0,5,4,1,0,0,0
2006-2007,217882,Clemson University,Bachelor's degree,First major,Psychology.,'42',153,42,111,132,33,99,7,1,6,1,1,0,2,0,2,1,0,1,10,7,3,0,0,0
2006-2007,217882,Clemson University,Bachelor's degree,First major,Science technologies/technicians.,'41',28,18,10,24,15,9,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0
2006-2007,217882,Clemson University,Bachelor's degree,First major,Agriculture- agriculture operations- and related sciences.,'01',144,78,66,125,72,53,6,0,6,0,0,0,2,1,1,1,0,1,10,5,5,0,0,0
2006-2007,217882,Clemson University,Bachelor's degree,First major,Biological and biomedical sciences.,'26',164,88,76,129,70,59,11,2,9,2,1,1,6,5,1,2,2,0,14,8,6,0,0,0
2006-2007,217882,Clemson University,Bachelor's degree,First major,Business- management- marketing- and related support services.,'52',585,350,235,515,315,200,26,7,19,4,3,1,7,3,4,1,0,1,32,22,10,0,0,0
2006-2007,198419,Duke University,Bachelor's degree,First major,Engineering.,'14',211,163,48,118,89,29,6,4,2,11,8,3,49,39,10,0,0,0,21,18,3,6,5,1
2006-2007,198419,Duke University,Bachelor's degree,First major,English language and literature/letters.,'23',100,20,80,68,14,54,7,1,6,4,0,4,8,1,7,1,0,1,10,3,7,2,1,1
2006-2007,198419,Duke University,Bachelor's degree,First major,Psychology.,'42',172,46,126,93,31,62,35,5,30,14,2,12,15,6,9,0,0,0,11,1,10,4,1,3
2006-2007,198419,Duke University,Bachelor's degree,First major,Public administration and social service professions.,'44',151,57,94,96,39,57,16,5,11,16,6,10,10,2,8,0,0,0,11,5,6,2,0,2
2006-2007,198419,Duke University,Bachelor's degree,First major,Area- ethnic- cultural- and gender studies.,'05',32,11,21,11,3,8,8,6,2,1,0,1,5,0,5,0,0,0,3,2,1,4,0,4
2006-2007,198419,Duke University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',17,4,13,9,1,8,2,1,1,5,2,3,0,0,0,0,0,0,1,0,1,0,0,0
2006-2007,198419,Duke University,Bachelor's degree,First major,Philosophy and religious studies.,'38',40,27,13,26,18,8,2,1,1,3,1,2,2,2,0,0,0,0,7,5,2,0,0,0
2006-2007,198419,Duke University,Bachelor's degree,First major,Social sciences.,'45',396,227,169,222,137,85,34,16,18,30,15,15,71,33,38,2,0,2,30,22,8,7,4,3
2006-2007,198419,Duke University,Bachelor's degree,First major,Computer and information sciences and support services.,'11',23,20,3,14,13,1,2,1,1,1,1,0,3,2,1,0,0,0,1,1,0,2,2,0
2006-2007,198419,Duke University,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',56,6,50,44,4,40,4,1,3,4,1,3,4,0,4,0,0,0,0,0,0,0,0,0
2006-2007,198419,Duke University,Bachelor's degree,First major,Multi/interdisciplinary studies.,'30',17,6,11,11,4,7,1,1,0,1,0,1,4,1,3,0,0,0,0,0,0,0,0,0
2006-2007,198419,Duke University,Bachelor's degree,First major,Natural resources and conservation.,'03',11,5,6,5,2,3,2,1,1,0,0,0,1,0,1,0,0,0,3,2,1,0,0,0
2006-2007,198419,Duke University,Bachelor's degree,First major,Physical sciences.,'40',57,39,18,33,22,11,2,1,1,3,3,0,15,9,6,0,0,0,3,3,0,1,1,0
2006-2007,198419,Duke University,Bachelor's degree,First major,Visual and performing arts.,'50',40,8,32,31,6,25,5,1,4,1,0,1,1,0,1,0,0,0,2,1,1,0,0,0
2006-2007,198419,Duke University,Bachelor's degree,First major,Biological and biomedical sciences.,'26',174,78,96,83,36,47,14,5,9,5,2,3,56,29,27,0,0,0,10,4,6,6,2,4
2006-2007,198419,Duke University,Bachelor's degree,First major,Mathematics and statistics.,'27',33,20,13,20,10,10,1,1,0,1,1,0,5,3,2,0,0,0,2,1,1,4,4,0
2006-2007,134097,Florida State University,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',276,56,220,225,45,180,17,3,14,24,8,16,5,0,5,3,0,3,0,0,0,2,0,2
2006-2007,134097,Florida State University,Bachelor's degree,First major,Computer and information sciences and support services.,'11',166,130,36,109,84,25,21,13,8,14,13,1,10,9,1,1,1,0,2,2,0,9,8,1
2006-2007,134097,Florida State University,Bachelor's degree,First major,Education.,'13',490,116,374,410,95,315,41,13,28,27,4,23,8,2,6,1,1,0,1,0,1,2,1,1
2006-2007,134097,Florida State University,Bachelor's degree,First major,Liberal arts and sciences- general studies and humanities.,'24',52,12,40,42,9,33,4,1,3,4,1,3,1,1,0,1,0,1,0,0,0,0,0,0
2006-2007,134097,Florida State University,Bachelor's degree,First major,Public administration and social service professions.,'44',132,14,118,82,5,77,36,4,32,6,2,4,6,3,3,1,0,1,1,0,1,0,0,0
2006-2007,134097,Florida State University,Bachelor's degree,First major,Visual and performing arts.,'50',447,163,284,355,113,242,19,13,6,43,24,19,14,2,12,3,1,2,7,5,2,6,5,1
2006-2007,134097,Florida State University,Bachelor's degree,First major,Area- ethnic- cultural- and gender studies.,'05',24,11,13,17,11,6,1,0,1,4,0,4,0,0,0,0,0,0,1,0,1,1,0,1
2006-2007,134097,Florida State University,Bachelor's degree,First major,Family and consumer sciences/human sciences.,'19',693,144,549,480,98,382,113,22,91,68,12,56,21,8,13,0,0,0,7,3,4,4,1,3
2006-2007,134097,Florida State University,Bachelor's degree,First major,Parks- recreation- leisure- and fitness studies.,'31',60,16,44,52,13,39,2,0,2,5,3,2,0,0,0,0,0,0,0,0,0,1,0,1
2006-2007,134097,Florida State University,Bachelor's degree,First major,Physical sciences.,'40',103,68,35,88,59,29,6,5,1,5,2,3,0,0,0,1,1,0,0,0,0,3,1,2
2006-2007,134097,Florida State University,Bachelor's degree,First major,Security and protective services.,'43',391,193,198,280,140,140,55,22,33,42,24,18,10,4,6,1,0,1,2,2,0,1,1,0
2006-2007,134097,Florida State University,Bachelor's degree,First major,Social sciences.,'45',1211,674,537,878,516,362,130,53,77,124,73,51,27,15,12,7,3,4,16,7,9,29,7,22
2006-2007,134097,Florida State University,Bachelor's degree,First major,Biological and biomedical sciences.,'26',248,106,142,167,80,87,29,7,22,31,12,19,15,6,9,1,0,1,0,0,0,5,1,4
2006-2007,134097,Florida State University,Bachelor's degree,First major,Business- management- marketing- and related support services.,'52',1411,764,647,1009,583,426,145,53,92,162,80,82,55,27,28,4,3,1,10,5,5,26,13,13
2006-2007,134097,Florida State University,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',280,23,257,219,17,202,25,3,22,24,2,22,7,0,7,1,0,1,3,0,3,1,1,0
2006-2007,134097,Florida State University,Bachelor's degree,First major,Mathematics and statistics.,'27',17,9,8,10,5,5,1,1,0,3,2,1,1,0,1,0,0,0,0,0,0,2,1,1
2006-2007,134097,Florida State University,Bachelor's degree,First major,Engineering.,'14',230,174,56,145,111,34,23,16,7,36,30,6,8,6,2,1,1,0,2,1,1,15,9,6
2006-2007,134097,Florida State University,Bachelor's degree,First major,English language and literature/letters.,'23',356,122,234,258,95,163,44,7,37,39,15,24,8,1,7,2,1,1,4,3,1,1,0,1
2006-2007,134097,Florida State University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',68,29,39,43,19,24,5,1,4,16,7,9,2,1,1,0,0,0,1,0,1,1,1,0
2006-2007,134097,Florida State University,Bachelor's degree,First major,History,'54',100,70,30,80,56,24,7,5,2,8,7,1,3,2,1,1,0,1,1,0,1,0,0,0
2006-2007,134097,Florida State University,Bachelor's degree,First major,Philosophy and religious studies.,'38',59,34,25,48,26,22,1,1,0,6,5,1,3,1,2,1,1,0,0,0,0,0,0,0
2006-2007,134097,Florida State University,Bachelor's degree,First major,Psychology.,'42',375,96,279,260,69,191,52,9,43,42,12,30,12,3,9,1,0,1,4,2,2,4,1,3
2006-2007,131496,Georgetown University,Bachelor's degree,First major,Biological and biomedical sciences.,'26',65,24,41,38,15,23,0,0,0,2,2,0,13,5,8,0,0,0,5,1,4,7,1,6
2006-2007,131496,Georgetown University,Bachelor's degree,First major,English language and literature/letters.,'23',123,34,89,87,23,64,11,1,10,5,3,2,7,3,4,0,0,0,11,4,7,2,0,2
2006-2007,131496,Georgetown University,Bachelor's degree,First major,History,'54',50,29,21,43,26,17,2,1,1,2,2,0,2,0,2,0,0,0,0,0,0,1,0,1
2006-2007,131496,Georgetown University,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',124,11,113,89,6,83,10,2,8,3,0,3,11,1,10,0,0,0,7,1,6,4,1,3
2006-2007,131496,Georgetown University,Bachelor's degree,First major,Mathematics and statistics.,'27',25,14,11,17,10,7,2,1,1,3,1,2,1,1,0,0,0,0,0,0,0,2,1,1
2006-2007,131496,Georgetown University,Bachelor's degree,First major,Psychology.,'42',75,16,59,45,14,31,8,1,7,5,0,5,5,0,5,0,0,0,7,1,6,5,0,5
2006-2007,131496,Georgetown University,Bachelor's degree,First major,Visual and performing arts.,'50',22,4,18,14,4,10,2,0,2,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0
2006-2007,131496,Georgetown University,Bachelor's degree,First major,Computer and information sciences and support services.,'11',5,5,0,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
2006-2007,131496,Georgetown University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',136,36,100,95,26,69,9,2,7,5,2,3,10,2,8,0,0,0,11,2,9,6,2,4
2006-2007,131496,Georgetown University,Bachelor's degree,First major,Liberal arts and sciences- general studies and humanities.,'24',17,0,17,7,0,7,5,0,5,1,0,1,0,0,0,0,0,0,3,0,3,1,0,1
2006-2007,131496,Georgetown University,Bachelor's degree,First major,Philosophy and religious studies.,'38',30,25,5,20,17,3,2,2,0,2,2,0,1,0,1,0,0,0,4,3,1,1,1,0
2006-2007,131496,Georgetown University,Bachelor's degree,First major,Social sciences.,'45',570,276,294,362,204,158,34,12,22,28,9,19,53,17,36,0,0,0,36,14,22,57,20,37
