Year,unitid,Institution_Name,Major,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.AI,T.AI.M,T.AI.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.C,T.C.M,T.C.F,T.AS,T.AS.M,T.AS.W,T.PI,T.PI.M,T.PI.W,T.MIX,T.MIX.M,T.MIX.W,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2009-2010,100858,Auburn University,First major,Agriculture- Agriculture Operations and Related Sciences,'01',Bachelor's degree,161,108,53,0,0,0,1,1,0,1,1,0,1,0,1,157,106,51,,,,,,,,,,0,0,0,1,0,1
2009-2010,100858,Auburn University,First major,Biological and Biomedical Sciences,'26',Bachelor's degree,274,118,156,1,1,0,12,6,6,18,0,18,3,2,1,237,107,130,,,,,,,,,,2,2,0,1,0,1
2009-2010,100858,Auburn University,First major,Communication- Journalism- and Related Programs,'09',Bachelor's degree,251,55,196,1,0,1,3,1,2,12,4,8,2,0,2,232,50,182,,,,,,,,,,1,0,1,0,0,0
2009-2010,100858,Auburn University,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,20,16,4,1,0,1,0,0,0,3,3,0,0,0,0,15,12,3,,,,,,,,,,1,1,0,0,0,0
2009-2010,100858,Auburn University,First major,History,'54',Bachelor's degree,61,45,16,0,0,0,0,0,0,0,0,0,2,2,0,57,41,16,,,,,,,,,,2,2,0,0,0,0
2009-2010,100858,Auburn University,First major,Natural Resources and Conservation,'03',Bachelor's degree,54,44,10,0,0,0,0,0,0,0,0,0,0,0,0,54,44,10,,,,,,,,,,0,0,0,0,0,0
2009-2010,100858,Auburn University,First major,Engineering,'14',Bachelor's degree,549,486,63,1,1,0,10,7,3,32,27,5,9,6,3,488,437,51,,,,,,,,,,5,4,1,4,4,0
2009-2010,100858,Auburn University,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,57,19,38,0,0,0,0,0,0,5,1,4,7,2,5,42,16,26,,,,,,,,,,2,0,2,1,0,1
2009-2010,100858,Auburn University,First major,Visual and Performing Arts,'50',Bachelor's degree,181,59,122,0,0,0,2,1,1,12,4,8,3,0,3,160,52,108,,,,,,,,,,2,0,2,2,2,0
2009-2010,100858,Auburn University,First major,Family and Consumer Sciences/Human Sciences,'19',Bachelor's degree,158,2,156,0,0,0,1,0,1,7,1,6,2,0,2,147,0,147,,,,,,,,,,0,0,0,1,1,0
2009-2010,100858,Auburn University,First major,Health Professions and Related Programs,'51',Bachelor's degree,186,27,159,1,0,1,1,1,0,15,5,10,2,1,1,164,20,144,,,,,,,,,,2,0,2,1,0,1
2009-2010,100858,Auburn University,First major,Mathematics and Statistics,'27',Bachelor's degree,28,9,19,0,0,0,1,0,1,4,0,4,0,0,0,23,9,14,,,,,,,,,,0,0,0,0,0,0
2009-2010,100858,Auburn University,First major,Psychology,'42',Bachelor's degree,131,37,94,2,0,2,1,0,1,12,4,8,4,1,3,112,32,80,,,,,,,,,,0,0,0,0,0,0
2009-2010,100858,Auburn University,First major,Architecture and Related Services,'04',Bachelor's degree,75,37,38,0,0,0,3,2,1,4,3,1,0,0,0,68,32,36,,,,,,,,,,0,0,0,0,0,0
2009-2010,100858,Auburn University,First major,Business- Management- Marketing- and Related Support Services,'52',Bachelor's degree,1017,605,412,4,3,1,14,10,4,45,12,33,15,7,8,913,558,355,,,,,,,,,,15,10,5,11,5,6
2009-2010,100858,Auburn University,First major,Education,'13',Bachelor's degree,382,83,299,3,2,1,1,0,1,19,3,16,7,2,5,349,75,274,,,,,,,,,,3,1,2,0,0,0
2009-2010,100858,Auburn University,First major,English Language and Literature/Letters,'23',Bachelor's degree,75,21,54,2,1,1,2,0,2,2,0,2,0,0,0,67,19,48,,,,,,,,,,2,1,1,0,0,0
2009-2010,100858,Auburn University,First major,Multi/Interdisciplinary Studies,'30',Bachelor's degree,37,2,35,0,0,0,0,0,0,1,0,1,1,1,0,35,1,34,,,,,,,,,,0,0,0,0,0,0
2009-2010,100858,Auburn University,First major,Philosophy and Religious Studies,'38',Bachelor's degree,10,4,6,0,0,0,0,0,0,0,0,0,1,1,0,9,3,6,,,,,,,,,,0,0,0,0,0,0
2009-2010,100858,Auburn University,First major,Physical Sciences,'40',Bachelor's degree,29,22,7,0,0,0,1,0,1,0,0,0,0,0,0,28,22,6,,,,,,,,,,0,0,0,0,0,0
2009-2010,100858,Auburn University,First major,Public Administration and Social Service Professions,'44',Bachelor's degree,90,50,40,2,0,2,0,0,0,22,12,10,3,2,1,62,35,27,,,,,,,,,,1,1,0,0,0,0
2009-2010,100858,Auburn University,First major,Social Sciences,'45',Bachelor's degree,215,117,98,1,1,0,4,2,2,28,9,19,8,4,4,172,100,72,,,,,,,,,,2,1,1,0,0,0
2009-2010,142115,Boise State University,First major,Area- Ethnic- Cultural- Gender- and Group Studies,'05',Bachelor's degree,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2009-2010,142115,Boise State University,First major,Biological and Biomedical Sciences,'26',Bachelor's degree,59,31,28,0,0,0,1,0,1,0,0,0,3,0,3,51,30,21,1,0,1,0,0,0,0,0,0,2,0,2,2,1,1
2009-2010,142115,Boise State University,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,42,34,8,0,0,0,0,0,0,2,2,0,0,0,0,34,28,6,0,0,0,0,0,0,1,1,0,4,3,1,1,0,1
2009-2010,142115,Boise State University,First major,Engineering,'14',Bachelor's degree,94,77,17,1,1,0,5,3,2,1,1,0,6,5,1,75,63,12,5,3,2,0,0,0,0,0,0,2,2,0,4,2,2
2009-2010,142115,Boise State University,First major,English Language and Literature/Letters,'23',Bachelor's degree,68,24,44,0,0,0,0,0,0,0,0,0,4,0,4,59,21,38,0,0,0,0,0,0,1,0,1,3,2,1,1,1,0
2009-2010,142115,Boise State University,First major,Multi/Interdisciplinary Studies,'30',Bachelor's degree,66,45,21,0,0,0,3,2,1,0,0,0,2,0,2,52,35,17,3,2,1,0,0,0,1,1,0,7,6,1,1,1,0
2009-2010,142115,Boise State University,First major,Natural Resources and Conservation,'03',Bachelor's degree,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
2009-2010,142115,Boise State University,First major,Philosophy and Religious Studies,'38',Bachelor's degree,19,18,1,0,0,0,0,0,0,1,1,0,0,0,0,16,15,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
2009-2010,142115,Boise State University,First major,Physical Sciences,'40',Bachelor's degree,23,16,7,0,0,0,1,1,0,0,0,0,0,0,0,21,14,7,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2009-2010,142115,Boise State University,First major,Visual and Performing Arts,'50',Bachelor's degree,88,25,63,1,1,0,5,2,3,0,0,0,3,2,1,73,20,53,5,2,3,0,0,0,1,0,1,3,0,3,2,0,2
2009-2010,142115,Boise State University,First major,Foreign Languages- Literatures- and Linguistics,'16',Bachelor's degree,31,13,18,1,1,0,0,0,0,1,0,1,8,1,7,21,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,142115,Boise State University,First major,History,'54',Bachelor's degree,34,19,15,1,1,0,1,0,1,0,0,0,2,1,1,29,16,13,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
2009-2010,142115,Boise State University,First major,Liberal Arts and Sciences- General Studies and Humanities,'24',Bachelor's degree,24,10,14,1,0,1,0,0,0,0,0,0,2,0,2,21,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,142115,Boise State University,First major,Psychology,'42',Bachelor's degree,100,31,69,0,0,0,6,2,4,1,0,1,3,0,3,83,27,56,6,2,4,0,0,0,1,0,1,6,2,4,0,0,0
2009-2010,142115,Boise State University,First major,Social Sciences,'45',Bachelor's degree,147,73,74,1,1,0,3,2,1,2,1,1,8,5,3,126,60,66,3,2,1,0,0,0,0,0,0,6,3,3,1,1,0
2009-2010,142115,Boise State University,First major,Business- Management- Marketing- and Related Support Services,'52',Bachelor's degree,465,287,178,3,3,0,18,11,7,5,3,2,27,16,11,376,232,144,18,11,7,0,0,0,1,1,0,19,14,5,16,7,9
2009-2010,142115,Boise State University,First major,Education,'13',Bachelor's degree,223,54,169,1,0,1,4,0,4,0,0,0,9,1,8,199,51,148,4,0,4,0,0,0,0,0,0,10,2,8,0,0,0
2009-2010,142115,Boise State University,First major,Homeland Security- Law Enforcement- Firefighting- and Related Protective Service,'43',Bachelor's degree,81,27,54,1,1,0,2,0,2,0,0,0,8,0,8,66,25,41,2,0,2,0,0,0,0,0,0,2,0,2,2,1,1
2009-2010,142115,Boise State University,First major,Mathematics and Statistics,'27',Bachelor's degree,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-2010,142115,Boise State University,First major,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,32,7,25,0,0,0,1,0,1,0,0,0,3,2,1,27,5,22,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
