Year,unitid,Institution_Name,Sport,Cohort_Data,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
1996-1997,100858,Auburn University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),25,9,16,24,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1996-1997,100858,Auburn University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),17,5,12,16,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1996-1997,100858,Auburn University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,17,5,12,16,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1996-1997,100858,Auburn University,All other sports,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,100858,Auburn University,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,100858,Auburn University,Baseball,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,100858,Auburn University,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,100858,Auburn University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,2,4,1,0,1,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,100858,Auburn University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,100858,Auburn University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,100858,Auburn University,Basketball,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,100858,Auburn University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,100858,Auburn University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,100858,Auburn University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,100858,Auburn University,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),20,20,0,5,5,0,14,14,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1996-1997,100858,Auburn University,Football,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),8,8,0,5,5,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1996-1997,100858,Auburn University,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,8,8,0,5,5,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1996-1997,100858,Auburn University,Football,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,142115,Boise State University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),10,4,6,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1996-1997,142115,Boise State University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),6,1,5,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,142115,Boise State University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,6,1,5,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,142115,Boise State University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,1,4,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1996-1997,142115,Boise State University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),4,1,3,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,142115,Boise State University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,1,3,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,142115,Boise State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),10,3,7,6,2,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1996-1997,142115,Boise State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),4,0,4,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,142115,Boise State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,0,4,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,142115,Boise State University,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),21,21,0,16,16,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,142115,Boise State University,Football,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),3,3,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,142115,Boise State University,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,3,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,217882,Clemson University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),39,21,18,33,16,17,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,3,2,1
1996-1997,217882,Clemson University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),18,8,10,16,7,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1996-1997,217882,Clemson University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,18,8,10,16,7,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1996-1997,217882,Clemson University,All other sports,Degree/certificate-seeking students (4-yr institution) Transfer-out students,6,4,2,5,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,217882,Clemson University,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,217882,Clemson University,Baseball,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,217882,Clemson University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,4,2,2,1,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,217882,Clemson University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,217882,Clemson University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,217882,Clemson University,Basketball,Degree/certificate-seeking students (4-yr institution) Transfer-out students,3,2,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,217882,Clemson University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),8,4,4,5,3,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,217882,Clemson University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),5,3,2,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,217882,Clemson University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,3,2,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,217882,Clemson University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,217882,Clemson University,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),19,19,0,6,6,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,217882,Clemson University,Football,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),13,13,0,4,4,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,217882,Clemson University,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,13,13,0,4,4,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,217882,Clemson University,Football,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
