"","Year","Sport","ID_School","Males","Females","White.Males","White.Females","Black.Males","Black.Females","Hispanic.Males","Hispanic.Females"
"1","1996-1997","All other sports combined","AUB",40,90,28,81,1,4,0,1
"2","1996-1997","Baseball","AUB",20,0,20,0,0,0,0,0
"3","1996-1997","Basketball","AUB",13,12,2,3,10,7,0,0
"4","1996-1997","Cross-country and/or track","AUB",17,18,9,8,5,5,0,2
"5","1996-1997","Football","AUB",87,0,22,0,65,0,0,0
"6","1996-1997","All other sports combined","BAMA",30,88,20,72,0,2,1,3
"7","1996-1997","Baseball","BAMA",26,0,23,0,1,0,2,0
"8","1996-1997","Basketball","BAMA",13,15,3,5,10,9,0,0
"9","1996-1997","Cross-country and/or track","BAMA",18,19,11,7,3,6,0,0
"10","1996-1997","Football","BAMA",83,0,31,0,51,0,0,0
"11","1996-1997","All other sports combined","BOS.ST",4,6,3,6,0,0,0,0
"12","1996-1997","Basketball","BOS.ST",1,4,1,3,0,0,0,0
"13","1996-1997","Cross-country and/or track","BOS.ST",3,7,2,4,0,3,0,0
"14","1996-1997","Football","BOS.ST",21,0,16,0,5,0,0,0
"15","1996-1997","All other sports combined","CLEM",58,74,48,64,2,0,0,1
"16","1996-1997","Baseball","CLEM",41,0,38,0,3,0,0,0
"17","1996-1997","Basketball","CLEM",13,14,2,6,8,6,0,0
"18","1996-1997","Cross-country and/or track","CLEM",26,25,12,8,11,10,0,0
"19","1996-1997","Football","CLEM",77,0,28,0,49,0,0,0
"20","1996-1997","All other sports combined","DUKE",52,65,46,60,1,0,0,2
"21","1996-1997","Baseball","DUKE",17,0,16,0,0,0,0,0
"22","1996-1997","Basketball","DUKE",11,15,3,7,7,7,0,0
"23","1996-1997","Football","DUKE",83,0,46,0,34,0,1,0
"24","1996-1997","All other sports combined","FLA",32,94,24,81,2,3,1,3
"25","1996-1997","Baseball","FLA",36,0,27,0,1,0,7,0
"26","1996-1997","Basketball","FLA",11,11,5,2,6,8,0,0
"27","1996-1997","Cross-country and/or track","FLA",32,23,20,12,8,9,3,0
"28","1996-1997","Football","FLA",76,0,18,0,56,0,0,0
"29","1996-1997","All other sports combined","FSU",33,76,23,59,1,4,1,4
"30","1996-1997","Baseball","FSU",29,0,23,0,2,0,4,0
"31","1996-1997","Basketball","FSU",9,14,2,7,7,7,0,0
"32","1996-1997","Cross-country and/or track","FSU",21,22,10,12,9,9,0,0
"33","1996-1997","Football","FSU",81,0,22,0,59,0,0,0
"34","1996-1997","All other sports combined","GTOWN",48,20,48,20,0,0,0,0
"35","1996-1997","Basketball","GTOWN",13,13,0,5,9,8,0,0
"36","1996-1997","Cross-country and/or track","GTOWN",18,23,14,11,4,9,0,0
"37","1996-1997","All other sports combined","KAN.ST",10,30,10,26,0,1,0,1
"38","1996-1997","Baseball","KAN.ST",26,0,26,0,0,0,0,0
"39","1996-1997","Basketball","KAN.ST",13,10,5,10,8,0,0,0
"40","1996-1997","Cross-country and/or track","KAN.ST",24,26,19,21,4,5,1,0
"41","1996-1997","Football","KAN.ST",79,0,35,0,42,0,1,0
"42","1996-1997","All other sports combined","LOUIS",9,20,7,19,0,0,0,0
"43","1996-1997","Baseball","LOUIS",11,0,11,0,0,0,0,0
"44","1996-1997","Basketball","LOUIS",4,7,1,7,3,0,0,0
"45","1996-1997","Cross-country and/or track","LOUIS",7,3,7,2,0,1,0,0
"46","1996-1997","Football","LOUIS",23,0,6,0,17,0,0,0
"47","1996-1997","All other sports combined","LSU",39,96,25,69,1,4,0,4
"48","1996-1997","Baseball","LSU",27,0,24,0,1,0,1,0
"49","1996-1997","Basketball","LSU",14,14,2,2,10,8,0,0
"50","1996-1997","Cross-country and/or track","LSU",18,20,7,2,5,12,1,1
"51","1996-1997","Football","LSU",83,0,29,0,54,0,0,0
"52","1996-1997","All other sports combined","ND",70,88,56,82,1,1,2,2
"53","1996-1997","Baseball","ND",27,0,23,0,3,0,0,0
"54","1996-1997","Basketball","ND",13,12,9,8,4,4,0,0
"55","1996-1997","Cross-country and/or track","ND",18,17,13,12,3,3,1,0
"56","1996-1997","Football","ND",81,0,33,0,46,0,0,0
"57","1996-1997","All other sports combined","NEB",83,111,75,100,2,2,4,0
"58","1996-1997","Baseball","NEB",32,0,25,0,3,0,4,0
"59","1996-1997","Basketball","NEB",13,16,5,12,7,3,0,0
"60","1996-1997","Cross-country and/or track","NEB",33,35,19,26,14,9,0,0
"61","1996-1997","Football","NEB",102,0,52,0,46,0,3,0
"62","1996-1997","All other sports combined","NWST",39,100,34,92,1,5,0,0
"63","1996-1997","Baseball","NWST",25,0,24,0,0,0,0,0
"64","1996-1997","Basketball","NWST",11,14,6,12,5,2,0,0
"65","1996-1997","Football","NWST",89,0,51,0,38,0,0,0
"66","1996-1997","All other sports combined","OK",103,70,69,51,11,6,5,2
"67","1996-1997","Baseball","OK",15,0,12,0,1,0,2,0
"68","1996-1997","Basketball","OK",7,12,3,7,3,5,0,0
"69","1996-1997","Cross-country and/or track","OK",13,23,2,13,5,5,0,0
"70","1996-1997","Football","OK",74,0,24,0,50,0,0,0
"71","1996-1997","All other sports combined","OKSTATE",35,46,21,29,1,2,1,2
"72","1996-1997","Baseball","OKSTATE",29,0,23,0,0,0,3,0
"73","1996-1997","Basketball","OKSTATE",12,17,5,9,7,5,0,1
"74","1996-1997","Cross-country and/or track","OKSTATE",17,18,4,4,2,5,1,1
"75","1996-1997","Football","OKSTATE",79,0,23,0,50,0,2,0
"76","1996-1997","All other sports combined","ORE",37,53,29,40,0,0,0,3
"77","1996-1997","Basketball","ORE",13,15,2,9,8,0,0,1
"78","1996-1997","Cross-country and/or track","ORE",24,30,17,24,3,3,0,1
"79","1996-1997","Football","ORE",80,0,40,0,32,0,1,0
"80","1996-1997","All other sports combined","ORE.ST",58,95,48,77,0,1,3,6
"81","1996-1997","Baseball","ORE.ST",40,0,35,0,1,0,2,0
"82","1996-1997","Basketball","ORE.ST",15,18,7,10,7,3,0,0
"83","1996-1997","Football","ORE.ST",87,0,33,0,45,0,3,0
"84","1996-1997","All other sports combined","OSU",128,146,90,116,4,2,7,2
"85","1996-1997","Baseball","OSU",26,0,26,0,0,0,0,0
"86","1996-1997","Basketball","OSU",10,16,2,6,8,9,0,0
"87","1996-1997","Cross-country and/or track","OSU",14,14,3,2,7,11,1,0
"88","1996-1997","Football","OSU",89,0,40,0,44,0,1,0
"89","1996-1997","All other sports combined","RUT",82,139,74,129,3,8,0,1
"90","1996-1997","Baseball","RUT",26,0,24,0,0,0,2,0
"91","1996-1997","Basketball","RUT",13,13,5,7,8,6,0,0
"92","1996-1997","Cross-country and/or track","RUT",24,31,15,18,6,11,2,0
"93","1996-1997","Football","RUT",74,0,31,0,40,0,3,0
"94","1996-1997","All other sports combined","SCAR",51,75,34,60,0,1,3,0
"95","1996-1997","Baseball","SCAR",29,0,28,0,1,0,0,0
"96","1996-1997","Basketball","SCAR",14,12,3,5,10,7,0,0
"97","1996-1997","Cross-country and/or track","SCAR",17,22,9,9,3,10,0,0
"98","1996-1997","Football","SCAR",83,0,21,0,61,0,1,0
"99","1996-1997","All other sports combined","SJ.ST",32,94,16,62,7,3,4,9
"100","1996-1997","Baseball","SJ.ST",31,0,26,0,1,0,3,0
"101","1996-1997","Basketball","SJ.ST",15,16,6,7,8,6,0,2
"102","1996-1997","Cross-country and/or track","SJ.ST",8,19,6,13,1,0,0,2
"103","1996-1997","Football","SJ.ST",55,0,29,0,16,0,5,0
"104","1996-1997","All other sports combined","SMU",44,49,33,45,0,0,2,0
"105","1996-1997","Basketball","SMU",13,15,4,11,8,4,0,0
"106","1996-1997","Cross-country and/or track","SMU",11,14,1,4,1,1,0,1
"107","1996-1997","Football","SMU",84,0,36,0,44,0,4,0
"108","1996-1997","All other sports combined","STAN",75,110,57,87,2,1,7,5
"109","1996-1997","Baseball","STAN",21,0,19,0,1,0,1,0
"110","1996-1997","Basketball","STAN",13,15,6,8,5,5,1,1
"111","1996-1997","Cross-country and/or track","STAN",16,24,13,17,2,5,0,0
"112","1996-1997","Football","STAN",75,0,39,0,33,0,1,0
"113","1996-1997","All other sports combined","TAM",36,92,28,78,0,1,1,4
"114","1996-1997","Baseball","TAM",40,0,39,0,1,0,0,0
"115","1996-1997","Basketball","TAM",13,18,4,12,8,6,0,0
"116","1996-1997","Cross-country and/or track","TAM",38,30,21,17,14,10,0,1
"117","1996-1997","Football","TAM",77,0,29,0,46,0,0,0
"118","1996-1997","All other sports combined","UGA",37,97,28,84,2,2,0,0
"119","1996-1997","Baseball","UGA",36,0,33,0,1,0,2,0
"120","1996-1997","Basketball","UGA",14,14,3,2,11,10,0,0
"121","1996-1997","Cross-country and/or track","UGA",16,22,4,6,10,9,0,0
"122","1996-1997","Football","UGA",86,0,26,0,60,0,0,0
"123","1996-1997","All other sports combined","UM",66,132,54,116,2,5,1,3
"124","1996-1997","Baseball","UM",19,0,18,0,0,0,1,0
"125","1996-1997","Basketball","UM",12,16,3,7,9,7,0,2
"126","1996-1997","Cross-country and/or track","UM",24,27,13,13,7,11,0,0
"127","1996-1997","Football","UM",88,0,45,0,43,0,0,0
"128","1996-1997","All other sports combined","UNC",108,128,97,122,5,2,3,1
"129","1996-1997","Baseball","UNC",33,0,28,0,5,0,0,0
"130","1996-1997","Basketball","UNC",13,14,4,3,4,10,1,0
"131","1996-1997","Cross-country and/or track","UNC",20,25,8,12,9,13,1,0
"132","1996-1997","Football","UNC",88,0,28,0,59,0,0,0
"133","1996-1997","All other sports combined","UOFM",16,43,6,27,0,3,3,1
