"","Year","Sport","ID_School","White.Males","White.Females","Black.Males","Black.Females","Hispanic.Males","Hispanic.Females","Other.Males","Other.Females"
"1","1996-1997","Basketball","AUB",2,3,10,7,0,0,1,2
"2","1996-1997","Basketball","BAMA",3,5,10,9,0,0,0,1
"3","1996-1997","Basketball","BOS.ST",1,3,0,0,0,0,0,1
"4","1996-1997","Basketball","CLEM",2,6,8,6,0,0,3,2
"5","1996-1997","Basketball","DUKE",3,7,7,7,0,0,1,1
"6","1996-1997","Basketball","FLA",5,2,6,8,0,0,0,1
"7","1996-1997","Basketball","FSU",2,7,7,7,0,0,0,0
"8","1996-1997","Basketball","GTOWN",0,5,9,8,0,0,4,0
"9","1996-1997","Basketball","KAN.ST",5,10,8,0,0,0,0,0
"10","1996-1997","Basketball","LOUIS",1,7,3,0,0,0,0,0
"11","1996-1997","Basketball","LSU",2,2,10,8,0,0,2,4
"12","1996-1997","Basketball","ND",9,8,4,4,0,0,0,0
"13","1996-1997","Basketball","NEB",5,12,7,3,0,0,1,1
"14","1996-1997","Basketball","NWST",6,12,5,2,0,0,0,0
"15","1996-1997","Basketball","OK",3,7,3,5,0,0,1,0
"16","1996-1997","Basketball","OKSTATE",5,9,7,5,0,1,0,2
"17","1996-1997","Basketball","ORE",2,9,8,0,0,1,3,5
"18","1996-1997","Basketball","ORE.ST",7,10,7,3,0,0,1,5
"19","1996-1997","Basketball","OSU",2,6,8,9,0,0,0,1
"20","1996-1997","Basketball","RUT",5,7,8,6,0,0,0,0
"21","1996-1997","Basketball","SCAR",3,5,10,7,0,0,1,0
"22","1996-1997","Basketball","SJ.ST",6,7,8,6,0,2,1,1
"23","1996-1997","Basketball","SMU",4,11,8,4,0,0,1,0
"24","1996-1997","Basketball","STAN",6,8,5,5,1,1,1,1
"25","1996-1997","Basketball","TAM",4,12,8,6,0,0,1,0
"26","1996-1997","Basketball","UGA",3,2,11,10,0,0,0,2
"27","1996-1997","Basketball","UM",3,7,9,7,0,2,0,0
"28","1996-1997","Basketball","UNC",4,3,4,10,1,0,4,1
"29","1996-1997","Basketball","UOFM",1,6,10,7,0,0,2,0
"30","1996-1997","Basketball","USC",0,4,10,9,2,0,0,1
"31","1996-1997","Basketball","UT",1,6,12,9,0,0,0,0
"32","1996-1997","Basketball","UTA.ST",5,0,8,0,0,0,0,0
"33","1996-1997","Basketball","VANDY",6,6,5,6,0,0,0,1
"34","1997-1998","Basketball","AUB",2,5,7,5,0,0,1,2
"35","1997-1998","Basketball","BAMA",1,5,12,8,0,0,0,0
"36","1997-1998","Basketball","BOS.ST",6,8,7,4,0,1,1,0
"37","1997-1998","Basketball","CLEM",3,3,7,7,0,0,3,3
"38","1997-1998","Basketball","DUKE",4,7,6,5,0,0,2,2
"39","1997-1998","Basketball","FLA",5,3,7,9,0,0,0,1
"40","1997-1998","Basketball","FSU",1,7,8,6,0,0,0,0
"41","1997-1998","Basketball","GTOWN",0,6,9,7,0,0,3,1
"42","1997-1998","Basketball","KAN.ST",5,11,7,3,1,0,0,0
"43","1997-1998","Basketball","LOUIS",3,7,9,5,0,0,0,0
"44","1997-1998","Basketball","LSU",1,3,11,9,0,0,0,2
"45","1997-1998","Basketball","ND",9,8,3,4,0,0,1,0
"46","1997-1998","Basketball","NEB",6,13,6,4,0,0,1,0
"47","1997-1998","Basketball","NWST",5,12,3,2,0,1,4,0
"48","1997-1998","Basketball","OK",2,3,2,3,0,0,1,0
"49","1997-1998","Basketball","OKSTATE",7,6,5,6,0,1,0,1
"50","1997-1998","Basketball","ORE",2,10,7,0,0,1,2,5
"51","1997-1998","Basketball","ORE.ST",3,8,8,4,0,0,2,3
"52","1997-1998","Basketball","OSU",3,7,11,4,0,0,0,1
"53","1997-1998","Basketball","RUT",3,3,6,8,1,0,2,3
"54","1997-1998","Basketball","SCAR",3,4,9,6,0,0,1,0
"55","1997-1998","Basketball","SJ.ST",4,6,8,5,0,1,0,2
"56","1997-1998","Basketball","SMU",6,10,8,4,0,0,0,0
"57","1997-1998","Basketball","STAN",4,7,7,6,1,1,1,1
"58","1997-1998","Basketball","TAM",3,9,8,6,0,0,2,0
"59","1997-1998","Basketball","UGA",3,3,9,6,0,0,0,2
"60","1997-1998","Basketball","UM",4,5,6,5,0,1,1,1
"61","1997-1998","Basketball","UNC",3,4,5,10,2,0,2,0
"62","1997-1998","Basketball","UOFM",0,3,11,6,0,0,1,2
"63","1997-1998","Basketball","USC",2,3,11,5,1,0,1,3
"64","1997-1998","Basketball","UT",3,8,9,9,0,0,2,0
"65","1997-1998","Basketball","UTA.ST",5,0,8,0,0,0,0,0
"66","1997-1998","Basketball","VANDY",7,7,5,7,0,0,1,0
"67","1998-1999","Basketball","AUB",2,3,8,11,0,0,1,1
"68","1998-1999","Basketball","BAMA",3,3,10,10,0,0,0,1
"69","1998-1999","Basketball","BOS.ST",1,1,2,2,0,0,0,0
"70","1998-1999","Basketball","CLEM",2,3,8,10,0,0,3,2
"71","1998-1999","Basketball","DUKE",4,8,6,4,0,0,1,2
"72","1998-1999","Basketball","FLA",5,2,7,9,0,0,0,1
"73","1998-1999","Basketball","FSU",1,9,5,5,0,0,0,0
"74","1998-1999","Basketball","GTOWN",0,6,8,6,0,0,3,1
"75","1998-1999","Basketball","KAN.ST",6,10,9,4,0,0,0,0
