"","ID_School","Year","White.Males","White.Females","Black.Males","Black.Females","Hispanic.Males","Hispanic.Females","Other.Males","Other.Females"
"1","AUB","1996-1997",81,92,81,16,0,3,15,9
"2","BAMA","1996-1997",88,84,65,17,3,3,14,18
"3","BOS.ST","1996-1997",22,13,5,3,0,0,2,1
"4","CLEM","1996-1997",128,78,73,16,0,1,14,18
"5","DUKE","1996-1997",111,67,42,7,1,2,9,4
"6","FLA","1996-1997",94,95,73,20,11,3,9,10
"7","FSU","1996-1997",80,78,78,20,5,4,10,10
"8","GTOWN","1996-1997",62,36,13,17,0,0,4,3
"9","KAN.ST","1996-1997",95,57,54,6,2,1,1,2
"10","LOUIS","1996-1997",32,28,20,1,0,0,2,1
"11","LSU","1996-1997",87,73,71,24,2,5,21,28
"12","ND","1996-1997",134,102,57,8,3,2,15,5
"13","NEB","1996-1997",176,138,72,14,11,0,4,10
"14","NWST","1996-1997",115,104,44,7,0,0,5,3
"15","OK","1996-1997",110,71,70,16,7,2,25,16
"16","OKSTATE","1996-1997",76,42,60,12,7,4,29,23
"17","ORE","1996-1997",88,73,43,3,1,5,22,17
"18","ORE.ST","1996-1997",123,87,53,4,8,6,16,16
"19","OSU","1996-1997",161,124,63,22,9,2,34,28
"20","RUT","1996-1997",149,154,57,25,7,1,6,3
"21","SCAR","1996-1997",95,74,75,18,4,0,20,17
"22","SJ.ST","1996-1997",83,82,33,9,12,13,13,25
"23","SMU","1996-1997",74,60,53,5,6,1,19,12
"24","STAN","1996-1997",134,112,43,11,10,6,13,20
"25","TAM","1996-1997",121,107,69,17,1,5,13,11
"26","UGA","1996-1997",94,92,84,21,2,0,9,20
"27","UM","1996-1997",133,136,61,23,2,5,13,11
"28","UNC","1996-1997",165,137,82,25,5,1,10,4
"29","UOFM","1996-1997",39,34,73,22,10,3,10,15
"30","USC","1996-1997",70,46,56,16,9,5,21,21
"31","UT","1996-1997",133,83,67,28,9,7,6,13
"32","UTA.ST","1996-1997",80,85,42,0,1,2,8,3
"33","VANDY","1996-1997",77,58,61,11,3,1,6,15
"34","AUB","1997-1998",89,92,75,16,1,3,16,9
"35","BAMA","1997-1998",87,84,72,21,4,5,14,12
"36","BOS.ST","1997-1998",93,62,38,6,6,2,16,12
"37","CLEM","1997-1998",128,81,66,17,1,1,14,18
"38","DUKE","1997-1998",115,75,40,8,1,0,8,4
"39","FLA","1997-1998",101,100,81,25,9,4,11,10
"40","FSU","1997-1998",74,74,73,20,3,6,15,15
"41","GTOWN","1997-1998",59,55,17,14,1,2,4,3
"42","KAN.ST","1997-1998",106,84,60,12,5,2,2,2
"43","LOUIS","1997-1998",100,74,66,11,3,0,7,7
"44","LSU","1997-1998",76,70,77,24,1,2,20,19
"45","ND","1997-1998",130,106,58,6,3,3,15,5
"46","NEB","1997-1998",151,123,53,12,7,0,37,32
"47","NWST","1997-1998",118,100,42,6,0,2,15,7
"48","OK","1997-1998",113,77,71,18,6,5,24,19
"49","OKSTATE","1997-1998",86,48,51,16,4,5,17,17
"50","ORE","1997-1998",96,77,40,5,2,3,24,19
"51","ORE.ST","1997-1998",108,71,45,5,8,5,20,17
"52","OSU","1997-1998",149,147,66,18,8,6,31,32
"53","RUT","1997-1998",162,156,66,29,8,6,25,17
"54","SCAR","1997-1998",96,68,64,17,1,0,23,16
"55","SJ.ST","1997-1998",70,75,32,8,13,14,18,29
"56","SMU","1997-1998",91,79,50,6,6,1,1,1
"57","STAN","1997-1998",134,118,43,16,10,6,17,20
"58","TAM","1997-1998",123,114,72,16,5,6,19,10
"59","UGA","1997-1998",100,96,68,19,0,0,8,17
"60","UM","1997-1998",141,130,56,15,1,3,24,19
"61","UNC","1997-1998",166,146,75,25,5,0,6,1
"62","UOFM","1997-1998",33,22,61,19,8,3,7,17
"63","USC","1997-1998",66,65,65,7,7,4,28,22
"64","UT","1997-1998",149,93,64,31,5,10,11,14
"65","UTA.ST","1997-1998",81,84,37,0,4,3,8,3
"66","VANDY","1997-1998",95,62,56,12,2,1,5,16
"67","AUB","1998-1999",102,98,67,22,1,2,13,10
"68","BAMA","1998-1999",74,76,84,21,3,4,17,18
"69","BOS.ST","1998-1999",19,13,9,2,0,1,7,5
"70","CLEM","1998-1999",137,74,72,20,1,1,19,13
"71","DUKE","1998-1999",117,85,43,7,1,0,7,7
"72","FLA","1998-1999",107,100,80,27,7,5,11,13
"73","FSU","1998-1999",67,66,76,25,3,5,14,20
"74","GTOWN","1998-1999",53,57,16,15,0,4,4,9
"75","KAN.ST","1998-1999",102,90,62,13,4,1,1,4
"76","LOUIS","1998-1999",97,81,63,15,5,1,19,10
"77","LSU","1998-1999",82,78,77,25,1,0,17,23
"78","ND","1998-1999",147,111,57,9,4,3,15,7
"79","NEB","1998-1999",156,128,55,14,9,1,36,38
"80","NWST","1998-1999",119,106,38,7,2,2,9,7
"81","OK","1998-1999",98,75,72,17,7,5,23,27
"82","OKSTATE","1998-1999",90,59,61,17,4,3,6,7
"83","ORE","1998-1999",91,84,40,8,6,0,25,22
"84","ORE.ST","1998-1999",118,82,34,4,5,4,31,26
"85","OSU","1998-1999",1,0,65,15,139,135,24,30
"86","SCAR","1998-1999",84,72,82,26,3,0,19,10
"87","SJ.ST","1998-1999",71,89,31,11,19,14,21,33
"88","SMU","1998-1999",74,63,52,8,4,0,26,15
"89","STAN","1998-1999",140,120,42,17,11,10,24,15
"90","TAM","1998-1999",121,105,71,18,6,4,17,14
"91","UGA","1998-1999",95,97,67,18,0,2,10,13
"92","UM","1998-1999",154,142,54,20,2,5,18,23
"93","UNC","1998-1999",155,148,72,21,3,1,8,4
"94","UOFM","1998-1999",39,28,46,17,12,5,11,20
"95","USC","1998-1999",78,64,58,18,5,1,30,32
"96","UT","1998-1999",131,126,69,27,5,11,12,17
"97","UTA.ST","1998-1999",88,86,28,0,4,4,14,5
"98","VANDY","1998-1999",100,61,46,8,1,1,7,15
"99","AUB","1999-2000",114,103,67,24,2,1,18,15
"100","BAMA","1999-2000",71,82,78,19,2,5,24,22
"101","BOS.ST","1999-2000",114,78,38,6,2,3,19,13
"102","CLEM","1999-2000",129,73,75,23,3,1,22,18
"103","DUKE","1999-2000",102,94,44,11,3,0,9,10
"104","FLA","1999-2000",117,97,73,28,10,3,17,13
"105","FSU","1999-2000",79,71,73,21,2,7,14,18
"106","GTOWN","1999-2000",59,57,15,14,1,4,5,8
"107","KAN.ST","1999-2000",90,83,60,16,2,0,4,3
"108","LOUIS","1999-2000",89,102,64,18,8,4,23,23
"109","LSU","1999-2000",92,82,72,27,2,1,19,24
"110","ND","1999-2000",143,118,54,11,5,5,18,7
"111","NEB","1999-2000",154,132,58,10,4,4,32,31
"112","NWST","1999-2000",107,102,33,9,5,5,17,14
"113","OK","1999-2000",109,75,71,25,8,5,25,25
