Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
74,Dustin Adams,http://www.niuhuskies.com/sports/m-footbl/mtt/adams_dustin00.html,OL,6/3/13,306,FR,"Minot, ND",Minot,ND,Minot,,,,,Northern Illinois University,2012-2013
51,Zach Anderson,http://www.niuhuskies.com/sports/m-footbl/mtt/anderson_zach00.html,DT,6/1/13,300,RS JR,"Ladysmith, WI",Ladysmith,WI,Ladysmith,,,,,Northern Illinois University,2012-2013
64,Sal Arceo,http://www.niuhuskies.com/sports/m-footbl/mtt/arceo_sal00.html,OL,6/1/13,292,FR,"Chicago, IL",Chicago,IL,Mt. Carmel,,,,,Northern Illinois University,2012-2013
7,Perez Ashford,http://www.niuhuskies.com/sports/m-footbl/mtt/ashford_perez00.html,WR,5/11/13,182,SR,"Shaker Heights, OH",Shaker Heights,OH,Shaker Heights,,,,,Northern Illinois University,2012-2013
53,Matthew Baltimore,http://www.niuhuskies.com/sports/m-footbl/mtt/baltimore_matthew00.html,DE,6/3/13,230,FR,"Overland Park, KS",Overland Park,KS,Olathe East,,,,,Northern Illinois University,2012-2013
6,Jamaal Bass,http://www.niuhuskies.com/sports/m-footbl/mtt/bass_jamaal00.html,LB,5/10/13,225,RS SO,"Miramar, FL",Miramar,FL,Miramar,,,,,Northern Illinois University,2012-2013
66,Matt Battaglia,http://www.niuhuskies.com/sports/m-footbl/mtt/battaglia_matt00.html,OL,6/3/13,287,SR,"Chicago, IL",Chicago,IL,Marist,Harper College,,,,Northern Illinois University,2012-2013
90,Alan Baxter,http://www.niuhuskies.com/sports/m-footbl/mtt/baxter_alan00.html,DE,6/1/00,240,SR,"Buffalo Grove, IL",Buffalo Grove,IL,Buffalo Grove,,,,,Northern Illinois University,2012-2013
93,Ken Bishop,http://www.niuhuskies.com/sports/m-footbl/mtt/bishop_ken00.html,DT,6/1/13,308,JR,"Sunrise, FL",Sunrise,FL,Piper,Ellsworth Community College,,,,Northern Illinois University,2012-2013
25,Giorgio Bowers,http://www.niuhuskies.com/sports/m-footbl/mtt/bowers_giorgio00.html,RB,5/8/13,218,RS SO,"Olympia Fields, IL",Olympia Fields,IL,Rich Central,Akron,,,,Northern Illinois University,2012-2013
82,Juwan Brescacin,http://www.niuhuskies.com/sports/m-footbl/mtt/brescacin_juwan00.html,WR,6/4/13,219,RS FR,"Mississauga, Ont.",Mississauga,ON,Culver Academy,,,,,Northern Illinois University,2012-2013
86,Jacob Brinlee,http://www.niuhuskies.com/sports/m-footbl/mtt/brinlee_jacob00.html,WR,5/9/13,185,FR,"Lake Zurich, IL",Lake Zurich,IL,Lake Zurich,Fork Union Military Academy,,,,Northern Illinois University,2012-2013
31,Anthony Brooks,http://www.niuhuskies.com/sports/m-footbl/mtt/brooks_anthony00.html,CB,5/11/13,175,FR,"Detroit, MI",Detroit,MI,Warren Mott,,,,,Northern Illinois University,2012-2013
4,Da'Ron Brown,http://www.niuhuskies.com/sports/m-footbl/mtt/brown_daron00.html,WR,6/1/00,194,RS SO,"Chicago, IL",Chicago,IL,Morgan Park,,,,,Northern Illinois University,2012-2013
68,Ron Brown,http://www.niuhuskies.com/sports/m-footbl/mtt/brown_ron00.html,OL,6/3/13,377,FR,"Detroit, MI",Detroit,MI,Mumford,,,,,Northern Illinois University,2012-2013
78,Ryan Brown,http://www.niuhuskies.com/sports/m-footbl/mtt/brown_ryan00.html,OL,6/6/13,283,RS SO,"Elburn, IL",Elburn,IL,St. Charles North,,,,,Northern Illinois University,2012-2013
