Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown ,City,State,High_School,Prior_College,DBPediaCollege_Name,Season,ID_Player_Race,Formal_Stated_Major,College_Major_Group
1,Josh Huff,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204971243&Q_SEASON=2012,WR,5/11/13,205,Jr.,"Houston, Texas ",Houston,TX,Nimitz High School,,University of Oregon,2012-2013,,,
2,Bryan Bennett,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204971236&Q_SEASON=2012,QB,6/3/13,204,So.,"Encino, Calif. ",Encino,CA,Crespi High School,,University of Oregon,2012-2013,,,
3,Dior Mathis,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204920078&Q_SEASON=2012,CB,5/9/13,182,So.,"Detroit, Mich. ",Detroit,MICH,Cass Tech High School,,University of Oregon,2012-2013,,,
3,Jake Rodrigues,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205409484&Q_SEASON=2012,QB,6/3/13,218,Fr.,"Rocklin, Calif. ",Rocklin,CA,Whitney High School,,University of Oregon,2012-2013,,,
4,Erick Dargan,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204971086&Q_SEASON=2012,FS,5/11/13,205,So.,"Pittsburg, Calif. ",Pittsburg,CA,Pittsburg,,University of Oregon,2012-2013,,,
5,Issac Dixon,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205125579&Q_SEASON=2012,DB,5/11/13,195,RFr.,"Miami Gardens, Fla. ",Miami Gardens,FL,Monsignor Pace High School,,University of Oregon,2012-2013,,,
6,De'Anthony Thomas,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205238473&Q_SEASON=2012,RB,5/9/13,176,So.,"Los Angeles, Calif. ",Los Angeles,CA,Crenshaw High School,,University of Oregon,2012-2013,,,
7,Keanon Lowe,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204971244&Q_SEASON=2012,WR,5/9/13,181,So.,"Portland, Ore. ",Portland,ORE,Jesuit High School,,University of Oregon,2012-2013,,,
8,Reggie Daniels,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205503988&Q_SEASON=2012,DB,6/1/13,200,Fr.,"Chandler, Ariz. ",Chandler,AZ,Hamilton High School,,University of Oregon,2012-2013,,,
8,Marcus Mariota,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205238133&Q_SEASON=2012,QB,6/4/13,211,RFr.,"Honolulu, Hawaii ",Honolulu,HAWAII,St. Louis High School,,University of Oregon,2012-2013,,,
9,Arik Armstead,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205409702&Q_SEASON=2012,DL,6/8/13,280,Fr.,"Sacramento, Calif. ",Sacramento,CA,Pleasant Grove High School,,University of Oregon,2012-2013,,,
9,Byron Marshall,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205504200&Q_SEASON=2012,RB,5/10/13,201,Fr.,"San Jose, Calif. ",San Jose,CA,Valley Christian High School,,University of Oregon,2012-2013,,,
10,Rahsaan Vaughn,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205238572&Q_SEASON=2012,WR,6/2/13,198,Sr.,"Oakland, Calif. ",Oakland,CA,Washington High School,College of San Mateo,University of Oregon,2012-2013,,,
