Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
15,Usua Amanam,http://www.gostanford.com/sports/m-footbl/mtt/usua_amanam_439777.html,NB,5/10/13,176,SR,"Fremont, CA",Fremont,CA,Bellarmine College Prep,,,,Stanford University,2012-2013
91,Henry Anderson,http://www.gostanford.com/sports/m-footbl/mtt/henry_anderson_699885.html,DE,6/6/13,278,JR,"Atlanta, GA",Atlanta,GA,Woodward Academy,,,,Stanford University,2012-2013
48,Kevin Anderson,http://www.gostanford.com/sports/m-footbl/mtt/kevin_anderson_755800.html,OLB,6/4/13,250,SO,"Palo Alto, CA",Palo Alto,CA,Palo Alto High School,,,,Stanford University,2012-2013
74,Brendon Austin,http://www.gostanford.com/sports/m-footbl/mtt/brendon_austin_755801.html,OT,6/6/13,300,SO,"Parker, CO",Parker,CO,Chaparral High School,,,,Stanford University,2012-2013
28,Harold Bernard,http://www.gostanford.com/sports/m-footbl/mtt/harold_bernard_360470.html,SS,6/2/13,189,RS SR,"Chandler, AZ",Chandler,AZ,Chandler High School,,,,Stanford University,2012-2013
75,Dillon Bonnell,http://www.gostanford.com/sports/m-footbl/mtt/dillon_bonnell_699925.html,OG,6/4/13,281,JR,"Highlands Ranch, CO",Highlands Ranch,CO,ThunderRidge High School,,,,Stanford University,2012-2013
6,Terrence Brown,http://www.gostanford.com/sports/m-footbl/mtt/terrence_brown_439799.html,CB,6/1/13,178,SR,"Torrance, CA",Torrance,CA,Orange Lutheran High School,,,,Stanford University,2012-2013
31,Barry Browning,http://www.gostanford.com/sports/m-footbl/mtt/barry_browning_699945.html,CB,6/1/13,182,JR,"Everman, TX",Everman,TX,Everman High School,,,,Stanford University,2012-2013
89,Devon Cajuste,http://www.gostanford.com/sports/m-footbl/mtt/devon_cajuste_755803.html,WR,6/4/13,216,SO,"Seaford, NY",Seaford,NY,Holy Cross High School,,,,Stanford University,2012-2013
95,Lance Callihan,http://www.gostanford.com/sports/m-footbl/mtt/lance_callihan_755804.html,DT,6/3/13,300,SO,"Baton Rouge, LA",Baton Rouge,LA,Catholic High School,,,,Stanford University,2012-2013
5,Devon Carrington,http://www.gostanford.com/sports/m-footbl/mtt/devon_carrington_702525.html,FS,6/1/13,199,JR,"Chandler, AZ",Chandler,AZ,Hamilton High School,,,,Stanford University,2012-2013
25,Alex Carter,http://www.gostanford.com/sports/m-footbl/mtt/alex_carter_809223.html,CB,6/1/00,200,FR,"Ashburn, VA",Ashburn,VA,Briar Woods High School,,,,Stanford University,2012-2013
57,Johnny Caspers,http://www.gostanford.com/sports/m-footbl/mtt/johnny_caspers_809226.html,OG,6/4/13,269,FR,"Glen Ellyn, IL",Glen Ellyn,IL,Glenbard West High School,,,,Stanford University,2012-2013
81,Conner Crane,http://www.gostanford.com/sports/m-footbl/mtt/conner_crane_809228.html,WR,6/4/13,188,FR,"Lantana, TX",Lantana,TX,John H. Guyer High School,,,,Stanford University,2012-2013
5,Evan Crower,http://www.gostanford.com/sports/m-footbl/mtt/evan_crower_755805.html,QB,6/5/13,210,SO,"San Diego, CA",San Diego,CA,St. Augustine High School,,,,Stanford University,2012-2013
23,Jackson Cummings,http://www.gostanford.com/sports/m-footbl/mtt/jackson_cummings_702528.html,RB,5/9/13,190,JR,"Rocklin, CA",Rocklin,CA,Rocklin High School,,,,Stanford University,2012-2013
76,Kevin Danser,http://www.gostanford.com/sports/m-footbl/mtt/kevin_danser_439804.html,OG,6/6/13,298,SR,"Saratoga, CA",Saratoga,CA,Bellarmine College Prep,,,,Stanford University,2012-2013
