Rank,BCSCollege_Name,DBPediaCollege_Name,Wayback_Roster_URL,Roster12_URL,Record,Points,Previous,Year,Source
1,Alabama,Alabama University,http://web.archive.org/web/20130701000000*/http://www.rolltide.com/sports/m-footbl/mtt/alab-m-footbl-mtt.html,http://web.archive.org/web/20130123142018/http://www.rolltide.com/sports/m-footbl/mtt/alab-m-footbl-mtt.html,13-1,"1,475",2,2013,Bowl Championship Series
2,Oregon,University of Oregon,http://web.archive.org/web/*/http://www.goducks.com/SportSelect.dbml?DB_OEM_ID=500&SPID=233&SPSID=3378,http://web.archive.org/web/20130114220348/http://www.goducks.com/SportSelect.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500,1-Dec,"1,358",5,2013,Bowl Championship Series
3,Ohio State,Ohio State University,http://web.archive.org/web/*/http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/osu-m-footbl-mtt.html,http://web.archive.org/web/20130127065016/http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/osu-m-footbl-mtt.html,Dec-00,"1,302",3,2013,Bowl Championship Series
4,Notre Dame,Notre Dame University,http://web.archive.org/web/*/http://www.und.com/sports/m-footbl/mtt/nd-m-footbl-mtt.html,http://web.archive.org/web/20130117085312/http://www.und.com/sports/m-footbl/mtt/nd-m-footbl-mtt.html,1-Dec,"1,288",1,2013,Bowl Championship Series
5,Georgia,University of Georgia,http://web.archive.org/web/*/http://www.georgiadogs.com/sports/m-footbl/mtt/geo-m-footbl-mtt.html,http://web.archive.org/web/20130117025107/http://www.georgiadogs.com/sports/m-footbl/mtt/geo-m-footbl-mtt.html,2-Dec,"1,230",6,2013,Bowl Championship Series
5,Texas A&M,Texas A&M University,http://web.archive.org/web/*/http://www.aggieathletics.com/SportSelect.dbml?DB_OEM_ID=27300&SPID=93232&SPSID=632663,http://www.aggieathletics.com/SportSelect.dbml?DB_OEM_ID=27300&SPID=93232&SPSID=632663,2-Nov,"1,230",10,2013,Bowl Championship Series
7,Stanford,Stanford University,http://web.archive.org/web/*/http://www.gostanford.com/sports/m-footbl/mtt/stan-m-footbl-mtt.html,http://web.archive.org/web/20130122061623/http://www.gostanford.com/sports/m-footbl/mtt/stan-m-footbl-mtt.html,2-Dec,"1,169",8,2013,Bowl Championship Series
8,South Carolina,University of South Carolina,http://web.archive.org/web/*/http://www.gamecocksonline.com/sports/m-footbl/mtt/scar-m-footbl-mtt.html,http://web.archive.org/web/20130117132553/http://www.gamecocksonline.com/sports/m-footbl/mtt/scar-m-footbl-mtt.html,2-Nov,"1,038",11,2013,Bowl Championship Series
9,Florida,University of Florida,http://web.archive.org/web/*/http://www.gatorzone.com/football/bios.php,http://web.archive.org/web/20130119043938/http://www.gatorzone.com/football/bios.php,2-Nov,933,4,2013,Bowl Championship Series
10,Florida State,Florida State University,http://web.archive.org/web/*/http://www.seminoles.com/sports/m-footbl/mtt/fsu-m-footbl-mtt.html,http://web.archive.org/web/20130119102322/http://www.seminoles.com/sports/m-footbl/mtt/fsu-m-footbl-mtt.html,2-Dec,922,13,2013,Bowl Championship Series
11,Clemson,Clemson University,http://web.archive.org/web/*/http://www.clemsontigers.com/SportSelect.dbml?&DB_OEM_ID=28500&SPID=103701&SPSID=657772,http://www.clemsontigers.com/SportSelect.dbml?DB_OEM_ID=28500&SPID=103701&SPSID=657772,2-Nov,889,14,2013,Bowl Championship Series
12,Kansas State,Kansas State University,http://web.archive.org/web/*/http://www.kstatesports.com/sports/m-footbl/mtt/ksu-m-footbl-mtt.html,http://web.archive.org/web/20130213080602/http://www.kstatesports.com/sports/m-footbl/mtt/ksu-m-footbl-mtt.html,2-Nov,871,7,2013,Bowl Championship Series
13,Louisville,University of Louisville,http://web.archive.org/liveweb/http://www.gocards.com/sports/m-footbl/mtt/lou-m-footbl-mtt.html,http://web.archive.org/liveweb/http://www.gocards.com/sports/m-footbl/archive/lou-m-footbl-roster-1213.html,2-Nov,781,22,2013,Bowl Championship Series
14,LSU,Louisiana State University,http://web.archive.org/web/*/http://www.lsusports.net/SportSelect.dbml?DB_OEM_ID=5200&SPID=2164&SPSID=27812,http://www.lsusports.net/SportSelect.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&Q_SEASON=2012,3-Oct,756,9,2013,Bowl Championship Series
15,Oklahoma,University of Oklahoma,http://web.archive.org/web/*/http://www.soonersports.com/sports/m-footbl/mtt/okla-m-footbl-mtt.html,http://web.archive.org/web/20121123222300/http://www.soonersports.com/sports/m-footbl/mtt/okla-m-footbl-mtt.html,3-Oct,615,12,2013,Bowl Championship Series
16,Utah State,Utah State University,http://web.archive.org/web/*/http://www.utahstateaggies.com/sports/m-footbl/mtt/ust-m-footbl-mtt.html,http://web.archive.org/web/20130117141219/http://www.utahstateaggies.com/sports/m-footbl/mtt/ust-m-footbl-mtt.html,2-Nov,456,18,2013,Bowl Championship Series
17,Northwestern,Northwestern University,http://web.archive.org/web/*/http://www.nusports.com/sports/m-footbl/mtt/nw-m-footbl-mtt.html,http://web.archive.org/web/20121119045444/http://www.nusports.com/sports/m-footbl/mtt/nw-m-footbl-mtt.html,3-Oct,443,21,2013,Bowl Championship Series
18,Boise State,Boise State University,http://web.archive.org/liveweb/http://www.broncosports.com,http://web.archive.org/web/20130118222217/http://www.broncosports.com/SportSelect.dbml?&DB_OEM_ID=9900&SPID=4061&SPSID=48552,2-Nov,419,20,2013,Bowl Championship Series
19,Texas,University of Texas at Austin,http://web.archive.org/web/*/http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/tex-m-footbl-mtt.html,http://web.archive.org/web/20130117033819/http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/tex-m-footbl-mtt.html,4-Sep,358,NR,2013,Bowl Championship Series
20,Oregon State,Oregon State University,http://web.archive.org/web/*/http://www.osubeavers.com/sports/m-footbl/mtt/orst-m-footbl-mtt.html,http://web.archive.org/web/20130122153756/http://www.osubeavers.com/sports/m-footbl/mtt/orst-m-footbl-mtt.html,4-Sep,303,15,2013,Bowl Championship Series
21,San Jose State,San Jose State University,http://web.archive.org/web/*/http://www.sjsuspartans.com/SportSelect.dbml?DB_OEM_ID=5600&SPID=2290&SPSID=29302,http://web.archive.org/web/20121114093605/http://www.sjsuspartans.com/SportSelect.dbml?DB_OEM_ID=5600&SPID=2290&SPSID=29302,2-Nov,243,24,2013,Bowl Championship Series
22,Northern Illinois,Northern Illinois University,http://web.archive.org/web/*/http://www.niuhuskies.com/sports/m-footbl/mtt/niu-m-footbl-mtt.html,http://web.archive.org/web/20121213103445/http://www.niuhuskies.com/sports/m-footbl/mtt/niu-m-footbl-mtt.html,2-Dec,227,16,2013,Bowl Championship Series
23,Vanderbilt,Vanderbilt University,http://web.archive.org/web/*/http://www.vucommodores.com/sports/m-footbl/mtt/vand-m-footbl-mtt.html,http://web.archive.org/web/20130122150410/http://www.vucommodores.com/sports/m-footbl/mtt/vand-m-footbl-mtt.html,4-Sep,180,NR,2013,Bowl Championship Series
24,Michigan,University of Michigan,http://web.archive.org/web/*/http://www.mgoblue.com/sports/m-footbl/mtt/mich-m-footbl-mtt.html,http://web.archive.org/web/20130116235724/http://www.mgoblue.com/sports/m-footbl/mtt/mich-m-footbl-mtt.html,5-Aug,147,19,2013,Bowl Championship Series
25,Nebraska,University of Nebraska at Lincoln,http://web.archive.org/web/*/http://www.huskers.com/SportSelect.dbml?DB_OEM_ID=100&SPID=22&SPSID=4,http://web.archive.org/web/20121021221531/http://www.huskers.com/SportSelect.dbml?DB_OEM_ID=100&SPID=22&SPSID=4,4-Oct,119,23,2013,Bowl Championship Series
,Rutgers,Rutgers University,http://web.archive.org/web/*/http://www.scarletknights.com/football/roster/roster.asp,http://web.archive.org/web/20121025163454/http://scarletknights.com/football//roster/roster.asp,4-Sep,,,2013,Bowl Championship Series
