School_Label,CIPFamily,CIPFamilyTitle,Value_Type,Value,Percentage_School
Alabama,3,NATURAL RESOURCES AND CONSERVATION.,College Major,1,0.037037037
Alabama,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.037037037
Alabama,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,4,0.148148148
Alabama,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,3,0.111111111
Alabama,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,2,0.074074074
Alabama,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,15,0.555555556
Alabama,54,HISTORY.,College Major,1,0.037037037
Boise State,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,18,0.257142857
Boise State,14,ENGINEERING.,College Major,2,0.028571429
Boise State,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,31,0.442857143
Boise State,38,PHILOSOPHY AND RELIGIOUS STUDIES.,College Major,1,0.014285714
Boise State,42,PSYCHOLOGY.,College Major,2,0.028571429
Boise State,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,3,0.042857143
Boise State,45,SOCIAL SCIENCES.,College Major,2,0.028571429
Boise State,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,11,0.157142857
Clemson,3,NATURAL RESOURCES AND CONSERVATION.,College Major,1,0.011363636
Clemson,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,2,0.022727273
Clemson,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,1,0.011363636
Clemson,13,EDUCATION.,College Major,2,0.022727273
Clemson,14,ENGINEERING.,College Major,12,0.136363636
Clemson,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,College Major,1,0.011363636
Clemson,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,4,0.045454545
Clemson,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,2,0.022727273
Clemson,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,17,0.193181818
Clemson,38,PHILOSOPHY AND RELIGIOUS STUDIES.,College Major,2,0.022727273
Clemson,42,PSYCHOLOGY.,College Major,1,0.011363636
Clemson,45,SOCIAL SCIENCES.,College Major,24,0.272727273
