School_Label,ID_Race,CBB,CAB,A,BD,MA,DR,DPP,DO,Year
Boise State,UN,2,9,13,83,46,0,0,0,2010-2011
Boise State,IND,0,1,1,20,2,0,0,0,2010-2011
Boise State,MI,0,0,1,15,5,0,0,0,2010-2011
Boise State,C,50,99,158,2020,463,8,0,0,2010-2011
Boise State,H,4,3,12,134,23,0,0,0,2010-2011
Boise State,PI,0,0,0,3,0,0,0,0,2010-2011
Boise State,AS,2,2,9,73,14,0,0,0,2010-2011
Boise State,AA,2,3,1,28,9,2,0,0,2010-2011
Boise State,O,0,4,1,32,39,1,0,0,2010-2011
Clemson,IND,0,0,0,11,0,1,0,0,2010-2011
Clemson,AS,0,0,0,51,14,2,0,0,2010-2011
Clemson,AA,0,1,0,214,32,9,0,0,2010-2011
Clemson,H,0,0,0,42,10,2,0,0,2010-2011
Clemson,PI,0,0,0,2,0,0,0,0,2010-2011
Clemson,O,0,0,0,41,239,76,0,0,2010-2011
Clemson,UN,0,0,0,184,28,15,0,0,2010-2011
Clemson,MI,0,0,0,17,8,0,0,0,2010-2011
Clemson,C,0,0,0,2756,676,87,0,0,2010-2011
Florida State,O,0,2,2,85,192,126,2,0,2010-2011
Florida State,AA,0,4,32,778,173,21,29,0,2010-2011
Florida State,H,0,3,12,926,148,19,24,0,2010-2011
Florida State,PI,0,0,0,0,0,0,0,0,2010-2011
Florida State,IND,0,0,1,70,13,2,2,0,2010-2011
Florida State,AS,0,1,4,274,75,13,23,0,2010-2011
Florida State,UN,0,0,2,69,35,7,33,0,2010-2011
Florida State,MI,0,0,0,0,0,0,0,0,2010-2011
Florida State,C,0,49,58,5684,1582,241,276,0,2010-2011
Kansas State,IND,0,0,0,17,5,3,0,0,2010-2011
Kansas State,UN,0,0,3,16,5,0,1,0,2010-2011
Kansas State,MI,0,0,4,56,12,1,4,0,2010-2011
Kansas State,C,0,0,54,2968,741,71,96,0,2010-2011
Kansas State,PI,0,0,1,3,2,0,0,0,2010-2011
Kansas State,AS,0,0,0,23,16,5,2,0,2010-2011
Kansas State,AA,0,0,2,73,28,7,0,0,2010-2011
Kansas State,H,0,0,0,131,28,5,4,0,2010-2011
Kansas State,O,0,0,1,57,152,70,0,0,2010-2011
Louisiana State,IND,0,0,0,15,2,0,4,0,2010-2011
