School_Label,2011_12_BD_C,2010_11_BD_C,Year
Vanderbilt,1673,1735,2011-2012
Utah State,3373,3232,2011-2012
Texas,8802,9054,2011-2012
South Carolina,4566,4462,2011-2012
Oregon,4697,3831,2011-2012
Oklahoma,4081,3729,2011-2012
Nebraska,3718,3621,2011-2012
Michigan,6492,6553,2011-2012
Louisville,2701,2618,2011-2012
Georgia,6861,6845,2011-2012
Florida,8601,8685,2011-2012
Alabama,,4463,2010-2011
Texas A&M,9019,8748,2011-2012
Stanford,1714,1670,2011-2012
San Jose State,4897,4916,2011-2012
Rutgers,6182,6179,2011-2012
Oregon State,3934,3478,2011-2012
Ohio State,11311,10291,2011-2012
Notre Dame,2077,2078,2011-2012
Northwestern,2135,2135,2011-2012
Northern Illinois,3972,3921,2011-2012
Louisiana State,4599,4400,2011-2012
Kansas State,3640,3344,2011-2012
Florida State,7846,7886,2011-2012
Clemson,3440,3318,2011-2012
Boise State,2591,2408,2011-2012
