Number,Player,Last_Name,First_Name,PlayerBio_URL,Position,Height,Weight,Year,Hometown ,City,State,High_School,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
76,Darryl Baldwin,Baldwin,Darryl,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/darryl_baldwin_752944.html,OL,6/5/13,300,SO,"Solon, Ohio ",Solon,Ohio,Solon High School,,,,Ohio State University,2012-2013
28,Warren Ball,Ball,Warren,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/warren_ball_804677.html,RB,6/1/13,215,FR,"Columbus, Ohio ",Columbus,Ohio,DeSales High School,,,,Ohio State University,2012-2013
4,C.J. Barnett,Barnett,C.J.,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/cj_barnett_752950.html,DB,6/1/13,202,JR,"Dayton, Ohio ",Dayton,Ohio,Northmont High School,,,,Ohio State University,2012-2013
24,Drew Basil,Basil,Drew,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/drew_basil_752956.html,P/K,6/1/13,210,JR,"Chillicothe, Ohio ",Chillicothe,Ohio,Chillicothe High School,,,,Ohio State University,2012-2013
63,Michael Bennett,Bennett,Michael,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/michael_bennett_758504.html,DL,6/3/13,285,SO,"Centerville, Ohio ",Centerville,Ohio,Centerville High School,,,,Ohio State University,2012-2013
62,Logan Beougher,Beougher,Logan,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/logan_beougher_797232.html,OL,6/3/13,275,FR,"Alexandria, Va. ",Alexandria,Va,Mount Vernon High School,,,,Ohio State University,2012-2013
64,Ivon Blackman,Blackman,Ivon,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/ivon_blackman_767568.html,OL,6/3/13,310,JR,"Bedford, Ohio ",Bedford,Ohio,Bedford High School,,,,Ohio State University,2012-2013
88,Stacey Blunt,Blunt,Stacey,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/stacey_blunt_828980.html,WR,6/2/13,195,SO,"Powell, Ohio ",Powell,Ohio,Dublin Scioto High School,,,,Ohio State University,2012-2013
30,Devan Bogard,Bogard,Devan,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/devan_bogard_804678.html,DB,6/1/00,192,FR,"Cleveland, Ohio ",Cleveland,Ohio,Glenville High School,,,,Ohio State University,2012-2013
50,Jacoby Boren,Boren,Jacoby,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/jacoby_boren_793851.html,OL,6/2/13,287,FR,"Pickerington, Ohio ",Pickerington,Ohio,Central High School,,,,Ohio State University,2012-2013
44,Zach Boren,Boren,Zach,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/zach_boren_752966.html,LB/FB,6/1/13,245,SR,"Pickerington, Ohio ",Pickerington,Ohio,Pickerington High School,,,,Ohio State University,2012-2013
56,Dalton Britt,Britt,Dalton,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/dalton_britt_752968.html,DL,6/2/13,285,SR,"Bellville, Ohio ",Bellville,Ohio,Clear Fork High School,,,,Ohio State University,2012-2013
10,Corey Brown,Brown,Corey,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/corey_brown_752969.html,WR,6/1/00,186,JR,"Upper Darby, Pa. ",Upper Darby,Pa,Cardinal O'Hara High School,,,,Ohio State University,2012-2013
3,Corey Brown,Brown,Corey,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/corey_brown_759373.html,DB,6/1/13,197,JR,"Monroeville, Pa. ",Monroeville,Pa,Gateway High School,,,,Ohio State University,2012-2013
55,Tommy Brown,Brown,Tommy,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/tommy_brown_758543.html,OL,6/4/13,315,FR,"Akron, Ohio ",Akron,Ohio,Firestone High School,,,,Ohio State University,2012-2013
2,Christian Bryant,Bryant,Christian,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/christian_bryant_752971.html,DB,5/10/13,192,JR,"Cleveland, Ohio ",Cleveland,Ohio,Glenville High School,,,,Ohio State University,2012-2013
17,Ben Buchanan,Buchanan,Ben,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/ben_buchanan_753237.html,P/K,5/11/13,192,SR,"Westerville, Ohio",Westerville,Ohio,Westerville Central High School,,,,Ohio State University,2012-2013
48,Joe Burger,Burger,Joe,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/joe_burger_807764.html,LB,6/1/13,225,FR,"Cincinnati, Ohio ",Cincinnati,Ohio,LaSalle High School,,,,Ohio State University,2012-2013
72,Chris Carter,Carter,Chris,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/chris_carter_763840.html,DL,6/4/13,340,FR,"Cleveland, Ohio ",Cleveland,Ohio,John F. Kennedy High School,,,,Ohio State University,2012-2013
82,Ryan Carter,Carter,Ryan,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/ryan_carter_814645.html,TE,6/6/13,225,FR,"Reynoldsburg, Ohio ",Reynoldsburg,Ohio,Reynoldsburg High School,,,,Ohio State University,2012-2013
35,Craig Cataline,Cataline,Craig,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/craig_cataline_816071.html,FB,6/2/13,226,SO,"Columbus, Ohio ",Columbus,Ohio,Grandview Heights High School,,,,Ohio State University,2012-2013
39,Kyle Clinton,Clinton,Kyle,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/kyle_clinton_797948.html,K,6/1/13,215,SO,"Dublin, Ohio ",Dublin,Ohio,Coffman High School,,,,Ohio State University,2012-2013
68,Taylor Decker,Decker,Taylor,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/taylor_decker_797951.html,OL,6/7/13,313,FR,"Vandalia, Ohio ",Vandalia,Ohio,Butler High School,,,,Ohio State University,2012-2013
66,Kyle Dodson,Dodson,Kyle,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/kyle_dodson_807138.html,OL,6/5/13,315,FR,"Cleveland, Ohio ",Cleveland,Ohio,Cleveland Heights High School,,,,Ohio State University,2012-2013
16,Zach Domicone,Domicone,Zach,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/zach_domicone_753250.html,DB,6/2/13,216,SR,"Beavercreek, Ohio ",Beavercreek,Ohio,Beavercreek High School,,,,Ohio State University,2012-2013
20,Russell Doup,Doup,Russell,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/russell_doup_758568.html,K,6/2/13,195,SO,"Mt. Vernon, Ohio ",Mt. Vernon,Ohio,Mt. Vernon High School,,,,Ohio State University,2012-2013
25,Bri'onte Dunn,Dunn,Bri'onte,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/brionte_dunn_793848.html,RB,6/1/13,210,FR,"Canton, Ohio ",Canton,Ohio,GlenOak High School,,,,Ohio State University,2012-2013
