Number,Player,PlayerBio_URL,Height,Weight,Year,Eligibility,Position,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
14,David Ash,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/david_ash_748038.html,6/3/13,223,So.,1L,QB,"Belton, Texas ",Belton,TEXAS,Belton High School,,,,,University of Texas at Austin,2012-2013
45,Kyle Ashby,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/kyle_ashby_809496.html,6/1/13,235,Fr.,HS,DS,"Lake Jackson, Texas ",Lake Jackson,TEXAS,Brazoswood High School,,,,,University of Texas at Austin,2012-2013
79,Thomas Ashcraft,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/thomas_ashcraft_403677.html,6/5/13,315,Jr.,2L,OG,"Cedar Hill, Texas ",Cedar Hill,TEXAS,Cedar Hill High School,,,,,University of Texas at Austin,2012-2013
8,Aaron Benson,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/aaron_benson_712687.html,6/2/13,233,So.,SQ,LB,"Cedar Hill, Texas ",Cedar Hill,TEXAS,Cedar Hill High School,,,,,University of Texas at Austin,2012-2013
24,Joe Bergeron,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/joe_bergeron_763427.html,6/1/13,230,So.,1L,RB,"Mesquite, Texas ",Mesquite,TEXAS,North Mesquite High School,,,,,University of Texas at Austin,2012-2013
42,Caleb Bluiett,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/caleb_bluiett_809497.html,6/3/13,238,Fr.,HS,DE,"Beaumont, Texas ",Beaumont,TEXAS,West Brook High School,,,,,University of Texas at Austin,2012-2013
36,Dillon Boldt,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/dillon_boldt_830366.html,5/10/13,170,Fr.,HS,DB,"Austin, Texas ",Austin,TEXAS,Bowie High School,,,,,University of Texas at Austin,2012-2013
37,Nate Boyer,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/nate_boyer_712689.html,5/11/13,190,So.,SQ,DS,"Dublin, Calif. ",Dublin,CALIF,Valley Christian High School,,,,,University of Texas at Austin,2012-2013
50,"Paul Boyette, Jr.",http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/paul_boyette_jr_809498.html,6/4/13,295,Fr.,HS,DT,"Humble, Texas ",Humble,TEXAS,Humble High School,,,,,University of Texas at Austin,2012-2013
7,Connor Brewer,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/connor_brewer_795950.html,6/2/13,195,Fr.,HS,QB,"Scottsdale, Ariz. ",Scottsdale,ARIZ,Chaparral High School,,,,,University of Texas at Austin,2012-2013
28,Malcolm Brown,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/malcolm_brown_763428.html,6/1/00,223,So.,1L,RB,"Cibolo, Texas ",Cibolo,TEXAS,Steele High School,,,,,University of Texas at Austin,2012-2013
90,Malcom Brown,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/malcom_brown_809499.html,6/4/13,315,Fr.,HS,DT,"Brenham, Texas ",Brenham,TEXAS,Brenham High School,,,,,University of Texas at Austin,2012-2013
23,Carrington Byndom,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/carrington_byndom_712690.html,6/1/00,180,Jr.,2L,CB,"Lufkin, Texas ",Lufkin,TEXAS,Lufkin High School,,,,,University of Texas at Austin,2012-2013
7,Demarco Cobbs,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/demarco_cobbs_712691.html,6/2/13,218,Jr.,2L,LB,"Tulsa, Okla. ",Tulsa,OKLA,Tulsa Central High School,,,,,University of Texas at Austin,2012-2013
78,Josh Cochran,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/josh_cochran_763429.html,6/6/13,299,So.,1L,OT,"Hallsville, Texas ",Hallsville,TEXAS,Hallsville High School,,,,,University of Texas at Austin,2012-2013
26,Adrian Colbert,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/adrian_colbert_809501.html,6/2/13,191,Fr.,HS,DB,"Mineral Wells, Texas ",Mineral Wells,TEXAS,Mineral Wells High School,,,,,University of Texas at Austin,2012-2013
24,Timothy Cole,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/timothy_cole_809502.html,6/2/13,225,Fr.,HS,LB,"Brenham, Texas ",Brenham,TEXAS,Brenham High School,,,,,University of Texas at Austin,2012-2013
52,Bryce Cottrell,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/bryce_cottrell_809503.html,6/3/13,230,Fr.,HS,DE,"Plano, Texas ",Plano,TEXAS,Plano West High School,,,,,University of Texas at Austin,2012-2013
88,Jackson Crawley,http://www.mackbrown-texasfootball.com/sports/m-footbl/mtt/jackson_crawley_787716.html,6/3/13,220,Sr.,SQ,TE,"Dallas, Texas ",Dallas,TEXAS,Woodrow Wilson High School,,,,,University of Texas at Austin,2012-2013
