ID_Sport,ID_School,Season,Number,Player,Player,First_Name,Last_Name,Position,Height,Weight,Class,Experience,Hometown/Prior_School,Player_URL
MBBALL,UF,2005-2006,1,Brett Swanson,Brett Swanson,Brett,Swanson,G,6/2/13,180,Jr.,TR,"Pace, Fla./Pace High School",http://gatorzone.com/basketball/men/bios.php?m=&bio=swanson.html
MBBALL,UF,2005-2006,2,Corey Brewer,Corey Brewer,Corey,Brewer,G/F,6/8/13,185,So.,1L,"Portland, Tenn./Portland",http://gatorzone.com/basketball/men/bios.php?m=&bio=brewer.html
MBBALL,UF,2005-2006,4,Adrian Moss,Adrian Moss,Adrian,Moss,F,6/9/13,247,Sr.,3L,"Houston, Texas/Fork Union Military Academy",http://gatorzone.com/basketball/men/bios.php?m=&bio=moss.html
MBBALL,UF,2005-2006,5,Jimmie Sutton,Jimmie Sutton,Jimmie,Sutton,F/C,6/10/13,252,Fr.,HS,"Deerfield Beach, Fla./North Broward Prep",http://gatorzone.com/basketball/men/bios.php?m=&bio=sutton.html
MBBALL,UF,2005-2006,11,Taurean Green,Taurean Green,Taurean,Green,G,6/1/00,177,So.,1L,"Ft. Lauderdale, Fla./Cardinal Gibbons",http://gatorzone.com/basketball/men/bios.php?m=&bio=green.html
MBBALL,UF,2005-2006,12,Lee Humphrey,Lee Humphrey,Lee,Humphrey,G,6/2/13,192,Jr.,2L,"Maryville, Tenn./Maryville",http://gatorzone.com/basketball/men/bios.php?m=&bio=humphrey.html
MBBALL,UF,2005-2006,13,Joakim Noah,Joakim Noah,Joakim,Noah,F/C,6/11/13,227,So.,1L,"New York, N.Y./Lawrenceville Prep",http://gatorzone.com/basketball/men/bios.php?m=&bio=noah.html
MBBALL,UF,2005-2006,15,Walter Hodge,Walter Hodge,Walter,Hodge,G,6/1/00,170,Fr.,HS,"Guaynabo, Puerto Rico/Florida Air Academy",http://gatorzone.com/basketball/men/bios.php?m=&bio=hodge.html
MBBALL,UF,2005-2006,22,Jack Berry,Jack Berry,Jack,Berry,G,6/6/13,215,So.,1L,"Windermere, Fla./Doctor Phillips",http://gatorzone.com/basketball/men/bios.php?m=&bio=berry.html
MBBALL,UF,2005-2006,25,Garrett Tyler,Garrett Tyler,Garrett,Tyler,G/F,6/7/13,200,So.,1L,"Palm Harbor, Fla./Palm Harbor",http://gatorzone.com/basketball/men/bios.php?m=&bio=tyler.html
