ID_School,ID_Sport,Season,Number,Player,First_Name,Last_Name,Position,Height,Weight,Year,Hometown/Last_School,Player_URL,
FSU,MBBALL,2012-2013,15,Boris Bojanovsky,Boris,Bojanovsky,Center,7/3/13,240,SO,"Bratislava, Slovak Rebublic/Oakley College",http://www.seminoles.com/sports/m-baskbl/mtt/boris_bojanovsky_804009.html,
FSU,MBBALL,2012-2013,1,Devon Bookert,Devon,Bookert,Guard,6/3/13,185,SO,"Anchorage, Ak./West Anchorage",http://www.seminoles.com/sports/m-baskbl/mtt/devon_bookert_804006.html,
FSU,MBBALL,2012-2013,5,Montay Brandon,Montay,Brandon,Guard,6/7/13,216,SO,"Greensboro, N.C./Wesleyan Christian",http://www.seminoles.com/sports/m-baskbl/mtt/montay_brandon_804010.html,
FSU,MBBALL,2012-2013,14,Robert Gilchrist,Robert,Gilchrist,Forward,6/9/13,220,SR,"London, England/Polk State College",http://www.seminoles.com/sports/m-baskbl/mtt/robert_gilchrist_804008.html,
FSU,MBBALL,2012-2013,35,Joell Hopkins,Joell,Hopkins,Forward,6/6/13,205,SO,"Durham, N.C./Tallahassee Community College",http://www.seminoles.com/sports/m-baskbl/mtt/joell_hopkins_804003.html,
FSU,MBBALL,2012-2013,30,Ian Miller,Ian,Miller,Guard,6/3/13,186,SR,"Charlotte, N.C./United Faith Christian Academy",http://www.seminoles.com/sports/m-baskbl/mtt/ian_miller_712064.html,
FSU,MBBALL,2012-2013,50,Michael Ojo,Michael,Ojo,Center,7/1/13,292,SO,"Lagos, Nigeria/Tennessee Temple",http://www.seminoles.com/sports/m-baskbl/mtt/michael_ojo_807098.html,
FSU,MBBALL,2012-2013,25,Aaron Thomas,Aaron,Thomas,Guard,6/5/13,195,SO,"Cincinnati, Ohio/Brewster Academy",http://www.seminoles.com/sports/m-baskbl/mtt/aaron_thomas_804007.html,
FSU,MBBALL,2012-2013,11,Kiel Turpin,Kiel,Turpin,Center,7/1/00,240,RS SR,"Normal, Ill./Lincoln College",http://www.seminoles.com/sports/m-baskbl/mtt/kiel_turpin_764766.html,
FSU,MBBALL,2012-2013,10,Okaro White,Okaro,White,Forward,6/8/13,204,SR,"Clearwater, Fla./Clearwater",http://www.seminoles.com/sports/m-baskbl/mtt/okaro_white_712366.html,
FSU,MBBALL,2011-2012,4,Deividas Dulkys,Deividas,Dulkys,Guard,6/5/13,196,SR,"Silute, Lithuania/Findlay College Prep (Nev.)",http://www.seminoles.com/sports/m-baskbl/mtt/dulkys_deividas00.html,
FSU,MBBALL,2011-2012,1,Xavier Gibson,Xavier,Gibson,Forward/Center,6/11/13,248,SR,"Dothan, Ala./Northview",http://www.seminoles.com/sports/m-baskbl/mtt/gibson_xavier00.html,
FSU,MBBALL,2011-2012,5,Bernard James,Bernard,James,Forward,6/10/13,240,SR,"Savannah, Ga./Tallahassee Community College",http://www.seminoles.com/sports/m-baskbl/mtt/james_bernard00.html,
FSU,MBBALL,2011-2012,50,Jon Kreft,Jon,Kreft,Forward/Center,7/1/00,262,SR,"Coral Springs, Fla./Chipola Community College",http://www.seminoles.com/sports/m-baskbl/mtt/kreft_jon00.html,
