ID_Sport,ID_School,Season,Number,Player,Last_Name,First_Name,Height,Weight,Position,Year,Hometown/Prior_School,Player_URL
ND,MBBALL,2005-2006,42,Ryan Ayers,Ayers,Ryan,6/8/13,203,Guard/Forward,FR,"Blue Bell, PA/Germantown Academy",http://www.und.com/sports/m-baskbl/mtt/ayers_ryan00.html
ND,MBBALL,2005-2006,43,Russell Carter,Carter,Russell,6/4/13,223,Guard,JR,"Paulsboro, NJ/Paulsboro",http://www.und.com/sports/m-baskbl/mtt/carter_russell00.html
ND,MBBALL,2005-2006,11,Rick Cornett,Cornett,Rick,6/9/13,244,Forward,SR,"Country Club Hills, IL/Homewood Christian Academy",http://www.und.com/sports/m-baskbl/mtt/cornett_rick00.html
ND,MBBALL,2005-2006,15,Colin Falls,Falls,Colin,6/5/13,204,Guard,JR,"Park Ridge, Ill./Loyola Academy",http://www.und.com/sports/m-baskbl/mtt/falls_colin00.html
ND,MBBALL,2005-2006,34,Torin Francis,Francis,Torin,6/11/13,252,Forward,SR,"Boston, MA/Tabor Academy",http://www.und.com/sports/m-baskbl/mtt/francis_torin00.html
ND,MBBALL,2005-2006,33,Zach Hillesland,Hillesland,Zach,6/9/13,226,Forward,FR,"Toledo, OH/St. John's Jesuit",http://www.und.com/sports/m-baskbl/mtt/hillesland_zach00.html
ND,MBBALL,2005-2006,31,Rob Kurz,Kurz,Rob,6/9/13,238,Forward,SO,"Lower Gwynedd, PA/Penn Charter",http://www.und.com/sports/m-baskbl/mtt/kurz_rob00.html
ND,MBBALL,2005-2006,23,Kyle McAlarney,McAlarney,Kyle,6/1/13,200,Guard,FR,"Staten Island, NY/Moore Catholic",http://www.und.com/sports/m-baskbl/mtt/mcalarney_kyle00.html
ND,MBBALL,2005-2006,24,Chris Murphy,Murphy,Chris,6/7/13,216,Forward,SR,"Downers Grove, IL/Benet Academy",http://www.und.com/sports/m-baskbl/mtt/murphy_chris00.html
ND,MBBALL,2005-2006,35,Kieran Piller,Piller,Kieran,6/2/13,190,Guard,JR,"Endicott, NY/Union-Endicott",http://www.und.com/sports/m-baskbl/mtt/piller_kieran00.html
ND,MBBALL,2005-2006,2,Chris Quinn,Quinn,Chris,6/2/13,185,Guard,SR,"Dublin, OH/Dublin Coffman",http://www.und.com/sports/m-baskbl/mtt/quinn_chris00.html
ND,MBBALL,2005-2006,40,Luke Zeller,Zeller,Luke,6/11/13,240,Forward/Center,FR,"Washington, IN/Washington",http://www.und.com/sports/m-baskbl/mtt/zeller_luke00.html
ND,MBBALL,2006-2007,41,Tim Andree,Andree,Tim,6/8/13,238,Forward,FR,"Colts Neck, NJ/Christian Brothers Aca.",http://www.und.com/sports/m-baskbl/mtt/andree_tim00.html
ND,MBBALL,2006-2007,42,Ryan Ayers,Ayers,Ryan,6/8/13,210,Guard/Forward,SO,"Blue Bell, PA/Germantown Academy",http://www.und.com/sports/m-baskbl/mtt/ayers_ryan00.html
ND,MBBALL,2006-2007,43,Russell Carter,Carter,Russell,6/4/13,220,Guard,SR,"Paulsboro, NJ/Paulsboro",http://www.und.com/sports/m-baskbl/mtt/carter_russell00.html
ND,MBBALL,2006-2007,15,Colin Falls,Falls,Colin,6/5/13,200,Guard,SR,"Park Ridge, Ill./Loyola Academy",http://www.und.com/sports/m-baskbl/mtt/falls_colin00.html
ND,MBBALL,2006-2007,44,Luke Harangody,Harangody,Luke,6/8/13,250,Forward,FR,"Schererville, IN/Andrean",http://www.und.com/sports/m-baskbl/mtt/harangody_luke00.html
ND,MBBALL,2006-2007,11,Joe Harden,Harden,Joe,6/7/13,212,Guard,FR,"Acampo, CA/St. Mary's",http://www.und.com/sports/m-baskbl/mtt/harden_joe00.html
ND,MBBALL,2006-2007,33,Zach Hillesland,Hillesland,Zach,6/9/13,227,Forward,SO,"Toledo, OH/St. John's Jesuit",http://www.und.com/sports/m-baskbl/mtt/hillesland_zach00.html
ND,MBBALL,2006-2007,2,Tory Jackson,Jackson,Tory,5/10/13,185,Guard,FR,"Saginaw, MI/Buena Vista",http://www.und.com/sports/m-baskbl/mtt/jackson_tory00.html
ND,MBBALL,2006-2007,31,Rob Kurz,Kurz,Rob,6/9/13,235,Forward,JR,"Lower Gwynedd, PA/Penn Charter",http://www.und.com/sports/m-baskbl/mtt/kurz_rob00.html
ND,MBBALL,2006-2007,20,Jonathan Peoples,Peoples,Jonathan,6/3/13,214,Guard,FR,"Bellwood, IL/St. Joseph",http://www.und.com/sports/m-baskbl/mtt/peoples_jonathan00.html
ND,MBBALL,2006-2007,35,Kieran Piller,Piller,Kieran,6/2/13,198,Guard,SR,"Endicott, NY/Union-Endicott",http://www.und.com/sports/m-baskbl/mtt/piller_kieran00.html
ND,MBBALL,2006-2007,40,Luke Zeller,Zeller,Luke,6/11/13,245,Forward/Center,SO,"Washington, IN/Washington",http://www.und.com/sports/m-baskbl/mtt/zeller_luke00.html
ND,MBBALL,2007-2008,41,Tim Andree,Andree,Tim,6/8/13,210,Forward,SO,"Colts Neck, NJ/Christian Brothers Academy",http://www.und.com/sports/m-baskbl/mtt/andree_tim00.html
ND,MBBALL,2007-2008,42,Ryan Ayers,Ayers,Ryan,6/7/13,210,Guard/Forward,JR,"Blue Bell, PA/Germantown Academy",http://www.und.com/sports/m-baskbl/mtt/ayers_ryan00.html
ND,MBBALL,2007-2008,44,Luke Harangody,Harangody,Luke,6/8/13,251,Forward,SO,"Schererville, IN/Andrean",http://www.und.com/sports/m-baskbl/mtt/harangody_luke00.html
ND,MBBALL,2007-2008,33,Zach Hillesland,Hillesland,Zach,6/9/13,233,Forward,JR,"Toledo, OH/St. John's Jesuit",http://www.und.com/sports/m-baskbl/mtt/hillesland_zach00.html
ND,MBBALL,2007-2008,2,Tory Jackson,Jackson,Tory,5/11/13,193,Guard,SO,"Saginaw, MI/Buena Vista",http://www.und.com/sports/m-baskbl/mtt/jackson_tory00.html
ND,MBBALL,2007-2008,5,Tom Kopko,Kopko,Tom,6/2/13,180,Guard,FR,"Chicago, IL/St. Laurence",http://www.und.com/sports/m-baskbl/mtt/kopko_tom00.html
ND,MBBALL,2007-2008,31,Rob Kurz,Kurz,Rob,6/9/13,232,Forward,SR,"Lower Gwynedd, PA/Penn Charter",http://www.und.com/sports/m-baskbl/mtt/kurz_rob00.html
ND,MBBALL,2007-2008,23,Kyle McAlarney,McAlarney,Kyle,6/1/00,196,Guard,JR,"Staten Island, NY/Moore Catholic",http://www.und.com/sports/m-baskbl/mtt/mcalarney_kyle00.html
ND,MBBALL,2007-2008,1,Tyrone Nash,Nash,Tyrone,6/8/13,220,Guard,FR,"Queens, NY/Lawrence Woodmere Academy & Northfield Mt. Hermon",http://www.und.com/sports/m-baskbl/mtt/nash_tyrone00.html
ND,MBBALL,2007-2008,20,Jonathan Peoples,Peoples,Jonathan,6/3/13,215,Guard,SO,"Bellwood, IL/St. Joseph",http://www.und.com/sports/m-baskbl/mtt/peoples_jonathan00.html
ND,MBBALL,2007-2008,13,Ty Proffitt,Proffitt,Ty,6/4/13,206,Guard,FR,"London, KY/South Laurel",http://www.und.com/sports/m-baskbl/mtt/proffitt_ty00.html
ND,MBBALL,2007-2008,34,Carleton Scott,Scott,Carleton,6/7/13,198,Forward,FR,"San Antonio, TX/James Madison",http://www.und.com/sports/m-baskbl/mtt/scott_carleton00.html
ND,MBBALL,2007-2008,40,Luke Zeller,Zeller,Luke,6/10/13,239,Forward/Center,JR,"Washington, IN/Washington",http://www.und.com/sports/m-baskbl/mtt/zeller_luke00.html
ND,MBBALL,2008-2009,21,Tim Abromaitis,Abromaitis,Tim,6/8/13,232,Forward,SO,"Unionville, CT/Farmington",http://www.und.com/sports/m-baskbl/mtt/abromaitis_tim00.html
ND,MBBALL,2008-2009,41,Tim Andree,Andree,Tim,6/8/13,213,Forward,JR,"Colts Neck, NJ/Christian Brothers Academy",http://www.und.com/sports/m-baskbl/mtt/andree_tim00.html
ND,MBBALL,2008-2009,42,Ryan Ayers,Ayers,Ryan,6/7/13,210,Guard,SR,"Blue Bell, PA/Germantown Academy",http://www.und.com/sports/m-baskbl/mtt/ayers_ryan00.html
ND,MBBALL,2008-2009,22,Ben Hansbrough,Hansbrough,Ben,6/3/13,206,Guard,JR,"Poplar Bluff, MO/Poplar Bluff",http://www.und.com/sports/m-baskbl/mtt/hansbrough_ben00.html
ND,MBBALL,2008-2009,44,Luke Harangody,Harangody,Luke,6/8/13,255,Forward,JR,"Schererville, IN/Andrean",http://www.und.com/sports/m-baskbl/mtt/harangody_luke00.html
ND,MBBALL,2008-2009,33,Zach Hillesland,Hillesland,Zach,6/9/13,228,Forward,SR,"Toledo, OH/St. John's Jesuit",http://www.und.com/sports/m-baskbl/mtt/hillesland_zach00.html
ND,MBBALL,2008-2009,2,Tory Jackson,Jackson,Tory,5/11/13,193,Guard,JR,"Saginaw, MI/Buena Vista",http://www.und.com/sports/m-baskbl/mtt/jackson_tory00.html
ND,MBBALL,2008-2009,5,Tom Kopko,Kopko,Tom,6/2/13,184,Guard,SO,"Chicago, IL/St. Laurence",http://www.und.com/sports/m-baskbl/mtt/kopko_tom00.html
ND,MBBALL,2008-2009,14,Scott Martin,Martin,Scott,6/8/13,212,Guard,SO,"Valparaiso, IN/Valparaiso",http://www.und.com/sports/m-baskbl/mtt/martin_scott00.html
ND,MBBALL,2008-2009,23,Kyle McAlarney,McAlarney,Kyle,6/1/00,195,Guard,SR,"Staten Island, NY/Moore Catholic",http://www.und.com/sports/m-baskbl/mtt/mcalarney_kyle00.html
ND,MBBALL,2008-2009,1,Tyrone Nash,Nash,Tyrone,6/8/13,228,Guard/Forward,SO,"Queens, NY/Lawrence Woodmere Academy & Northfield Mt. Hermon",http://www.und.com/sports/m-baskbl/mtt/nash_tyrone00.html
ND,MBBALL,2008-2009,20,Jonathan Peoples,Peoples,Jonathan,6/3/13,215,Guard,JR,"Bellwood, IL/St. Joseph",http://www.und.com/sports/m-baskbl/mtt/peoples_jonathan00.html
ND,MBBALL,2008-2009,34,Carleton Scott,Scott,Carleton,6/7/13,215,Forward,SO,"San Antonio, TX/James Madison",http://www.und.com/sports/m-baskbl/mtt/scott_carleton00.html
ND,MBBALL,2008-2009,40,Luke Zeller,Zeller,Luke,6/11/13,245,Forward/Center,SR,"Washington, IN/Washington",http://www.und.com/sports/m-baskbl/mtt/zeller_luke00.html
ND,MBBALL,2009-2010,21,Tim Abromaitis,Abromaitis,Tim,6/8/13,235,Forward,JR,"Unionville, CT/Farmington",http://www.und.com/sports/m-baskbl/mtt/abromaitis_tim00.html
ND,MBBALL,2009-2010,41,Tim Andree,Andree,Tim,6/8/13,214,Forward,SR,"Colts Neck, NJ/Christian Brothers Academy",http://www.und.com/sports/m-baskbl/mtt/andree_tim00.html
ND,MBBALL,2009-2010,33,Mike Broghammer,Broghammer,Mike,6/9/13,243,Forward,FR,"Orono, MN/Hopkins",http://www.und.com/sports/m-baskbl/mtt/broghammer_mike00.html
ND,MBBALL,2009-2010,32,Joey Brooks,Brooks,Joey,6/5/13,215,Guard,FR,"Houston, TX/Strake Jesuit College Prep",http://www.und.com/sports/m-baskbl/mtt/brooks_joey00.html
ND,MBBALL,2009-2010,45,Jack Cooley,Cooley,Jack,6/9/13,244,Forward,FR,"Glenview, IL/Glenbrook South",http://www.und.com/sports/m-baskbl/mtt/cooley_jack00.html
ND,MBBALL,2009-2010,23,Ben Hansbrough,Hansbrough,Ben,6/3/13,206,Guard,SR,"Poplar Bluff, MO/Poplar Bluff",http://www.und.com/sports/m-baskbl/mtt/hansbrough_ben00.html
ND,MBBALL,2009-2010,44,Luke Harangody,Harangody,Luke,6/8/13,246,Forward,SR,"Schererville, IN/Andrean",http://www.und.com/sports/m-baskbl/mtt/harangody_luke00.html
ND,MBBALL,2009-2010,3,Tory Jackson,Jackson,Tory,5/11/13,195,Guard,SR,"Saginaw, MI/Buena Vista",http://www.und.com/sports/m-baskbl/mtt/jackson_tory00.html
ND,MBBALL,2009-2010,25,Tom Knight,Knight,Tom,6/9/13,251,Forward,FR,"Dixfield, ME/Dirigo",http://www.und.com/sports/m-baskbl/mtt/knight_tom00.html
ND,MBBALL,2009-2010,5,Tom Kopko,Kopko,Tom,6/2/13,183,Guard,JR,"Chicago, IL/St. Laurence",http://www.und.com/sports/m-baskbl/mtt/kopko_tom00.html
ND,MBBALL,2009-2010,14,Scott Martin,Martin,Scott,6/8/13,219,Guard,JR,"Valparaiso, IN/Valparaiso",http://www.und.com/sports/m-baskbl/mtt/martin_scott00.html
ND,MBBALL,2009-2010,1,Tyrone Nash,Nash,Tyrone,6/8/13,232,Forward,JR,"Queens, NY/Lawrence Woodmere Academy & Northfield Mt. Hermon",http://www.und.com/sports/m-baskbl/mtt/nash_tyrone00.html
ND,MBBALL,2009-2010,20,Jonathan Peoples,Peoples,Jonathan,6/3/13,207,Guard,SR,"Bellwood, IL/St. Joseph",http://www.und.com/sports/m-baskbl/mtt/peoples_jonathan00.html
