ID_School,ID_Sport,Season,Number,Player,First_Name,Last_Name,Position,Height,Weight,Year,Hometown/Last_School,Player_URL,
ORE,MBBALL,2012-2013,0,Arik Armstead,Arik,Armstead,F,6/8/13,280,Fr.,"Sacramento, Calif. (Pleasant Grove HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205585515,
ORE,MBBALL,2012-2013,1,Dominic Artis,Dominic,Artis,G,6/1/13,185,Fr.,"San Francisco, Calif. (Findlay Prep)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205412041,
ORE,MBBALL,2012-2013,4,Nicholas Lucenti,Nicholas,Lucenti,G,6/2/13,197,Jr.,"Los Angeles, Calif. (Loyola HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205021724,
ORE,MBBALL,2012-2013,5,Fred Richardson III,Fred,Richardson III,G,6/4/13,202,Fr.,"Houston, Tex. (Clear Brook HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205424654,
ORE,MBBALL,2012-2013,10,Johnathan Loyd,Johnathan,Loyd,G,5/8/13,165,Jr.,"Las Vegas, Nev. (Bishop Gorman HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=204965535,
ORE,MBBALL,2012-2013,12,Coleton Baker,Coleton,Baker,G,6/3/13,200,Jr.,"Sutherlin, Ore. (Umpqua CC) (Oakland HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205588016,
ORE,MBBALL,2012-2013,14,Arsalan Kazemi,Arsalan,Kazemi,F,6/7/13,226,Sr.,"Esfahan, Iran (Patterson HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205696358,
ORE,MBBALL,2012-2013,20,Waverly Austin,Waverly,Austin,C,6/11/13,270,Jr.,"Fredricksburg, Va. (Palm Beach State College) (Progressive Christian Academy)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205696102,
ORE,MBBALL,2012-2013,21,Damyean Dotson,Damyean,Dotson,G,6/5/13,202,Fr.,"Houston, Tex. (Yates HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205412040,
ORE,MBBALL,2012-2013,24,Willie Moore,Willie,Moore,G,6/3/13,199,Fr.,"Cincinnati, Ohio (Aiken HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205424711,
ORE,MBBALL,2012-2013,25,E.J. Singler,E.J.,Singler,F,6/6/13,215,Sr.,"Medford, Ore. (South Medford HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=3748530,
ORE,MBBALL,2012-2013,32,Ben Carter,Ben,Carter,F,6/8/13,219,Fr.,"Las Vegas, Nev. (Bishop Gorman HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205412196,
ORE,MBBALL,2012-2013,33,Carlos Emory,Carlos,Emory,F,6/5/13,205,Sr.,"Bloomington, Minn. (Howard College)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205185541,
ORE,MBBALL,2012-2013,40,Austin Kuemper,Austin,Kuemper,C,6/9/13,225,RFr.,"Portland, Ore. (Westview HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205185545,
ORE,MBBALL,2012-2013,55,Tony Woods,Tony,Woods,C,6/11/13,243,Sr.,"Rome, Ga. (Wake Forest) (Rome HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205185549,
ORE,MBBALL,2011-2012,3,Garrett Sim,Garrett,Sim,G,6/2/13,185,Sr.,"Portland, Ore. (Sunset HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=1603562,
ORE,MBBALL,2011-2012,4,Nicholas Lucenti,Nicholas,Lucenti,G,6/3/13,212,So.,"Los Angeles, Calif. (Loyola HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205021724,
ORE,MBBALL,2011-2012,5,Olu Ashaolu,Olu,Ashaolu,F,6/7/13,220,Sr.,"Toronto, Canada (Louisiana Tech) (Christian Life Center Academy)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205185494,
ORE,MBBALL,2011-2012,10,Johnathan Loyd,Johnathan,Loyd,G,5/8/13,165,So.,"Las Vegas, Nev. (Bishop Gorman HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=204965535,
ORE,MBBALL,2011-2012,12,Brett Kingma,Brett,Kingma,G,6/1/13,175,Fr.,"Mill Creek, Wash. (Jackson HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205185498,
ORE,MBBALL,2011-2012,23,Jeremy Jacob,Jeremy,Jacob,F,6/8/13,230,RSr.,"Baton Rouge, La. (Chipola College) (Hargrave Military Academy)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=3748532,
ORE,MBBALL,2011-2012,25,E.J. Singler,E.J.,Singler,F,6/6/13,215,Jr.,"Medford, Ore. (South Medford HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=3748530,
ORE,MBBALL,2011-2012,31,Tyrone Nared,Tyrone,Nared,F,6/8/13,220,Sr.,"Woonsocket, R.I. (Monroe College) (Woonsocket HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=204965537,
ORE,MBBALL,2011-2012,33,Carlos Emory,Carlos,Emory,F,6/6/13,225,Jr.,"Bloomington, Minn. (Howard College)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205185541,
ORE,MBBALL,2011-2012,34,Devoe Joseph,Devoe,Joseph,G,6/4/13,180,Sr.,"Toronto, Ontario (Minnesota) (Pickering HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205185537,
ORE,MBBALL,2011-2012,40,Austin Kuemper,Austin,Kuemper,C,6/9/13,230,Fr.,"Portland, Ore. (Westview HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205185545,
ORE,MBBALL,2011-2012,42,Chris Larson,Chris,Larson,C,6/11/13,220,Jr.,"Hudson, Iowa (Black Hawk CC) (Hudson HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205185548,
ORE,MBBALL,2011-2012,55,Tony Woods,Tony,Woods,C,6/11/13,250,Jr.,"Rome, Ga. (Wake Forest) (Rome HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205185549,
ORE,MBBALL,2010-2011,1,Nicholas Fearn,Nicholas,Fearn,G,6/1/13,188,Jr.,"Seattle, Wash. (Seattle Prep)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=1320690,
ORE,MBBALL,2010-2011,2,Matt Losli,Matt,Losli,G,6/4/13,185,So.,"Tualatin, Ore. (Tualatin HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205028903,
ORE,MBBALL,2010-2011,3,Garrett Sim,Garrett,Sim,G,6/1/13,181,Jr.,"Portland, Ore. (Sunset HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=1603562,
ORE,MBBALL,2010-2011,4,Nicholas Lucenti,Nicholas,Lucenti,G,6/3/13,212,Fr.,"Los Angeles, Calif. (Loyola HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205021724,
ORE,MBBALL,2010-2011,10,Johnathan Loyd,Johnathan,Loyd,G,5/8/13,160,Fr.,"Las Vegas, Nev. (Bishop Gorman HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=204965535,
ORE,MBBALL,2010-2011,11,Malcolm Armstead,Malcolm,Armstead,G,6/1/00,195,Jr.,"Florence, Ala. (Chipola College) (Central Park Christian)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=3748525,
ORE,MBBALL,2010-2011,12,Martin Seiferth,Martin,Seiferth,C,6/10/13,223,Fr.,"Berlin, Germany (VFB Hermsdorf)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=205007691,
ORE,MBBALL,2010-2011,15,John Elorriaga,John,Elorriaga,G,6/2/13,205,Jr.,"Portland, Ore. (Jesuit HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=4295&SPID=235&DB_OEM_ID=500&ATCLID=1320689,
