ID_School,ID_Sport,Season,Number,Player,First_Name,Last_Name,Position,Weight,Height,Year,Eligibility,Hometown/Prior_School,Player_URL
LSU,FBALL,2011-2012,1,Eric Reid,Eric,Reid,S,6/2/13,208,So.,1L,"Geismar, La.; (Dutchtown HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204879620
LSU,FBALL,2011-2012,2,Rueben Randle,Rueben,Randle,WR,6/4/13,208,Jr.,3L,"Bastrop, La.; (Bastrop HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=3660021
LSU,FBALL,2011-2012,3,Jakhari Gore,Jakhari,Gore,WR,5/9/13,166,Fr.,SQ,"Miami, Fla.; (Christopher Columbus HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204879618
LSU,FBALL,2011-2012,4,Alfred Blue,Alfred,Blue,RB,6/2/13,215,So.,1L,"Boutte, La.; (Hahnville HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204879583
LSU,FBALL,2011-2012,5,Jarrett Fobbs,Jarrett,Fobbs,WR,5/11/13,195,Fr.,RS,"Shreveport, La.; (Huntington HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204880248
LSU,FBALL,2011-2012,6,Craig Loston,Craig,Loston,S,6/2/13,208,So.,1L,"Houston, Texas; (Eisenhower HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=3660130
LSU,FBALL,2011-2012,7,Tyrann Mathieu,Tyrann,Mathieu,CB,5/9/13,175,So.,2L,"New Orleans, La.; (St. Augustine HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204879593
LSU,FBALL,2011-2012,8,Zach Mettenberger,Zach,Mettenberger,QB,6/5/13,222,So.,JC,"Watkinsville, Ga.; (Oconee County HS/Butler CC)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205084538
LSU,FBALL,2011-2012,9,Ego Ferguson,Ego,Ferguson,DT,6/3/13,283,Fr.,RS,"Mims, Fla.; (Hargrave Military Academy)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204880257
LSU,FBALL,2011-2012,9,Jordan Jefferson,Jordan,Jefferson,QB,6/5/13,223,Sr.,4L,"St. Rose, La.; (Destrehan HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=1382572
LSU,FBALL,2011-2012,10,Nick Rice,Nick,Rice,DB,6/1/13,229,So.,SQ,"Coppell, Texas; (Coppell HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204973440
LSU,FBALL,2011-2012,10,Russell Shepard,Russell,Shepard,WR,6/1/13,185,Jr.,2L,"Houston, Texas; (Cypress Ridge HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=3660167
LSU,FBALL,2011-2012,11,Spencer Ware,Spencer,Ware,RB,5/11/13,223,So.,1L,"Cincinnati, Ohio; (Princeton HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=204879598
LSU,FBALL,2011-2012,12,Jarrett Lee,Jarrett,Lee,QB,6/2/13,206,Sr.,4L,"Brenham, Texas; (Brenham HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=785346
LSU,FBALL,2011-2012,13,Ron Brooks,Ron,Brooks,CB,6/1/00,177,Sr.,4L,"Irving, Texas; (MacArthur HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=785329
LSU,FBALL,2011-2012,13,Jared Foster,Jared,Foster,QB,6/1/00,184,Fr.,HS,"Lake Charles, La.; (Barbe HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205237675
LSU,FBALL,2011-2012,14,Terrence Magee,Terrence,Magee,RB,5/9/13,212,Fr.,HS,"Franklinton, La.; (Franklinton HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205087841
LSU,FBALL,2011-2012,15,Jerrard Randall,Jerrard,Randall,QB,6/1/13,180,Fr.,HS,"Hollywood, Fla.; (Mirimar HS)",http://www.lsusports.net/ViewArticle.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&ATCLID=205181039
