ID_School,ID_Sport,Season,Number,Player,Last_Name,First_Name,Position,Height,Weight,Year,Hometown_PriorSchool,Player URL
UNC,FBALL,2011-2012,2  ,Bryn Renner,Renner,Bryn,Quarterback,6/3/13,215,So.,"West Springfield, Va. (West Springfield)",http://www.goheels.com/ViewArticle.dbml?SPSID=667866&SPID=12962&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205497717&Q
UNC,FBALL,2011-2012,3  ,Joshua Adams,Adams,Joshua,Wide Receiver,6/4/13,200,So.,"Cambridge, Mass. (Chesire Academy (CT))",http://www.goheels.com/ViewArticle.dbml?SPSID=667866&SPID=12962&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205676694&Q
UNC,FBALL,2011-2012,4  ,Jabari Price,Price,Jabari,Cornerback,6/1/00,190,So.,"Pompano Beach, Fla. (Blanche Ely)",http://www.goheels.com/ViewArticle.dbml?SPSID=667866&SPID=12962&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205497734&Q
UNC,FBALL,2011-2012,5  ,T.J. Thorpe,Thorpe,T.J.,Wide Receiver,6/1/00,190,Fr.,"Durham, N.C. (Jordan)",http://www.goheels.com/ViewArticle.dbml?SPSID=667866&SPID=12962&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205497671&Q
UNC,FBALL,2011-2012,6  ,Sean Tapley,Tapley,Sean,Wide Receiver,6/1/13,185,Fr.,"Jacksonville, Fla. (Raines)",http://www.goheels.com/ViewArticle.dbml?SPSID=667866&SPID=12962&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205497660&Q
UNC,FBALL,2011-2012,7  ,Mywan Jackson,Jackson,Mywan,Cornerback,5/11/13,185,Jr.,"Seffner, Fla. (Armwood)",http://www.goheels.com/ViewArticle.dbml?SPSID=667866&SPID=12962&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205677037&Q
UNC,FBALL,2011-2012,8  ,Travis Riley,Riley,Travis,Running Back,6/1/13,210,Fr.,"Kannapolis, N.C. (A.L. Brown)",http://www.goheels.com/ViewArticle.dbml?SPSID=667866&SPID=12962&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205497655&Q
UNC,FBALL,2011-2012,9  ,Travis Hughes,Hughes,Travis,Linebacker,6/2/13,225,Fr.,"Virginia Beach, Va. (Kempsville)",http://www.goheels.com/ViewArticle.dbml?SPSID=667866&SPID=12962&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205497759&Q
UNC,FBALL,2011-2012,10  ,Tre Boston,Boston,Tre,Safety,6/1/13,190,So.,"Ft. Myers, Fla. (North Fort Myers)",http://www.goheels.com/ViewArticle.dbml?SPSID=667866&SPID=12962&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205497674&Q
UNC,FBALL,2011-2012,11  ,Sam Smiley,Smiley,Sam,Defensive Back,5/11/13,175,Fr.,"Jacksonville, Fla. (Raines)",http://www.goheels.com/ViewArticle.dbml?SPSID=667866&SPID=12962&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205497746&Q
UNC,FBALL,2011-2012,12  ,Charles Brown,Brown,Charles,Cornerback,5/10/13,205,Sr.,"Maple Heights, Ohio (Maple Heights)",http://www.goheels.com/ViewArticle.dbml?SPSID=667866&SPID=12962&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205676708&Q
UNC,FBALL,2011-2012,12  ,Marquise Williams,Williams,Marquise,Quarterback,6/2/13,220,Fr.,"Charlotte, N.C. (Mallard Creek)",http://www.goheels.com/ViewArticle.dbml?SPSID=667866&SPID=12962&DB_LANG=C&SITE=UNC&DB_OEM_ID=3350&ATCLID=205497749&Q
