ID_Sport,ID_School,Season,Player,First_Name,Last_Name,Height,Weight,Year,Hometown/Prior_School,Player_URL
MTEN,ND,2005-2006,Irackli Akhvlediani,Irackli,Akhvlediani,5/7/13,145,JR,"Vienna, Austria/Vienna International School",http://www.und.com//sports/m-tennis/mtt/akhvlediani_irackli00.html
MTEN,ND,2005-2006,Stephen Bass,Stephen,Bass,5/11/13,165,JR,"Bronxville, NY/Iona Prep School",http://www.und.com//sports/m-tennis/mtt/bass_stephen00.html
MTEN,ND,2005-2006,Patrick Buchanan,Patrick,Buchanan,5/7/13,140,SR,"Fullerton, CA/Servite",http://www.und.com//sports/m-tennis/mtt/buchanan_patrick00.html
MTEN,ND,2005-2006,Brett Helgeson,Brett,Helgeson,6/4/13,180,FR,"Overland Park, KS/Blue Valley West",http://www.und.com//sports/m-tennis/mtt/helgeson_brett00.html
MTEN,ND,2005-2006,Ryan Keckley,Ryan,Keckley,6/1/13,160,JR,"South Bend, IN/St. Joseph's",http://www.und.com//sports/m-tennis/mtt/keckley_ryan00.html
MTEN,ND,2005-2006,Barry King,Barry,King,6/4/13,186,JR,"Dublin, Ireland/Gonzaga College",http://www.und.com//sports/m-tennis/mtt/king_barry00.html
MTEN,ND,2005-2006,Eric Langenkamp,Eric,Langenkamp,6/1/13,172,SR,"Scarsdale, NY/Scarsdale",http://www.und.com//sports/m-tennis/mtt/langenkamp_eric00.html
MTEN,ND,2005-2006,Santiago Montoya,Santiago,Montoya,6/1/13,165,FR,"Austin, TX/St. Stephen's Episcopal School",http://www.und.com//sports/m-tennis/mtt/montoya_santiago00.html
MTEN,ND,2005-2006,Sheeva Parbhu,Sheeva,Parbhu,5/11/13,150,SO,"Omaha, NE/Millard North",http://www.und.com//sports/m-tennis/mtt/parbhu_sheeva00.html
MTEN,ND,2005-2006,Brandon Pierpont,Brandon,Pierpont,6/1/13,170,SO,"St. Petersburg, FL/Tampa Preparatory",http://www.und.com//sports/m-tennis/mtt/pierpont_brandon00.html
MTEN,ND,2005-2006,Andrew Roth,Andrew,Roth,5/9/13,160,SO,"Houston, TX/Tenney School",http://www.und.com//sports/m-tennis/mtt/roth_andrew00.html
MTEN,ND,2005-2006,Yuichi Uda,Yuichi,Uda,5/8/13,130,SO,"Wesley Chapel, FL/Laurel Springs School (CA)",http://www.und.com//sports/m-tennis/mtt/uda_yuichi00.html
MTEN,ND,2006-2007,Irackli Akhvlediani,Irackli,Akhvlediani,5/7/13,145,SR,"Vienna, Austria/Vienna International School",http://www.und.com//sports/m-tennis/mtt/akhvlediani_irackli00.html
MTEN,ND,2006-2007,Stephen Bass,Stephen,Bass,5/11/13,165,SR,"Bronxville, NY/Iona Prep School",http://www.und.com//sports/m-tennis/mtt/bass_stephen00.html
MTEN,ND,2006-2007,Patrick Callaghan,Patrick,Callaghan,5/11/13,145,FR,"Iowa City, IA/Iowa City West",http://www.und.com//sports/m-tennis/mtt/callaghan_patrick00.html
MTEN,ND,2006-2007,Sean Corrigan,Sean,Corrigan,6/1/00,160,FR,"Lido Beach, NY/Long Beach",http://www.und.com//sports/m-tennis/mtt/corrigan_sean00.html
