,DOE.Institution_Name,Year,SportName,Total.Revenue,Total.Expense,Total.Profit,Men.Revenue,Men.Expense,Men.Profit,Women.Revenue,Women.Expense,Women.Profit,Male.Athletes,Female.Athletes,Men.Team.Expense,Women.Team.Expense,SportCode,Coed.Athletes,Total.Women.Including.Coed.Expense,Total.Men.Including.Coed.Expense,Coed.Expense,Women.Coed.Expense,Men.Coed.Expense,Women.Men.Expense,Women.Including.Coed.Revenue,Men.Including.Coed.Revenue,Coed.Revenue,Women.Coed.Revenue,Men.Coed.Revenue,Total.Men.Women.Revenue,Total.Team.Expense,Total.Women.Team.Expense.Including.Coed,Total.Men.Team.Expense.Including.Coed,Total.Coed.Team.Expense,Total.Women.Coed.Team.Expense,Total.Men.Coed.Team.Expense,Total.Men.Women.Team.Expense,Total.Female.Including.Coed,Total.Male.Including.Coed,Female.Coed.Athletes,Male.Coed.Athletes
3,Abilene Christian University                      ,2000-2001,Football,1186130,1073720,112410,1186130,1073720,112410,NA,NA,NA,102,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Abilene Christian University                      ,2001-2002,Football,1193031,1212635,-19604,1193031,1212635,-19604,NA,NA,NA,119,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Adams State College                               ,2000-2001,Football,61489,363728,-302239,61489,363728,-302239,NA,NA,NA,96,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,Adams State College                               ,2001-2002,Football,381748,398823,-17075,381748,398823,-17075,NA,NA,NA,153,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,Adrian College                                    ,2000-2001,Football,40500,156240,-115740,40500,156240,-115740,NA,NA,NA,128,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,Adrian College                                    ,2001-2002,Football,147500,170847,-23347,147500,170847,-23347,NA,NA,NA,114,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,Albany State University                           ,2000-2001,Football,194840,568769,-373929,194840,568769,-373929,NA,NA,NA,70,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,Albany State University                           ,2001-2002,Football,158453,403959,-245506,158453,403959,-245506,NA,NA,NA,71,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,Albion College                                    ,2000-2001,Football,271057,269619,1438,271057,269619,1438,NA,NA,NA,108,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,Albion College                                    ,2001-2002,Football,347965,312964,35001,347965,312964,35001,NA,NA,NA,119,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,Albright College                                  ,2000-2001,Football,231931,56578,175353,231931,56578,175353,NA,NA,NA,104,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264,Albright College                                  ,2001-2002,Football,238270,253724,-15454,238270,253724,-15454,NA,NA,NA,79,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,Alcorn State University                           ,2000-2001,Football,223765,155012,68753,223765,155012,68753,NA,NA,NA,90,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,Alcorn State University                           ,2001-2002,Football,722615,127580,595035,722615,127580,595035,NA,NA,NA,94,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
