Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.NON,T.NON.M,T.NON.F
1984-1985,100751,The University of Alabama,Bachelor's degree,Home Economics,19',73,2,71,68,1,67,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100751,The University of Alabama,Bachelor's degree,Mathematics,27',24,7,17,18,7,11,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100751,The University of Alabama,Bachelor's degree,Multi/Interdisciplinary Studies,30',91,50,41,87,50,37,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100751,The University of Alabama,Bachelor's degree,Public Affairs,44',14,1,13,14,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100858,Auburn University,Bachelor's degree,Allied Health,17',23,1,22,22,0,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100858,Auburn University,Bachelor's degree,Agricultural Sciences,2',84,63,21,83,63,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100858,Auburn University,Bachelor's degree,Philosophy and Religion,38',7,4,3,6,3,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1984-1985,100858,Auburn University,Bachelor's degree,Physical Sciences,40',58,42,16,56,41,15,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
1984-1985,100858,Auburn University,Bachelor's degree,Psychology,42',52,17,35,49,16,33,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0
1984-1985,100858,Auburn University,Bachelor's degree,Social Sciences,45',109,77,32,107,77,30,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100858,Auburn University,Bachelor's degree,Area and Ethnic Studies,5',2,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1984-1985,100858,Auburn University,Bachelor's degree,Business and Management,6',657,399,258,641,389,252,6,3,3,2,1,1,0,0,0,0,0,0,8,6,2
1984-1985,100858,Auburn University,Bachelor's degree,Marketing and Distribution,8',28,0,28,27,0,27,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,122755,San Jose State University,Bachelor's degree,Engineering,14',317,259,58,132,109,23,2,2,0,9,7,2,100,76,24,5,5,0,18,17,1
1984-1985,122755,San Jose State University,Bachelor's degree,Parks and Recreation,31',31,11,20,17,6,11,0,0,0,4,2,2,6,1,5,0,0,0,0,0,0
1984-1985,122755,San Jose State University,Bachelor's degree,Protective Services,43',76,52,24,36,30,6,7,3,4,15,5,10,6,5,1,5,5,0,0,0,0
1984-1985,122755,San Jose State University,Bachelor's degree,Public Affairs,44',18,2,16,6,1,5,0,0,0,7,1,6,1,0,1,0,0,0,0,0,0
1984-1985,122755,San Jose State University,Bachelor's degree,Social Sciences,45',265,118,147,171,66,105,12,8,4,20,14,6,13,3,10,4,3,1,5,5,0
1984-1985,122755,San Jose State University,Bachelor's degree,Business and Management,6',917,492,425,543,296,247,31,17,14,47,29,18,103,43,60,58,31,27,25,14,11
1984-1985,123961,University of Southern California,Bachelor's degree,Communications Technologies,10',55,40,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,123961,University of Southern California,Bachelor's degree,Education,13',53,5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,123961,University of Southern California,Bachelor's degree,Philosophy and Religion,38',7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,123961,University of Southern California,Bachelor's degree,Psychology,42',107,41,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,123961,University of Southern California,Bachelor's degree,Public Affairs,44',90,47,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,123961,University of Southern California,Bachelor's degree,Social Sciences,45',247,148,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100751,The University of Alabama,Bachelor's degree,Computer and Information Sciences,11',51,27,24,45,24,21,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100751,The University of Alabama,Bachelor's degree,Education,13',150,19,131,141,17,124,9,2,7,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100751,The University of Alabama,Bachelor's degree,Letters,23',38,13,25,32,9,23,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100751,The University of Alabama,Bachelor's degree,Liberal/General Studies,24',1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100751,The University of Alabama,Bachelor's degree,Life Sciences,26',52,24,28,49,22,27,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100751,The University of Alabama,Bachelor's degree,Business (Administrative Support),7',5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100751,The University of Alabama,Bachelor's degree,Communications,9',362,158,204,328,140,188,34,18,16,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100858,Auburn University,Bachelor's degree,Education,13',307,77,230,300,73,227,5,3,2,0,0,0,0,0,0,1,1,0,1,0,1
1984-1985,100858,Auburn University,Bachelor's degree,Engineering,14',690,595,95,652,567,85,20,14,6,6,5,1,5,4,1,0,0,0,7,5,2
1984-1985,100858,Auburn University,Bachelor's degree,Foreign Languages,16',68,10,58,68,10,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100858,Auburn University,Bachelor's degree,Health Sciences,18',161,39,122,154,37,117,4,2,2,0,0,0,2,0,2,0,0,0,1,0,1
1984-1985,100858,Auburn University,Bachelor's degree,Letters,23',53,22,31,52,21,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100858,Auburn University,Bachelor's degree,Protective Services,43',28,18,10,28,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100858,Auburn University,Bachelor's degree,Public Affairs,44',45,20,25,41,20,21,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100858,Auburn University,Bachelor's degree,Communications,9',144,36,108,140,34,106,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,122755,San Jose State University,Bachelor's degree,Education,13',32,21,11,23,14,9,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0
1984-1985,122755,San Jose State University,Bachelor's degree,Health Sciences,18',215,23,192,138,18,120,5,0,5,9,2,7,25,2,23,10,1,9,1,0,1
1984-1985,122755,San Jose State University,Bachelor's degree,Mathematics,27',162,85,77,64,36,28,2,2,0,2,2,0,50,24,26,3,2,1,21,9,12
1984-1985,122755,San Jose State University,Bachelor's degree,Philosophy and Religion,38',14,11,3,12,9,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1984-1985,122755,San Jose State University,Bachelor's degree,Architecture and Environmental Design,4',30,5,25,18,2,16,1,0,1,0,0,0,3,1,2,3,1,2,2,1,1
1984-1985,122755,San Jose State University,Bachelor's degree,Area and Ethnic Studies,5',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,123961,University of Southern California,Bachelor's degree,Engineering and Engineering Related Technologies,15',8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,123961,University of Southern California,Bachelor's degree,Allied Health,17',62,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,123961,University of Southern California,Bachelor's degree,Letters,23',64,24,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,123961,University of Southern California,Bachelor's degree,Life Sciences,26',100,59,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100751,The University of Alabama,Bachelor's degree,Engineering and Engineering Related Technologies,15',43,38,5,32,28,4,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100751,The University of Alabama,Bachelor's degree,Allied Health,17',6,1,5,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100751,The University of Alabama,Bachelor's degree,Vocational Home Economics,20',2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100751,The University of Alabama,Bachelor's degree,Philosophy and Religion,38',5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100751,The University of Alabama,Bachelor's degree,Physical Sciences,40',53,46,7,52,45,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100751,The University of Alabama,Bachelor's degree,Protective Services,43',22,12,10,15,11,4,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100751,The University of Alabama,Bachelor's degree,Area and Ethnic Studies,5',5,4,1,4,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100751,The University of Alabama,Bachelor's degree,Business and Management,6',616,347,269,583,338,245,33,9,24,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100858,Auburn University,Bachelor's degree,Computer and Information Sciences,11',24,14,10,23,14,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1984-1985,100858,Auburn University,Bachelor's degree,Life Sciences,26',55,36,19,55,36,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100858,Auburn University,Bachelor's degree,Theology,39',1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100858,Auburn University,Bachelor's degree,Architecture and Environmental Design,4',225,181,44,220,176,44,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0
1984-1985,100858,Auburn University,Bachelor's degree,Science Technologies,41',17,5,12,16,5,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100858,Auburn University,Bachelor's degree,Business (Administrative Support),7',26,0,26,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,122755,San Jose State University,Bachelor's degree,Foreign Languages,16',21,1,20,13,0,13,0,0,0,4,0,4,1,0,1,0,0,0,0,0,0
1984-1985,122755,San Jose State University,Bachelor's degree,Home Economics,19',39,4,35,22,2,20,0,0,0,5,0,5,5,1,4,1,0,1,0,0,0
1984-1985,122755,San Jose State University,Bachelor's degree,Liberal/General Studies,24',95,9,86,67,8,59,1,0,1,11,1,10,1,0,1,4,0,4,0,0,0
1984-1985,122755,San Jose State University,Bachelor's degree,Life Sciences,26',81,39,42,53,27,26,3,3,0,0,0,0,6,1,5,5,2,3,5,1,4
1984-1985,122755,San Jose State University,Bachelor's degree,Multi/Interdisciplinary Studies,30',44,18,26,24,12,12,2,0,2,1,0,1,5,2,3,3,0,3,0,0,0
1984-1985,122755,San Jose State University,Bachelor's degree,Physical Sciences,40',93,69,24,64,48,16,0,0,0,2,2,0,7,4,3,4,4,0,2,1,1
1984-1985,122755,San Jose State University,Bachelor's degree,Psychology,42',128,36,92,81,20,61,9,3,6,9,5,4,7,2,5,7,3,4,3,1,2
1984-1985,122755,San Jose State University,Bachelor's degree,Visual and Performing Arts,50',266,89,177,145,43,102,4,2,2,10,5,5,45,19,26,19,6,13,8,1,7
1984-1985,122755,San Jose State University,Bachelor's degree,Communications,9',274,119,155,170,69,101,23,8,15,19,10,9,14,7,7,5,1,4,5,3,2
1984-1985,123961,University of Southern California,Bachelor's degree,Engineering,14',426,374,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,123961,University of Southern California,Bachelor's degree,Foreign Languages,16',40,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100751,The University of Alabama,Bachelor's degree,Engineering,14',369,306,63,339,288,51,30,18,12,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100751,The University of Alabama,Bachelor's degree,Foreign Languages,16',7,3,4,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100751,The University of Alabama,Bachelor's degree,Health Sciences,18',192,27,165,158,21,137,34,6,28,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100751,The University of Alabama,Bachelor's degree,Law (non-first professional),22',11,10,1,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100751,The University of Alabama,Bachelor's degree,Parks and Recreation,31',16,10,6,16,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100751,The University of Alabama,Bachelor's degree,Architecture and Environmental Design,4',13,0,13,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100751,The University of Alabama,Bachelor's degree,Psychology,42',58,24,34,49,22,27,9,2,7,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100751,The University of Alabama,Bachelor's degree,Social Sciences,45',123,82,41,114,76,38,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100751,The University of Alabama,Bachelor's degree,Visual and Performing Arts,50',46,16,30,43,15,28,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100858,Auburn University,Bachelor's degree,Agricultural Business and Production,1',27,25,2,26,24,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-1985,100858,Auburn University,Bachelor's degree,Home Economics,19',76,4,72,75,4,71,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
