CIP_Classificaiton,Award_Level,Year,unitid,Institution_Name,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS.PI,T.AS.PI.M,T.AS.PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F,cipcode
Agribusiness and Agricultural Production,Bachelor's degree,1989-1990,100858,Auburn University,25,21,4,23,20,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,'01.0000'
Agribusiness and Agricultural Production,Bachelor's degree,1989-1990,209542,Oregon State University,58,41,17,49,35,14,0,0,0,0,0,0,1,1,0,0,0,0,4,3,1,4,2,2,'01.0000'
Agribusiness and Agricultural Production,Bachelor's degree,1989-1990,159391,Louisiana State University and Agricultural & Mechanical College,39,31,8,33,27,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,'01.0000'
Agribusiness and Agricultural Production,Bachelor's degree,1989-1990,217882,Clemson University,32,27,5,31,26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,'01.0000'
Agribusiness and Agricultural Production,Bachelor's degree,1989-1990,207388,Oklahoma State University-Main Campus,87,61,26,82,57,25,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,1,'01.0000'
Agribusiness and Agricultural Production,Bachelor's degree,1989-1990,155399,Kansas State University,89,77,12,81,69,12,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,6,6,0,'01.0000'
Agribusiness and Agricultural Production,Bachelor's degree,1989-1990,139959,University of Georgia,83,73,10,79,69,10,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,'01.0000'
Agribusiness and Agricultural Production,Bachelor's degree,1989-1990,181464,University of Nebraska-Lincoln,99,89,10,99,89,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'01.0000'
Agribusiness and Agricultural Production,Bachelor's degree,1989-1990,204796,Ohio State University-Main Campus,61,49,12,58,46,12,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,'01.0000'
Agribusiness and Agricultural Production,Bachelor's degree,1989-1990,228723,Texas A & M University-College Station,173,110,63,163,104,59,2,1,1,6,3,3,0,0,0,0,0,0,0,0,0,2,2,0,'01.0000'
Agribusiness and Agricultural Production,Bachelor's degree,1989-1990,134130,University of Florida,79,62,17,53,43,10,14,8,6,3,2,1,1,1,0,0,0,0,0,0,0,8,8,0,'01.0000'
Agribusiness and Agricultural Production,Bachelor's degree,1989-1990,243744,Stanford University,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'01.0000'
Agribusiness and Agricultural Production,Bachelor's degree,1989-1990,230728,Utah State University,16,15,1,15,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,'01.0000'
Agricultural Sciences,Bachelor's degree,1989-1990,100858,Auburn University,78,62,16,77,61,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'02.0000'
Agricultural Sciences,Bachelor's degree,1989-1990,186380,Rutgers University-New Brunswick,90,35,55,78,30,48,2,1,1,2,0,2,3,2,1,1,0,1,1,0,1,3,2,1,'02.0000'
Agricultural Sciences,Bachelor's degree,1989-1990,228723,Texas A & M University-College Station,398,226,172,362,205,157,4,3,1,17,8,9,2,1,1,1,1,0,0,0,0,12,8,4,'02.0000'
Agricultural Sciences,Bachelor's degree,1989-1990,217882,Clemson University,37,18,19,31,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,'02.0000'
Agricultural Sciences,Bachelor's degree,1989-1990,204796,Ohio State University-Main Campus,172,122,50,160,114,46,3,1,2,1,1,0,1,0,1,0,0,0,5,5,0,2,1,1,'02.0000'
Agricultural Sciences,Bachelor's degree,1989-1990,159391,Louisiana State University and Agricultural & Mechanical College,24,16,8,17,12,5,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,3,2,1,'02.0000'
Agricultural Sciences,Bachelor's degree,1989-1990,207388,Oklahoma State University-Main Campus,138,96,42,130,88,42,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,5,0,'02.0000'
Agricultural Sciences,Bachelor's degree,1989-1990,230728,Utah State University,39,33,6,28,24,4,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,7,5,2,'02.0000'
Agricultural Sciences,Bachelor's degree,1989-1990,139959,University of Georgia,75,45,30,70,42,28,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,3,0,'02.0000'
Agricultural Sciences,Bachelor's degree,1989-1990,181464,University of Nebraska-Lincoln,75,48,27,69,45,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,'02.0000'
Agricultural Sciences,Bachelor's degree,1989-1990,209542,Oregon State University,70,41,29,48,22,26,0,0,0,0,0,0,2,2,0,3,1,2,3,2,1,14,14,0,'02.0000'
Agricultural Sciences,Bachelor's degree,1989-1990,134130,University of Florida,61,34,27,45,22,23,3,2,1,5,3,2,1,0,1,0,0,0,0,0,0,7,7,0,'02.0000'
Agricultural Sciences,Bachelor's degree,1989-1990,155399,Kansas State University,154,119,35,132,101,31,1,1,0,7,4,3,0,0,0,0,0,0,0,0,0,14,13,1,'02.0000'
Allied Health,Bachelor's degree,1989-1990,123961,University of Southern California,66,2,64,49,1,48,0,0,0,7,1,6,5,0,5,1,0,1,0,0,0,4,0,4,'17.0000'
Allied Health,Bachelor's degree,1989-1990,170976,University of Michigan-Ann Arbor,19,0,19,16,0,16,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,'17.0000'
Allied Health,Bachelor's degree,1989-1990,122755,San Jose State University,72,6,66,41,5,36,2,0,2,6,1,5,20,0,20,0,0,0,3,0,3,0,0,0,'17.0000'
Allied Health,Bachelor's degree,1989-1990,228778,The University of Texas at Austin,6,3,3,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,'17.0000'
Allied Health,Bachelor's degree,1989-1990,142115,Boise State University,14,6,8,11,4,7,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,'17.0000'
Allied Health,Bachelor's degree,1989-1990,147767,Northwestern University,84,15,69,79,14,65,0,0,0,1,0,1,3,1,2,1,0,1,0,0,0,0,0,0,'17.0000'
Allied Health,Bachelor's degree,1989-1990,100751,The University of Alabama,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'17.0000'
Allied Health,Bachelor's degree,1989-1990,135726,University of Miami,9,1,8,4,1,3,1,0,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,'17.0000'
Allied Health,Bachelor's degree,1989-1990,157289,University of Louisville,34,12,22,32,12,20,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,'17.0000'
Allied Health,Bachelor's degree,1989-1990,134130,University of Florida,165,31,134,145,24,121,4,1,3,9,3,6,5,2,3,0,0,0,0,0,0,2,1,1,'17.0000'
Allied Health,Bachelor's degree,1989-1990,207388,Oklahoma State University-Main Campus,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'17.0000'
Allied Health,Bachelor's degree,1989-1990,230728,Utah State University,4,3,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,'17.0000'
Allied Health,Bachelor's degree,1989-1990,228246,Southern Methodist University,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,'17.0000'
Allied Health,Bachelor's degree,1989-1990,181464,University of Nebraska-Lincoln,10,7,3,9,6,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'17.0000'
Allied Health,Bachelor's degree,1989-1990,139959,University of Georgia,6,1,5,5,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'17.0000'
Allied Health,Bachelor's degree,1989-1990,100858,Auburn University,23,3,20,22,3,19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'17.0000'
Allied Health,Bachelor's degree,1989-1990,204796,Ohio State University-Main Campus,247,42,205,230,36,194,6,3,3,1,1,0,5,1,4,0,0,0,5,1,4,0,0,0,'17.0000'
Allied Health,Bachelor's degree,1989-1990,186380,Rutgers University-New Brunswick,25,3,22,22,2,20,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,'17.0000'
Allied Health,Bachelor's degree,1989-1990,155399,Kansas State University,8,0,8,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,'17.0000'
Allied Health,Bachelor's degree,1989-1990,198419,Duke University,39,11,28,36,9,27,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,'17.0000'
Allied Health,Bachelor's degree,1989-1990,199120,University of North Carolina at Chapel Hill,60,5,55,54,4,50,4,1,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,'17.0000'
Allied Health,Bachelor's degree,1989-1990,134097,Florida State University,25,2,23,22,1,21,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'17.0000'
Architecture and Environmental Design,Bachelor's degree,1989-1990,155399,Kansas State University,125,80,45,114,73,41,2,1,1,5,4,1,1,0,1,0,0,0,0,0,0,3,2,1,NA
Architecture and Environmental Design,Bachelor's degree,1989-1990,100858,Auburn University,63,46,17,62,45,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA
Architecture and Environmental Design,Bachelor's degree,1989-1990,100751,The University of Alabama,25,0,25,23,0,23,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,NA
Architecture and Environmental Design,Bachelor's degree,1989-1990,159391,Louisiana State University and Agricultural & Mechanical College,121,69,52,95,54,41,1,0,1,2,1,1,2,2,0,0,0,0,0,0,0,21,12,9,NA
Architecture and Environmental Design,Bachelor's degree,1989-1990,186380,Rutgers University-New Brunswick,56,39,17,51,37,14,2,1,1,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,NA
Architecture and Environmental Design,Bachelor's degree,1989-1990,217882,Clemson University,99,72,27,94,69,25,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA
Architecture and Environmental Design,Bachelor's degree,1989-1990,204796,Ohio State University-Main Campus,115,95,20,103,84,19,4,3,1,2,2,0,1,1,0,0,0,0,1,1,0,4,4,0,NA
Architecture and Environmental Design,Bachelor's degree,1989-1990,134097,Florida State University,72,11,61,63,9,54,2,0,2,5,1,4,2,1,1,0,0,0,0,0,0,0,0,0,NA
Architecture and Environmental Design,Bachelor's degree,1989-1990,207388,Oklahoma State University-Main Campus,45,38,7,29,26,3,0,0,0,3,2,1,1,1,0,0,0,0,0,0,0,12,9,3,NA
Architecture and Environmental Design,Bachelor's degree,1989-1990,135726,University of Miami,64,42,22,15,10,5,3,1,2,30,21,9,1,1,0,0,0,0,0,0,0,15,9,6,NA
Architecture and Environmental Design,Bachelor's degree,1989-1990,209551,University of Oregon,102,69,33,67,46,21,1,1,0,2,1,1,14,10,4,0,0,0,6,3,3,12,8,4,NA
Architecture and Environmental Design,Bachelor's degree,1989-1990,228778,The University of Texas at Austin,119,49,70,94,39,55,1,0,1,14,5,9,6,2,4,0,0,0,0,0,0,4,3,1,NA
Architecture and Environmental Design,Bachelor's degree,1989-1990,122755,San Jose State University,36,7,29,25,4,21,0,0,0,2,0,2,4,2,2,0,0,0,1,0,1,4,1,3,NA
Architecture and Environmental Design,Bachelor's degree,1989-1990,134130,University of Florida,111,69,42,98,57,41,2,2,0,6,5,1,3,3,0,0,0,0,0,0,0,2,2,0,NA
Architecture and Environmental Design,Bachelor's degree,1989-1990,228723,Texas A & M University-College Station,192,136,56,164,112,52,5,4,1,13,11,2,1,1,0,0,0,0,0,0,0,9,8,1,NA
Architecture and Environmental Design,Bachelor's degree,1989-1990,207500,University of Oklahoma Norman Campus,87,59,28,68,43,25,0,0,0,0,0,0,3,3,0,1,0,1,0,0,0,15,13,2,NA
Architecture and Environmental Design,Bachelor's degree,1989-1990,230728,Utah State University,32,21,11,27,16,11,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,1,0,NA
Architecture and Environmental Design,Bachelor's degree,1989-1990,157289,University of Louisville,18,3,15,16,3,13,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
Architecture and Environmental Design,Bachelor's degree,1989-1990,123961,University of Southern California,64,47,17,24,22,2,2,2,0,6,5,1,13,9,4,0,0,0,0,0,0,19,9,10,NA
Architecture and Environmental Design,Bachelor's degree,1989-1990,170976,University of Michigan-Ann Arbor,111,66,45,96,57,39,2,1,1,1,1,0,10,6,4,0,0,0,0,0,0,2,1,1,NA
Architecture and Environmental Design,Bachelor's degree,1989-1990,152080,University of Notre Dame,53,39,14,40,31,9,2,1,1,5,1,4,2,2,0,1,1,0,0,0,0,3,3,0,NA
Architecture and Environmental Design,Bachelor's degree,1989-1990,181464,University of Nebraska-Lincoln,61,51,10,49,41,8,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,10,9,1,NA
Architecture and Environmental Design,Bachelor's degree,1989-1990,139959,University of Georgia,46,34,12,42,32,10,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,207500,University of Oklahoma Norman Campus,5,3,2,4,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,209542,Oregon State University,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,159391,Louisiana State University and Agricultural & Mechanical College,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,186380,Rutgers University-New Brunswick,40,13,27,10,3,7,22,7,15,4,2,2,1,0,1,2,1,1,1,0,1,0,0,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,147767,Northwestern University,10,6,4,9,6,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,134130,University of Florida,10,4,6,6,2,4,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,204796,Ohio State University-Main Campus,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,134097,Florida State University,8,3,5,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,199120,University of North Carolina at Chapel Hill,114,29,85,104,29,75,5,0,5,2,0,2,2,0,2,0,0,0,0,0,0,1,0,1,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,243744,Stanford University,54,20,34,42,15,27,2,1,1,4,1,3,4,1,3,0,0,0,1,1,0,1,1,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,131496,Georgetown University,46,23,23,34,19,15,3,1,2,2,1,1,3,0,3,1,0,1,0,0,0,3,2,1,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,228778,The University of Texas at Austin,62,23,39,49,17,32,2,1,1,8,4,4,2,0,2,1,1,0,0,0,0,0,0,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,122755,San Jose State University,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,123961,University of Southern California,9,4,5,5,3,2,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,228246,Southern Methodist University,11,3,8,10,3,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Area and Ethnic Studies,Bachelor's degree,1989-1990,152080,University of Notre Dame,82,47,35,75,46,29,3,1,2,3,0,3,0,0,0,1,0,1,0,0,0,0,0,0,NA
