Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1991-1992,100858,Auburn University,Bachelor's degree,Agricultural Business and Production,'01.0000',34,31,3,32,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
1991-1992,100858,Auburn University,Bachelor's degree,Agricultural Sciences,'02.0000',117,76,41,114,74,40,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
1991-1992,100858,Auburn University,Bachelor's degree,Architecture and Related Programs,'04.0000',103,77,26,99,74,25,1,1,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0
1991-1992,100858,Auburn University,Bachelor's degree,Biological Sciences/Life Sciences,'26.0000',120,65,55,113,63,50,4,1,3,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0
1991-1992,100858,Auburn University,Bachelor's degree,Business Management and Admin. Services,'52.0000',1091,660,431,1040,630,410,33,19,14,6,4,2,6,3,3,2,2,0,0,0,0,4,2,2
1991-1992,100858,Auburn University,Bachelor's degree,Communications,'09.0000',147,49,98,143,47,96,3,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1991-1992,100858,Auburn University,Bachelor's degree,Computer and Information Sciences,'11.0000',14,10,4,13,10,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-1992,100858,Auburn University,Bachelor's degree,Conservation and Renewable Natural Resources,'03.0000',63,52,11,62,51,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-1992,100858,Auburn University,Bachelor's degree,Education,'13.0000',437,83,354,428,80,348,6,3,3,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0
1991-1992,100858,Auburn University,Bachelor's degree,Engineering,'14.0000',787,671,116,745,640,105,19,12,7,3,2,1,14,12,2,1,0,1,0,0,0,5,5,0
1991-1992,100858,Auburn University,Bachelor's degree,English Language and Literature/Letters,'23.0000',126,46,80,121,45,76,3,0,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
1991-1992,100858,Auburn University,Bachelor's degree,Foreign Languages and Literatures,'16.0000',41,13,28,39,11,28,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-1992,100858,Auburn University,Bachelor's degree,Health Professions and Related Sciences,'51.0000',213,42,171,202,39,163,5,1,4,3,2,1,2,0,2,0,0,0,0,0,0,1,0,1
1991-1992,100858,Auburn University,Bachelor's degree,Home Economics,'19.0000',107,5,102,105,5,100,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1991-1992,100858,Auburn University,Bachelor's degree,Marketing Opers./Market. and Distribution,'08.0000',31,0,31,30,0,30,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1991-1992,100858,Auburn University,Bachelor's degree,Mathematics,'27.0000',50,28,22,49,27,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-1992,100858,Auburn University,Bachelor's degree,Parks- Recreation- Leisure and Fitness,'31.0000',14,9,5,14,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-1992,100858,Auburn University,Bachelor's degree,Philosophy and Religion,'38.0000',10,8,2,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
