Year,unitid,Institution_Name,Major,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2003-2004,100858,Auburn University,First major,Bachelor's degree,Architecture and related services.,'04',102,61,41,93,59,34,3,1,2,0,0,0,0,0,0,2,0,2,1,0,1,3,1,2
2003-2004,100858,Auburn University,First major,Bachelor's degree,Biological and biomedical sciences.,'26',176,75,101,149,64,85,16,5,11,2,0,2,3,1,2,3,3,0,1,1,0,2,1,1
2003-2004,100858,Auburn University,First major,Bachelor's degree,Foreign languages- literatures- and linguistics.,'16',38,13,25,33,13,20,2,0,2,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0
2003-2004,100858,Auburn University,First major,Bachelor's degree,Mathematics and statistics.,'27',15,7,8,15,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,100858,Auburn University,First major,Bachelor's degree,Philosophy and religious studies.,'38',8,5,3,5,4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
2003-2004,100858,Auburn University,First major,Bachelor's degree,Psychology.,'42',146,41,105,127,36,91,16,5,11,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0
2003-2004,100858,Auburn University,First major,Bachelor's degree,Visual and performing arts.,'50',170,53,117,158,49,109,6,1,5,1,0,1,3,1,2,0,0,0,0,0,0,2,2,0
2003-2004,100858,Auburn University,First major,Bachelor's degree,Communication- journalism- and related programs.,'09',169,50,119,159,48,111,5,1,4,2,0,2,1,0,1,1,0,1,0,0,0,1,1,0
2003-2004,100858,Auburn University,First major,Bachelor's degree,English language and literature/letters.,'23',152,38,114,145,37,108,5,1,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2003-2004,100858,Auburn University,First major,Bachelor's degree,History,'54',62,45,17,61,44,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,100858,Auburn University,First major,Bachelor's degree,Business- management- marketing- and related support services.,'52',1104,683,421,999,624,375,64,35,29,5,4,1,15,11,4,5,2,3,3,2,1,13,5,8
2003-2004,100858,Auburn University,First major,Bachelor's degree,Computer and information sciences and support services.,'11',42,39,3,36,35,1,4,2,2,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
2003-2004,100858,Auburn University,First major,Bachelor's degree,Engineering.,'14',525,435,90,458,391,67,40,26,14,6,4,2,10,9,1,6,3,3,1,1,0,4,1,3
2003-2004,100858,Auburn University,First major,Bachelor's degree,Family and consumer sciences/human sciences.,'19',175,9,166,167,9,158,6,0,6,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
2003-2004,100858,Auburn University,First major,Bachelor's degree,Health professions and related clinical sciences.,'51',192,23,169,179,23,156,10,0,10,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0
2003-2004,100858,Auburn University,First major,Bachelor's degree,Physical sciences.,'40',15,8,7,13,8,5,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2003-2004,100858,Auburn University,First major,Bachelor's degree,Public administration and social service professions.,'44',37,12,25,30,8,22,6,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,100858,Auburn University,First major,Bachelor's degree,Agriculture- agriculture operations- and related sciences.,'01',176,107,69,166,100,66,4,1,3,1,1,0,1,1,0,3,3,0,0,0,0,1,1,0
2003-2004,100858,Auburn University,First major,Bachelor's degree,Education.,'13',328,79,249,311,72,239,13,7,6,1,0,1,0,0,0,2,0,2,0,0,0,1,0,1
2003-2004,100858,Auburn University,First major,Bachelor's degree,Natural resources and conservation.,'03',58,47,11,56,45,11,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
2003-2004,100858,Auburn University,First major,Bachelor's degree,Social sciences.,'45',227,141,86,185,114,71,36,24,12,1,0,1,0,0,0,1,0,1,1,1,0,3,2,1
2003-2004,142115,Boise State University,First major,Bachelor's degree,Biological and biomedical sciences.,'26',35,17,18,32,15,17,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0
2003-2004,142115,Boise State University,First major,Bachelor's degree,Engineering.,'14',76,58,18,57,46,11,1,1,0,6,3,3,3,0,3,0,0,0,7,6,1,2,2,0
2003-2004,142115,Boise State University,First major,Bachelor's degree,English language and literature/letters.,'23',34,13,21,31,13,18,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0
2003-2004,142115,Boise State University,First major,Bachelor's degree,Public administration and social service professions.,'44',29,8,21,28,8,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2003-2004,142115,Boise State University,First major,Bachelor's degree,Area- ethnic- cultural- and gender studies.,'05',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-2004,142115,Boise State University,First major,Bachelor's degree,Business- management- marketing- and related support services.,'52',302,151,151,252,129,123,1,0,1,17,6,11,12,6,6,1,0,1,9,6,3,10,4,6
2003-2004,142115,Boise State University,First major,Bachelor's degree,Construction trades.,'46',19,18,1,18,17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2003-2004,142115,Boise State University,First major,Bachelor's degree,Education.,'13',140,34,106,121,27,94,0,0,0,7,2,5,1,1,0,2,1,1,9,3,6,0,0,0
2003-2004,142115,Boise State University,First major,Bachelor's degree,Parks- recreation- leisure- and fitness studies.,'31',19,5,14,17,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
2003-2004,142115,Boise State University,First major,Bachelor's degree,Psychology.,'42',55,17,38,48,12,36,0,0,0,1,1,0,1,1,0,0,0,0,4,3,1,1,0,1
2003-2004,142115,Boise State University,First major,Bachelor's degree,Visual and performing arts.,'50',68,18,50,60,14,46,0,0,0,3,3,0,0,0,0,0,0,0,5,1,4,0,0,0
2003-2004,142115,Boise State University,First major,Bachelor's degree,Communication- journalism- and related programs.,'09',45,23,22,42,21,21,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,0,0,0
