Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Major,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2005-2006,100858,Auburn University,Communication- journalism- and related programs.,'09',Bachelor's degree,First major,122,33,89,113,31,82,6,1,5,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1
2005-2006,100858,Auburn University,Engineering.,'14',Bachelor's degree,First major,509,413,96,446,374,72,30,12,18,7,5,2,10,8,2,2,2,0,3,3,0,11,9,2
2005-2006,100858,Auburn University,English language and literature/letters.,'23',Bachelor's degree,First major,162,35,127,142,32,110,13,3,10,0,0,0,4,0,4,0,0,0,2,0,2,1,0,1
2005-2006,100858,Auburn University,Family and consumer sciences/human sciences.,'19',Bachelor's degree,First major,163,3,160,147,3,144,9,0,9,2,0,2,2,0,2,1,0,1,0,0,0,2,0,2
2005-2006,100858,Auburn University,Foreign languages- literatures- and linguistics.,'16',Bachelor's degree,First major,41,13,28,34,11,23,2,0,2,3,2,1,1,0,1,0,0,0,0,0,0,1,0,1
2005-2006,100858,Auburn University,History,'54',Bachelor's degree,First major,52,34,18,50,33,17,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,100858,Auburn University,Architecture and related services.,'04',Bachelor's degree,First major,113,73,40,95,65,30,9,2,7,1,1,0,5,3,2,0,0,0,0,0,0,3,2,1
2005-2006,100858,Auburn University,Biological and biomedical sciences.,'26',Bachelor's degree,First major,203,92,111,174,83,91,19,5,14,2,1,1,5,1,4,0,0,0,3,2,1,0,0,0
2005-2006,100858,Auburn University,Health professions and related clinical sciences.,'51',Bachelor's degree,First major,162,15,147,146,15,131,14,0,14,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
2005-2006,100858,Auburn University,Natural resources and conservation.,'03',Bachelor's degree,First major,72,61,11,70,60,10,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2005-2006,100858,Auburn University,Visual and performing arts.,'50',Bachelor's degree,First major,130,53,77,118,48,70,6,3,3,1,0,1,2,1,1,1,1,0,1,0,1,1,0,1
