Year,unitid,Institution_Name,Sport,Cohort,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
1997-1998,100858,Auburn University,All other sports combined,Scholarship Awards,128,41,87,104,27,77,4,0,4,4,1,3,0,0,0,1,1,0,0,0,0,15,12,3
1997-1998,100858,Auburn University,Baseball,Scholarship Awards,21,21,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,100858,Auburn University,Basketball,Scholarship Awards,22,10,12,7,2,5,12,7,5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
1997-1998,100858,Auburn University,Cross-country and/or track,Scholarship Awards,39,18,21,22,12,10,11,4,7,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4
1997-1998,100858,Auburn University,Football,Scholarship Awards,91,91,0,27,27,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,142115,Boise State University,All other sports combined,Scholarship Awards,89,43,46,71,36,35,0,0,0,2,1,1,3,1,2,0,0,0,0,0,0,13,5,8
1997-1998,142115,Boise State University,Basketball,Scholarship Awards,27,14,13,14,6,8,11,7,4,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
1997-1998,142115,Boise State University,Cross-country and/or track,Scholarship Awards,39,16,23,29,10,19,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,6,2
1997-1998,142115,Boise State University,Football,Scholarship Awards,80,80,0,41,41,0,31,31,0,5,5,0,3,3,0,0,0,0,0,0,0,0,0,0
1997-1998,217882,Clemson University,All other sports combined,Scholarship Awards,126,56,70,108,48,60,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,14,6,8
1997-1998,217882,Clemson University,Baseball,Scholarship Awards,31,31,0,30,30,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,217882,Clemson University,Basketball,Scholarship Awards,26,13,13,6,3,3,14,7,7,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3
1997-1998,217882,Clemson University,Cross-country and/or track,Scholarship Awards,62,28,34,31,13,18,19,10,9,0,0,0,0,0,0,0,0,0,1,0,1,11,5,6
1997-1998,217882,Clemson University,Football,Scholarship Awards,81,81,0,34,34,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,198419,Duke University,All other sports combined,Scholarship Awards,124,51,73,110,42,68,7,4,3,0,0,0,2,1,1,0,0,0,1,1,0,4,3,1
1997-1998,198419,Duke University,Baseball,Scholarship Awards,20,20,0,19,19,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,198419,Duke University,Basketball,Scholarship Awards,26,12,14,11,4,7,11,6,5,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2
1997-1998,198419,Duke University,Football,Scholarship Awards,81,81,0,50,50,0,30,30,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1997-1998,134097,Florida State University,All other sports combined,Scholarship Awards,107,32,75,73,18,55,6,2,4,6,0,6,0,0,0,2,1,1,0,0,0,20,11,9
1997-1998,134097,Florida State University,Baseball,Scholarship Awards,26,26,0,23,23,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,134097,Florida State University,Basketball,Scholarship Awards,22,9,13,8,1,7,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
