,unitid,DOE.Institution_Name,Year,ID_School,ID_Conference,Sport,ID_Variable,Variable,Total,M,W,C,C.M,C.W,AA,AA.M,AA.W,H,H.M,H.W,AS.PI,AS.PI.M,AS.PI.W,AI,AI.M,AI.W,UNK,UNK.M,UNK.W,NON,NON.M,NON.W,fname
27,100751,The University of Alabama,1996-1997,BAMA,SEC,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
70,100751,The University of Alabama,1996-1997,BAMA,SEC,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),21,21,0,9,9,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
72,100751,The University of Alabama,1996-1997,BAMA,SEC,Cross-country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1997Sports.csv
76,100751,The University of Alabama,1996-1997,BAMA,SEC,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
78,100751,The University of Alabama,1996-1997,BAMA,SEC,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),14,5,9,12,4,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1997Sports.csv
81,100751,The University of Alabama,1996-1997,BAMA,SEC,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,14,5,9,12,4,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1997Sports.csv
84,100751,The University of Alabama,1996-1997,BAMA,SEC,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),9,9,0,6,6,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
89,100751,The University of Alabama,1996-1997,BAMA,SEC,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,4,3,3,2,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
95,100751,The University of Alabama,1996-1997,BAMA,SEC,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
96,100751,The University of Alabama,1996-1997,BAMA,SEC,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),23,8,15,19,6,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1997Sports.csv
