"","Year","ID_School","DOE.Institution_Name","ID_Conference","Total"
"1","1996-1997","AUB","Auburn University","SEC",297
"2","1996-1997","BAMA","The University of Alabama","SEC",292
"3","1996-1997","BOS.ST","Boise State University","MWC",46
"4","1996-1997","CLEM","Clemson University","ACC",328
"5","1996-1997","DUKE","Duke University","ACC",243
"6","1996-1997","FLA","University of Florida","SEC",315
"7","1996-1997","FSU","Florida State University","ACC",285
"8","1996-1997","GTOWN","Georgetown University","BIGEAST",135
"9","1996-1997","KAN.ST","Kansas State University","BIG12",218
"10","1996-1997","LOUIS","University of Louisville","BIGEAST",84
"11","1996-1997","LSU","Louisiana State University and Agricultural & Mechanical College","SEC",311
"12","1996-1997","ND","University of Notre Dame","IND",326
"13","1996-1997","NEB","University of Nebraska-Lincoln","BIG10",425
"14","1996-1997","NWST","Northwestern University","BIG12",278
"15","1996-1997","OK","University of Oklahoma Norman Campus","BIG12",317
"16","1996-1997","OKSTATE","Oklahoma State University-Main Campus","BIG12",253
"17","1996-1997","ORE","University of Oregon","PAC12",252
"18","1996-1997","ORE.ST","Oregon State University","PAC12",313
"19","1996-1997","OSU","Ohio State University-Main Campus","BIG10",443
"20","1996-1997","RUT","Rutgers University-New Brunswick","BIGEAST",402
"21","1996-1997","SCAR","University of South Carolina-Columbia","SEC",303
"22","1996-1997","SJ.ST","San Jose State University","MWC",270
"23","1996-1997","SMU","Southern Methodist University","CUSA",230
"24","1996-1997","STAN","Stanford University","PAC12",349
"25","1996-1997","TAM","Texas A & M University-College Station","SEC",344
"26","1996-1997","UGA","University of Georgia","SEC",322
"27","1996-1997","UM","University of Michigan-Ann Arbor","BIG10",384
"28","1996-1997","UNC","University of North Carolina at Chapel Hill","ACC",429
"29","1996-1997","UOFM","University of Miami","ACC",206
"30","1996-1997","USC","University of Southern California","PAC12",244
"31","1996-1997","UT","The University of Texas at Austin","BIG12",346
"32","1996-1997","UTA.ST","Utah State University","MWC",221
"33","1996-1997","VANDY","Vanderbilt University","SEC",232
"34","1997-1998","AUB","Auburn University","SEC",301
"35","1997-1998","BAMA","The University of Alabama","SEC",299
"36","1997-1998","BOS.ST","Boise State University","MWC",235
"37","1997-1998","CLEM","Clemson University","ACC",326
"38","1997-1998","DUKE","Duke University","ACC",251
"39","1997-1998","FLA","University of Florida","SEC",341
"40","1997-1998","FSU","Florida State University","ACC",280
"41","1997-1998","GTOWN","Georgetown University","BIGEAST",155
"42","1997-1998","KAN.ST","Kansas State University","BIG12",273
"43","1997-1998","LOUIS","University of Louisville","BIGEAST",268
"44","1997-1998","LSU","Louisiana State University and Agricultural & Mechanical College","SEC",289
"45","1997-1998","ND","University of Notre Dame","IND",326
"46","1997-1998","NEB","University of Nebraska-Lincoln","BIG10",415
"47","1997-1998","NWST","Northwestern University","BIG12",290
"48","1997-1998","OK","University of Oklahoma Norman Campus","BIG12",333
"49","1997-1998","OKSTATE","Oklahoma State University-Main Campus","BIG12",244
"50","1997-1998","ORE","University of Oregon","PAC12",266
"51","1997-1998","ORE.ST","Oregon State University","PAC12",279
"52","1997-1998","OSU","Ohio State University-Main Campus","BIG10",457
"53","1997-1998","RUT","Rutgers University-New Brunswick","BIGEAST",469
"54","1997-1998","SCAR","University of South Carolina-Columbia","SEC",285
"55","1997-1998","SJ.ST","San Jose State University","MWC",259
"56","1997-1998","SMU","Southern Methodist University","CUSA",235
"57","1997-1998","STAN","Stanford University","PAC12",364
"58","1997-1998","TAM","Texas A & M University-College Station","SEC",365
"59","1997-1998","UGA","University of Georgia","SEC",308
"60","1997-1998","UM","University of Michigan-Ann Arbor","BIG10",389
"61","1997-1998","UNC","University of North Carolina at Chapel Hill","ACC",424
"62","1997-1998","UOFM","University of Miami","ACC",170
