CIPFamily,CIP_ID,CIPFamilyTitle,CIPFamilyDefinition
1,AGRICULTURE,"Agriculture, Agriculture Operations, and Related Sciences","Instructional programs that focus on agriculture and related sciences and that prepare individuals to apply specific knowledge, methods, and techniques to the management and performance of agricultural operations."
3,NAT.RESOURCE,Natural Resources and Conservation,Instructional programs that focus on the various natural resources and conservation fields and prepare individuals for related occupations.
4,ARCH,Architecture and Related Services,Instructional programs that prepare individuals for professional practice in the various architecture-related fields and focus on the study of related aesthetic and socioeconomic aspects of the built environment.
5,AREA.GENDER.STUDIES,"Area, Ethnic, Cultural, Gender, and Group Studies","Instructional programs that focus on the defined areas, regions, and countries of the world; defined minority groups within and across societies; and issues relevant to collective gender and group experience."
9,COMM.JOURN,"Communication, Journalism, and Related Programs","Instructional programs that focus on how messages in various media are produced, used, and interpreted within and across different contexts, channels, and cultures, and that prepare individuals to apply communication knowledge and skills professionally."
10,COMM.TECH,"Communications Technologies, Technicians and Support Services","Instructional programs that prepare individuals to function as equipment operators, support technicians, and operations managers in the film/video, recording, and graphic communications industries."
11,COMP.SCI,Computer and Information Sciences and Support Services,Instructional programs that focus on the computer and information sciences and prepare individuals for various occupations in information technology and computer operations fields.
12,CULINARY,Personal and Culinary Services,"Instructional programs that prepare individuals to provide professional services related to cosmetology, funeral services, and food preparation and service."
13,EDUCATION,Education,"Instructional programs that focus on the theory and practice of learning and teaching, and related research, administrative and support services."
14,ENGINEERING,Engineering,Instructional programs that prepare individuals to apply mathematical and     scientific principles to the solution of practical problems.
15,ENGIN.TECH,Engineering Technologies and Engineering-related Fields,Instructional programs that prepare individuals to apply basic engineering principles and technical skills in support of engineering and related projects or to prepare for engineering-related fields.
16,FOREIGN.LANGUAGE,"Foreign Languages, Literatures, and Linguistics","Instructional programs that focus on foreign languages and literatures, the humanistic and scientific study of linguistics, and the provision of professional interpretation and translation services."
19,HUMAN.SCI,"Family, Human and Consumer Sciences","Instructional programs that focus on the human interface with the physical, social, emotional, and intellectual environments and the developmental stages and needs of individuals in the interrelated spheres of family, workplace, and community."
22,LEGAL,Legal Professions and Studies,"Instructional programs that prepare individuals for the legal profession, for related support professions and professional legal research, and focus on the study of legal issues in non-professional programs."
23,ENGLISH,English Language and Literatureletters,"Instructional programs that focus on the structure and use of the English language and dialects, speech, writing, and various aspects of the literatures and cultures of the English-speaking peoples."
24,LIBERAL.ARTS,"Liberal Arts and Sciences, General Studies and Humanities","General instructional programs and independent or individualized studies in the liberal arts subjects, the humanities disciplines and the general curriculum."
25,LIBRARY.SCI,Library Science,"Instructional programs that focus on the knowledge and skills required for managing and/or maintaining libraries and related information and record systems,  collections and facilities for research and general use."
26,BIO,Biological and Biomedical Sciences,"Instructional programs that focus on the biological sciences and the non-clinical biomedical sciences, and that prepare individuals for research and professional careers as biologists and biomedical scientists."
27,MATH,Mathematics and Statistics,Instructional programs that focus on the systematic study of logical symbolic language and its applications.
28,MILITARY.SCI,"Military Science, Leadership and Operational Art","Instructional programs that provide professional education and training of military officers in leadership, military science and operational studies, security policy and strategy, military economics and management, and pre-officer training. These CIP codes are not valid for IPEDS reporting."
29,MILITARY.TECH,Military Technologies and Applied Sciences,"Instructional programs that prepare individuals in specialized and advanced subject matter for the armed services and related national security organizations, including intelligence operations, military applied sciences, and military technologies."
30,MULTI.STUDIES,Multi-interdisciplinary Studies,Instructional programs that derive from two or more distinct programs to provide a cross-cutting focus on a subject concentration that is not subsumed under a single discipline or occupational field.
31,PARKS.REC,"Parks, Recreation, Leisure, and Fitness Studies","Instructional programs that focus on the principles and practices of managing parks and other recreational and fitness facilities; providing recreational, leisure and fitness services; and the study of human fitness."
32,REMEDIAL.ED,"Basic Skills and Developmental, Remedial Education",Instructional programs that focus on the fundamental knowledge and skills that individuals need to function productively in society. These CIP codes are not valid for IPEDS reporting.
33,CITIZENSHIP,Citizenship Activities,"Instructional programs that prepare individuals for citizenship, and provide instruction in how citizens may engage in civic activities. These CIP codes are not valid for IPEDS reporting."
34,HEALTH,Health-related Knowledge and Skills,Instructional program that focus on the promotion of personal and family health. These CIP codes are not valid for IPEDS reporting.
