"","State","City","Position","ID_Race","freq"
"251","TX","Houston","CB","AA",4
"255","TX","Houston","LB","AA",4
"167","OK","Tulsa","WR","AA",3
"195","TX","Arlington","WR","AA",3
"18","FL","Cape Coral","OL","C",2
"61","MS","Collins","DE","AA",2
"86","OK","Claremore","WR","C",2
"92","OK","Edmond","RB","AA",2
"126","OK","Muskogee","WR","C",2
"128","OK","Mustang","WR","C",2
"209","TX","Celina","LB","C",2
"222","TX","Dallas","WR","AA",2
"239","TX","Flower Mound","WR","AA",2
"246","TX","Garland","WR","AA",2
"247","TX","Gilmer","OL","C",2
"252","TX","Houston","DE","AA",2
"256","TX","Houston","OL","AA",2
"257","TX","Houston","S","AA",2
"259","TX","Houston","WR","MIX",2
"1","AK","Anchorage","DT","PI",1
"2","AL","Oxford","WR","C",1
"3","AR","Alma","WR","AA",1
"4","AR","Bearden","DT","AA",1
"5","AR","El Dorado","FB","AA",1
"6","AR","North Little Rock","DT","AA",1
"7","AR","White Hall","DB","AA",1
"8","AZ","Gilbert","TE","AA",1
"9","CA","Anaheim","WR","AA",1
"10","CA","Arroyo Grande","LB","AA",1
"11","CA","Encinitas","QB","C",1
"12","CA","Inglewood","LB","PI",1
"13","CA","Los Angeles","CB","AA",1
"14","CA","Los Angeles","WR","AA",1
"15","CA","Santa Ana","OL","C",1
"16","CO","Littleton","QB","C",1
"17","FL","Alachua","DT","AA",1
"19","FL","Citra","DB","AA",1
"20","FL","Coral Springs","S","AA",1
"21","FL","Melbourne","RB","AA",1
"22","GA","Albany","RB","AA",1
"23","GA","Buford","DE","AA",1
"24","GA","Columbus","DT","AA",1
"25","GA","Columbus","LB","AA",1
"26","GA","Columbus","RB","AA",1
"27","GA","Dallas","OL","C",1
"28","GA","Decatur","LB","AA",1
"29","GA","Flowery Branch","WR","AA",1
"30","GA","Hephzibah","LB","AA",1
"31","GA","Kathleen","CB","AA",1
"32","GA","Kennesaw","FB","AA",1
"33","GA","Lawrenceville","RB","AA",1
"34","GA","Marietta","FB","C",1
"35","GA","Newnan","RB","AA",1
"36","GA","Rome","DT","AA",1
"37","GA","Rossville","DT","AA",1
"38","IL","Rochester","QB","C",1
"39","IN","Fort Wayne","LB","AA",1
"40","KS","Conway Springs","OL","C",1
"41","KS","Derby","CB","AA",1
"42","KS","Derby","DT","C",1
"43","KS","Fredonia","OL","C",1
"44","KS","Girard","WR","MIX",1
"45","KS","Kansas City","WR","AA",1
"46","KS","Leawood","CB","C",1
"47","KS","Olathe","WR","C",1
"48","KS","Sedan","FB","C",1
"49","KS","Wichita","DE","AA",1
"50","KS","Wichita","QB","C",1
"51","KS","Wichita","RB","AA",1
"52","KY","Lexington","K","C",1
"53","LA","Baton Rouge","WR","AA",1
"54","LA","New Orleans","OL","AA",1
"55","LA","Saint Martinville","TE","AA",1
"56","MI","Detroit","LB","AA",1
"57","MI","Grand Ledge","OL","C",1
"58","MO","Joplin","OL","C",1
"59","MO","St. Louis","WR","AA",1
"60","MO","Webb City","OL","C",1
"62","MS","Hattiesburg","WR","C",1
"63","MS","Magee","CB","AA",1
"64","MS","Poplarville","DE","AA",1
"65","MS","Southaven","OL","C",1
"66","NC","Archdale","LB","C",1
"67","NC","Waxhaw","LS","C",1
"68","NJ","Blairstown","DT","C",1
"69","NJ","Piscataway","FB","AA",1
"70","NY","Elma","K","C",1
"71","OK","Ardmore","CB","AA",1
"72","OK","Ardmore","WR","AA",1
"73","OK","Bartlesville","WR","C",1
"74","OK","Beggs","DB","AA",1
"75","OK","Bixby","DE","C",1
"76","OK","Bixby","TE","C",1
"77","OK","Bixby","WR","AA",1
"78","OK","Broken Arrow","DT","AI",1
"79","OK","Broken Arrow","OL","C",1
"80","OK","Broken Arrow","S","C",1
"81","OK","Cashion","TE","C",1
"82","OK","Chickasha","DL","C",1
"83","OK","Choctaw","OL","C",1
"84","OK","Choctaw","RB","AA",1
"85","OK","Claremore","OL","C",1
"87","OK","Crescent","WR","C",1
"88","OK","Edmond","LB","AA",1
"89","OK","Edmond","LS","C",1
"90","OK","Edmond","P","C",1
"91","OK","Edmond","QB","C",1
"93","OK","Edmond","S","C",1
"94","OK","Edmond","WR","C",1
"95","OK","Enid","CB","C",1
"96","OK","Enid","LB","AA",1
"97","OK","Enid","OL","C",1
"98","OK","Enid","QB","C",1
"99","OK","Enid","WR","C",1
"100","OK","Fairview","OL","C",1
"101","OK","Garber","OL","C",1
"102","OK","Glenpool","S","AA",1
"103","OK","Glenpool","WR","C",1
"104","OK","Guthrie","C","AA",1
"105","OK","Guthrie","FB","AA",1
"106","OK","Haskell","DE","AA",1
"107","OK","Helena","LB","C",1
"108","OK","Jenks","FB","C",1
"109","OK","Jenks","LB","AA",1
"110","OK","Jenks","LB","C",1
"111","OK","Jenks","OL","C",1
"112","OK","Jet","WR","C",1
"113","OK","Kingfisher","WR","C",1
"114","OK","Lawton","QB","C",1
"115","OK","Lawton","WR","C",1
"116","OK","Madill","RB","C",1
"117","OK","McAlester","LB","C",1
"118","OK","McLoud","FB","C",1
"119","OK","Miami","DT","C",1
"120","OK","Miami","OL","C",1
"121","OK","Midwest City","QB","C",1
"122","OK","Midwest City","S","AA",1
"123","OK","Moore","WR","C",1
"124","OK","Muskogee","DT","AA",1
"125","OK","Muskogee","LB","C",1
"127","OK","Mustang","P/K","C",1
"129","OK","Nichols Hills","FB","C",1
"130","OK","Nichols Hills","S","C",1
"131","OK","Okeene","DE","C",1
"132","OK","Oklahoma City","CB","AA",1
"133","OK","Oklahoma City","DB","C",1
"134","OK","Oklahoma City","DE","AA",1
"135","OK","Oklahoma City","DE","C",1
"136","OK","Oklahoma City","DL","AA",1
"137","OK","Oklahoma City","LB","C",1
"138","OK","Oklahoma City","RB","AA",1
"139","OK","Oklahoma City","S","AA",1
"140","OK","Oklahoma City","WR","AA",1
"141","OK","Okmulgee","RB","MIX",1
"142","OK","Owasso","OL","AA",1
"143","OK","Park Hill","OL","C",1
"144","OK","Pawhuska","LB","C",1
"145","OK","Ponca City","TE","C",1
"146","OK","Purcell","OL","AA",1
"147","OK","Ringwood","TE","C",1
"148","OK","Sand Springs","QB","C",1
"149","OK","Skiatook","WR","C",1
"150","OK","Stillwater","FB","C",1
"151","OK","Stillwater","OL","C",1
"152","OK","Stillwater","WR","AA",1
"153","OK","Sulphur","LB","C",1
"154","OK","Tonkawa","CB","C",1
"155","OK","Tonkawa","TE","C",1
"156","OK","Tonkawa","WR","C",1
"157","OK","Tulsa","CB","AA",1
"158","OK","Tulsa","DE","C",1
"159","OK","Tulsa","DT","AA",1
"160","OK","Tulsa","FB","C",1
"161","OK","Tulsa","LS","C",1
"162","OK","Tulsa","OL","AA",1
"163","OK","Tulsa","OL","C",1
"164","OK","Tulsa","RB","AA",1
"165","OK","Tulsa","RB","C",1
"166","OK","Tulsa","S","AA",1
"168","OK","Tuttle","DE","C",1
"169","OK","Tuttle","K","C",1
"170","OK","Tuttle","TE","C",1
"171","OK","Vinita","OL","C",1
"172","OK","Wagoner","CB","AA",1
"173","OK","Woodward","K","C",1
"174","OK","Woodward","WR","C",1
"175","SC","Anderson","DT","AA",1
"176","SC","Batesburg-Leesville","S","AA",1
"177","SC","Hanahan","S","AA",1
"178","SC","Spartanburg","DT","AA",1
"179","TN","Chattanooga","WR","AA",1
"180","TN","Memphis","TE","AA",1
"181","TX","Abilene","RB","AA",1
"182","TX","Aldine","CB","AA",1
"183","TX","Aledo","OL","C",1
"184","TX","Alice","OL","C",1
"185","TX","Allen","K","C",1
"186","TX","Amarillo","DE","C",1
"187","TX","Amarillo","DT","MIX",1
"188","TX","Amarillo","OL","C",1
"189","TX","Amarillo","RB","AA",1
"190","TX","Angleton","RB","AA",1
"191","TX","Arlington","DB","AA",1
"192","TX","Arlington","DT","AA",1
"193","TX","Arlington","OL","C",1
"194","TX","Arlington","S","AA",1
"196","TX","Arp","S","AA",1
"197","TX","Atlanta","WR","AA",1
"198","TX","Austin","K","C",1
"199","TX","Austin","WR","C",1
"200","TX","Beaumont","CB","AA",1
"201","TX","Bellaire","DT","AA",1
"202","TX","Bryan","WR","AA",1
"203","TX","Bullard","WR","C",1
"204","TX","Canadian","LS","C",1
"205","TX","Carrollton","DT","AA",1
"206","TX","Castroville","OL","C",1
"207","TX","Cedar Hill","WR","AA",1
"208","TX","Celina","DE","C",1
"210","TX","Cibolo","LB","AA",1
"211","TX","Clute","OL","AA",1
"212","TX","Coppell","FB","C",1
"213","TX","Corinth","DT","C",1
"214","TX","Crawford","P/K","C",1
"215","TX","Crowley","DL","AA",1
"216","TX","Dallas","DE","AA",1
"217","TX","Dallas","DT","C",1
"218","TX","Dallas","OL","AA",1
"219","TX","Dallas","P","C",1
"220","TX","Dallas","RB","AA",1
